time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,485061,B738,TRA35X,50.86041,4.68773,24325,362,319,-1856
20.0,485061,B738,TRA35X,50.88513,4.66194,23775,358,331,-1856
60.0,485061,B738,TRA35X,50.9396,4.61433,22600,350,331,-1856
100.0,485061,B738,TRA35X,50.98196,4.5771,21675,344,330,-1856
120.0,485061,B738,TRA35X,51.02733,4.53676,20700,339,330,-1856
140.0,485061,B738,TRA35X,51.05966,4.50905,20000,335,330,-1792
160.0,485061,B738,TRA35X,51.08212,4.48866,19500,333,330,-1792
180.0,485061,B738,TRA35X,51.10807,4.46609,18950,329,330,-1792
200.0,485061,B738,TRA35X,51.12181,4.45303,18650,329,330,-1792
220.0,485061,B738,TRA35X,51.14527,4.43405,18125,328,336,-1856
240.0,485061,B738,TRA35X,51.17469,4.42032,17550,327,348,-1728
260.0,485061,B738,TRA35X,51.20219,4.41153,16950,325,348,-2368
280.0,485061,B738,TRA35X,51.24133,4.39921,15950,330,348,-2176
300.0,485061,B738,TRA35X,51.26555,4.39156,15450,329,348,-1920
320.0,485061,B738,TRA35X,51.29819,4.38117,14800,324,348,-1728
340.0,485061,B738,TRA35X,51.32524,4.3721,14250,322,348,-1856
360.0,485061,B738,TRA35X,51.35074,4.36447,13750,319,349,-1856
380.0,485061,B738,TRA35X,51.37843,4.35578,13225,314,349,-1728
400.0,485061,B738,TRA35X,51.40773,4.34717,12625,311,349,-1856
420.0,485061,B738,TRA35X,51.43627,4.33807,12050,309,349,-1792
440.0,485061,B738,TRA35X,51.46289,4.32995,11525,305,349,-1728
460.0,485061,B738,TRA35X,51.49452,4.32045,10850,303,348,-1728
480.0,485061,B738,TRA35X,51.52126,4.31184,10275,300,350,-2112
500.0,485061,B738,TRA35X,51.54767,4.31526,9775,301,17,-1088
520.0,485061,B738,TRA35X,51.57005,4.33403,9600,289,28,-704
540.0,485061,B738,TRA35X,51.59303,4.35385,9425,276,28,-704
560.0,485061,B738,TRA35X,51.61565,4.37293,9050,271,27,-1152
580.0,485061,B738,TRA35X,51.63835,4.39164,8625,268,28,-1280
600.0,485061,B738,TRA35X,51.66014,4.41042,8150,268,28,-1600
620.0,485061,B738,TRA35X,51.68156,4.42942,7650,269,28,-1600
640.0,485061,B738,TRA35X,51.70349,4.44894,7125,272,29,-1856
660.0,485061,B738,TRA35X,51.7261,4.46876,6650,273,29,-1152
680.0,485061,B738,TRA35X,51.74863,4.48952,6250,270,29,-1152
700.0,485061,B738,TRA35X,51.76978,4.50811,5875,267,29,-1152
720.0,485061,B738,TRA35X,51.79111,4.52741,5500,263,29,-1152
740.0,485061,B738,TRA35X,51.81216,4.54634,5125,260,28,-1152
