time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484165,B738,KLM60H,52.74369,2.72861,24900,397,105,-1600
20.0,484165,B738,KLM60H,52.73759,2.76345,24525,394,105,-1792
40.0,484165,B738,KLM60H,52.726,2.83251,23850,390,105,-1664
60.0,484165,B738,KLM60H,52.71682,2.88368,23350,387,105,-1536
80.0,484165,B738,KLM60H,52.70036,2.9821,22425,380,105,-1728
100.0,484165,B738,KLM60H,52.69647,3.00446,22200,378,105,-1600
120.0,484165,B738,KLM60H,52.68563,3.04988,21725,374,118,-1600
140.0,484165,B738,KLM60H,52.67013,3.09359,21200,369,120,-1792
160.0,484165,B738,KLM60H,52.65225,3.14423,20575,366,120,-1728
180.0,484165,B738,KLM60H,52.63052,3.20385,19800,361,123,-1984
200.0,484165,B738,KLM60H,52.61192,3.23807,19300,354,138,-1856
220.0,484165,B738,KLM60H,52.58853,3.27102,18675,352,139,-1984
240.0,484165,B738,KLM60H,52.56339,3.30516,18050,349,140,-2048
260.0,484165,B738,KLM60H,52.54035,3.33545,17475,348,140,-1920
280.0,484165,B738,KLM60H,52.51401,3.37082,16800,348,140,-1664
300.0,484165,B738,KLM60H,52.48947,3.40385,16300,344,140,-1408
320.0,484165,B738,KLM60H,52.46855,3.44238,15825,342,122,-1344
340.0,484165,B738,KLM60H,52.4539,3.4851,15300,340,109,-1664
360.0,484165,B738,KLM60H,52.4532,3.53532,14750,333,79,-1728
380.0,484165,B738,KLM60H,52.46265,3.58482,14125,325,72,-1920
400.0,484165,B738,KLM60H,52.47205,3.63428,13400,323,74,-2112
420.0,484165,B738,KLM60H,52.47992,3.68128,12800,319,75,-1664
440.0,484165,B738,KLM60H,52.48659,3.72551,12275,314,76,-1792
460.0,484165,B738,KLM60H,52.49356,3.76917,11625,312,75,-2240
480.0,484165,B738,KLM60H,52.50064,3.81485,11000,310,75,-1856
500.0,484165,B738,KLM60H,52.50822,3.85997,10375,307,74,-1856
520.0,484165,B738,KLM60H,52.51561,3.90717,9800,307,75,-1664
540.0,484165,B738,KLM60H,52.52147,3.95302,9275,308,86,-1536
560.0,484165,B738,KLM60H,52.5173,3.99683,8775,308,109,-1344
580.0,484165,B738,KLM60H,52.50673,4.03999,8350,303,111,-1216
600.0,484165,B738,KLM60H,52.49638,4.0847,7900,300,111,-1536
620.0,484165,B738,KLM60H,52.48599,4.12468,7400,298,111,-1216
640.0,484165,B738,KLM60H,52.47806,4.16774,6925,299,97,-1664
660.0,484165,B738,KLM60H,52.48304,4.21161,6425,294,64,-1280
680.0,484165,B738,KLM60H,52.5,4.24728,5950,285,46,-1536
700.0,484165,B738,KLM60H,52.52307,4.28624,5400,282,46,-1216
720.0,484165,B738,KLM60H,52.53616,4.30782,5125,279,46,-1152
