time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CA213,A320,EIN60A,52.78867,2.56523,24975,344,101,-3648
20.0,4CA213,A320,EIN60A,52.78262,2.61383,23900,348,101,-1792
40.0,4CA213,A320,EIN60A,52.77506,2.67392,23275,339,101,-2048
60.0,4CA213,A320,EIN60A,52.76934,2.71935,22700,337,101,-1792
100.0,4CA213,A320,EIN60A,52.75603,2.82173,22025,312,102,-704
120.0,4CA213,A320,EIN60A,52.75008,2.8669,21825,298,102,-640
140.0,4CA213,A320,EIN60A,52.74178,2.91373,21400,285,117,-1600
160.0,4CA213,A320,EIN60A,52.72884,2.9379,21000,281,140,-1472
180.0,4CA213,A320,EIN60A,52.70845,2.96278,20500,279,144,-1792
200.0,4CA213,A320,EIN60A,52.68791,2.98653,19900,281,144,-1664
220.0,4CA213,A320,EIN60A,52.66352,3.01473,19325,279,144,-1344
240.0,4CA213,A320,EIN60A,52.64571,3.03543,18950,275,144,-1344
260.0,4CA213,A320,EIN60A,52.62442,3.06024,18500,273,144,-1408
280.0,4CA213,A320,EIN60A,52.6031,3.08025,18050,270,154,-1216
300.0,4CA213,A320,EIN60A,52.58015,3.09767,17625,266,155,-1216
320.0,4CA213,A320,EIN60A,52.55832,3.11401,17200,263,155,-1280
340.0,4CA213,A320,EIN60A,52.5362,3.13079,16725,262,155,-1600
360.0,4CA213,A320,EIN60A,52.51355,3.14789,16175,263,154,-1280
380.0,4CA213,A320,EIN60A,52.49086,3.1654,15800,257,154,-896
400.0,4CA213,A320,EIN60A,52.47121,3.18047,15450,255,154,-1536
420.0,4CA213,A320,EIN60A,52.4478,3.19851,14950,254,154,-1088
440.0,4CA213,A320,EIN60A,52.42873,3.21312,14600,250,154,-1216
460.0,4CA213,A320,EIN60A,52.40716,3.22975,14175,248,151,-1472
480.0,4CA213,A320,EIN60A,52.39212,3.25643,13700,251,116,-1472
500.0,4CA213,A320,EIN60A,52.39247,3.30444,13100,268,67,-1472
520.0,4CA213,A320,EIN60A,52.40405,3.33168,12750,275,50,-1216
540.0,4CA213,A320,EIN60A,52.41936,3.36033,12350,274,48,-1344
560.0,4CA213,A320,EIN60A,52.43628,3.39203,11875,275,49,-1344
580.0,4CA213,A320,EIN60A,52.45269,3.4235,11425,274,49,-1216
600.0,4CA213,A320,EIN60A,52.46884,3.4552,11050,271,50,-1088
620.0,4CA213,A320,EIN60A,52.48583,3.48941,10650,267,50,-1344
640.0,4CA213,A320,EIN60A,52.5027,3.52364,10150,268,51,-1472
660.0,4CA213,A320,EIN60A,52.51544,3.55031,9775,266,52,-960
680.0,4CA213,A320,EIN60A,52.53108,3.58406,9350,265,53,-1472
700.0,4CA213,A320,EIN60A,52.54514,3.61427,8875,266,52,-1472
720.0,4CA213,A320,EIN60A,52.55768,3.64838,8400,260,73,-1344
740.0,4CA213,A320,EIN60A,52.55715,3.68599,8000,247,101,-960
760.0,4CA213,A320,EIN60A,52.55264,3.72272,7650,243,100,-1344
780.0,4CA213,A320,EIN60A,52.54839,3.7606,7125,244,100,-1024
800.0,4CA213,A320,EIN60A,52.54459,3.79593,6800,242,99,-1088
820.0,4CA213,A320,EIN60A,52.54074,3.83095,6475,244,100,-960
840.0,4CA213,A320,EIN60A,52.53676,3.86766,6150,244,100,-1024
860.0,4CA213,A320,EIN60A,52.53273,3.90457,5800,242,100,-1024
880.0,4CA213,A320,EIN60A,52.52871,3.94127,5450,243,100,-1024
900.0,4CA213,A320,EIN60A,52.52345,3.97768,5125,239,110,-1024
