time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,48418B,B739,KLM76W,52.79364,2.52277,24950,421,102,-1920
20.0,48418B,B739,KLM76W,52.78582,2.5854,24325,416,101,-1984
40.0,48418B,B739,KLM76W,52.77759,2.6503,23800,408,101,-704
60.0,48418B,B739,KLM76W,52.77022,2.70687,23600,394,101,-1216
80.0,48418B,B739,KLM76W,52.75772,2.78442,22900,382,116,-1472
100.0,48418B,B739,KLM76W,52.7462,2.81713,22575,377,120,-1792
120.0,48418B,B739,KLM76W,52.72888,2.86633,22025,373,120,-1664
140.0,48418B,B739,KLM76W,52.71077,2.91491,21475,370,121,-1856
160.0,48418B,B739,KLM76W,52.69226,2.96532,20800,369,121,-1856
180.0,48418B,B739,KLM76W,52.6753,3.01072,20225,367,122,-1792
200.0,48418B,B739,KLM76W,52.65724,3.0582,19500,367,123,-2752
220.0,48418B,B739,KLM76W,52.63838,3.10776,18750,365,122,-2112
240.0,48418B,B739,KLM76W,52.6209,3.15475,18050,361,117,-2048
260.0,48418B,B739,KLM76W,52.60924,3.20314,17500,359,105,-1792
280.0,48418B,B739,KLM76W,52.60259,3.26161,16950,353,99,-1472
300.0,48418B,B739,KLM76W,52.59741,3.31154,16500,349,99,-1408
320.0,48418B,B739,KLM76W,52.59216,3.36095,16025,345,100,-1472
340.0,48418B,B739,KLM76W,52.58643,3.41235,15550,341,100,-1472
360.0,48418B,B739,KLM76W,52.58085,3.46305,15050,337,100,-1472
380.0,48418B,B739,KLM76W,52.57554,3.51304,14550,333,100,-1728
400.0,48418B,B739,KLM76W,52.57009,3.56294,14000,331,99,-1536
420.0,48418B,B739,KLM76W,52.56432,3.61733,13475,327,100,-1472
440.0,48418B,B739,KLM76W,52.55892,3.6659,12950,325,100,-1472
460.0,48418B,B739,KLM76W,52.55412,3.70946,12525,322,100,-1344
480.0,48418B,B739,KLM76W,52.54877,3.75693,12100,316,100,-1600
500.0,48418B,B739,KLM76W,52.54335,3.8063,11575,314,100,-1792
520.0,48418B,B739,KLM76W,52.5382,3.85102,11025,314,100,-1536
540.0,48418B,B739,KLM76W,52.53287,3.90007,10500,312,100,-1536
560.0,48418B,B739,KLM76W,52.52788,3.94653,10050,309,100,-1664
580.0,48418B,B739,KLM76W,52.51977,3.98945,9525,309,111,-1024
600.0,48418B,B739,KLM76W,52.50865,4.03503,9000,309,111,-1600
620.0,48418B,B739,KLM76W,52.49868,4.07608,8575,306,111,-1280
640.0,48418B,B739,KLM76W,52.48844,4.11901,8125,303,111,-1472
660.0,48418B,B739,KLM76W,52.47759,4.16162,7650,300,112,-1472
680.0,48418B,B739,KLM76W,52.46744,4.20376,7175,299,111,-1536
700.0,48418B,B739,KLM76W,52.45697,4.2459,6650,298,111,-1600
720.0,48418B,B739,KLM76W,52.44682,4.28773,6200,297,112,-1024
740.0,48418B,B739,KLM76W,52.43733,4.33205,5675,295,99,-1856
760.0,48418B,B739,KLM76W,52.44012,4.37303,5150,284,69,-1856
