time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,40655B,B738,EXS205,52.78024,2.52655,24975,403,105,-896
20.0,40655B,B738,EXS205,52.77443,2.56088,24500,404,105,-3392
40.0,40655B,B738,EXS205,52.76617,2.60996,23425,420,105,-4160
60.0,40655B,B738,EXS205,52.75598,2.67046,22125,436,105,-3328
80.0,40655B,B738,EXS205,52.74536,2.73239,21525,432,105,-1792
100.0,40655B,B738,EXS205,52.73447,2.79526,20850,427,106,-1984
120.0,40655B,B738,EXS205,52.72339,2.85866,20175,423,106,-1792
140.0,40655B,B738,EXS205,52.70975,2.93649,19350,416,106,-2048
160.0,40655B,B738,EXS205,52.70224,2.97951,18975,411,106,-960
180.0,40655B,B738,EXS205,52.69229,3.03654,18800,393,105,-384
200.0,40655B,B738,EXS205,52.6821,3.09532,18425,382,105,-1280
220.0,40655B,B738,EXS205,52.67106,3.15928,17875,374,105,-1472
240.0,40655B,B738,EXS205,52.66306,3.20549,17425,370,105,-1792
260.0,40655B,B738,EXS205,52.65436,3.255,16875,367,106,-1856
280.0,40655B,B738,EXS205,52.64444,3.31018,16200,368,106,-1984
300.0,40655B,B738,EXS205,52.63504,3.36212,15575,368,106,-1856
320.0,40655B,B738,EXS205,52.62558,3.41486,15075,362,106,-1472
340.0,40655B,B738,EXS205,52.61623,3.46695,14550,359,106,-1472
360.0,40655B,B738,EXS205,52.60634,3.5228,14150,350,106,-960
380.0,40655B,B738,EXS205,52.5981,3.56903,13850,342,106,-1152
400.0,40655B,B738,EXS205,52.58908,3.61832,13400,337,106,-1408
420.0,40655B,B738,EXS205,52.5801,3.66763,12875,334,106,-1600
440.0,40655B,B738,EXS205,52.57013,3.72269,12275,334,106,-1344
460.0,40655B,B738,EXS205,52.56157,3.77014,11750,332,106,-1536
480.0,40655B,B738,EXS205,52.55338,3.81531,11300,328,106,-1472
500.0,40655B,B738,EXS205,52.54509,3.86044,10925,325,106,-1152
520.0,40655B,B738,EXS205,52.53648,3.90694,10400,322,106,-1472
540.0,40655B,B738,EXS205,52.52802,3.95363,9875,319,106,-2112
560.0,40655B,B738,EXS205,52.51799,3.99872,9350,313,111,-1728
580.0,40655B,B738,EXS205,52.50715,4.04265,8775,308,111,-1728
600.0,40655B,B738,EXS205,52.49281,4.08813,8100,305,132,-1728
620.0,40655B,B738,EXS205,52.47221,4.11316,7525,300,148,-1856
640.0,40655B,B738,EXS205,52.44974,4.13643,7100,298,147,-1216
660.0,40655B,B738,EXS205,52.42639,4.16084,6800,290,147,-1152
680.0,40655B,B738,EXS205,52.40387,4.18404,6400,286,148,-1152
700.0,40655B,B738,EXS205,52.38171,4.20586,5975,284,149,-1344
720.0,40655B,B738,EXS205,52.35874,4.22793,5525,285,149,-1344
740.0,40655B,B738,EXS205,52.33556,4.25037,5050,286,149,-1152
