time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,406909,A320,EZY68YB,52.81787,2.55508,24925,431,108,-2048
20.0,406909,A320,EZY68YB,52.79965,2.64557,23950,425,108,-2048
40.0,406909,A320,EZY68YB,52.7932,2.67776,23575,423,108,-2048
60.0,406909,A320,EZY68YB,52.77841,2.75098,22750,419,108,-2048
80.0,406909,A320,EZY68YB,52.76501,2.81737,22000,416,108,-2048
100.0,406909,A320,EZY68YB,52.75546,2.86476,21475,414,108,-1984
120.0,406909,A320,EZY68YB,52.7374,2.9536,20500,409,108,-1984
140.0,406909,A320,EZY68YB,52.73268,2.97668,20225,408,108,-1856
160.0,406909,A320,EZY68YB,52.72055,3.03576,19600,405,108,-1856
180.0,406909,A320,EZY68YB,52.70751,3.09932,18950,400,108,-1856
200.0,406909,A320,EZY68YB,52.69583,3.15643,18325,398,108,-1856
220.0,406909,A320,EZY68YB,52.68391,3.21413,17725,394,108,-1792
240.0,406909,A320,EZY68YB,52.67386,3.2627,17200,390,108,-1792
260.0,406909,A320,EZY68YB,52.6604,3.32779,16500,386,108,-1792
280.0,406909,A320,EZY68YB,52.64937,3.38057,15950,384,108,-1792
300.0,406909,A320,EZY68YB,52.63852,3.43239,15400,381,108,-1792
320.0,406909,A320,EZY68YB,52.62698,3.48769,14775,379,108,-1856
340.0,406909,A320,EZY68YB,52.61591,3.54042,14200,376,109,-1792
360.0,406909,A320,EZY68YB,52.60291,3.6021,13525,372,109,-1792
380.0,406909,A320,EZY68YB,52.59297,3.64937,13000,370,109,-1728
400.0,406909,A320,EZY68YB,52.58194,3.70178,12425,365,109,-1728
420.0,406909,A320,EZY68YB,52.57137,3.75145,11850,361,109,-1728
440.0,406909,A320,EZY68YB,52.5605,3.80253,11300,357,109,-1664
460.0,406909,A320,EZY68YB,52.54971,3.853,10725,353,109,-1728
480.0,406909,A320,EZY68YB,52.53864,3.90495,10300,344,109,-704
500.0,406909,A320,EZY68YB,52.53273,3.95691,10025,333,89,-704
520.0,406909,A320,EZY68YB,52.53448,4.00405,9775,319,85,-1088
540.0,406909,A320,EZY68YB,52.53643,4.04995,9400,314,85,-1216
560.0,406909,A320,EZY68YB,52.53868,4.09813,8875,313,85,-1728
580.0,406909,A320,EZY68YB,52.54086,4.14444,8350,311,85,-1600
600.0,406909,A320,EZY68YB,52.54285,4.19243,7925,306,86,-1088
620.0,406909,A320,EZY68YB,52.54453,4.23845,7400,304,86,-1664
640.0,406909,A320,EZY68YB,52.54626,4.28396,6950,302,86,-1344
660.0,406909,A320,EZY68YB,52.54798,4.32979,6425,300,86,-1472
680.0,406909,A320,EZY68YB,52.54966,4.37507,5975,296,86,-1216
700.0,406909,A320,EZY68YB,52.55133,4.4187,5550,292,88,-1472
720.0,406909,A320,EZY68YB,52.5498,4.46249,5225,283,95,-576
740.0,406909,A320,EZY68YB,52.54696,4.5051,5025,271,96,-640
