time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4B1698,A321,SWR734,50.8734,4.57039,24725,327,325,-960
20.0,4B1698,A321,SWR734,50.8883,4.55376,24525,328,323,-960
40.0,4B1698,A321,SWR734,50.9105,4.52164,24175,331,313,-960
60.0,4B1698,A321,SWR734,50.92992,4.48807,23850,323,318,-1024
80.0,4B1698,A321,SWR734,50.95673,4.46373,23500,313,341,-1216
100.0,4B1698,A321,SWR734,50.98453,4.4531,23025,312,347,-1536
120.0,4B1698,A321,SWR734,51.01488,4.44271,22450,314,347,-1664
140.0,4B1698,A321,SWR734,51.04043,4.43405,21925,315,347,-1664
180.0,4B1698,A321,SWR734,51.10927,4.41057,20625,319,347,-1664
200.0,4B1698,A321,SWR734,51.12795,4.40422,20275,317,347,-1600
220.0,4B1698,A321,SWR734,51.15579,4.39476,19750,313,347,-1536
240.0,4B1698,A321,SWR734,51.18333,4.3854,19225,309,347,-1600
260.0,4B1698,A321,SWR734,51.21221,4.37546,18650,305,347,-1600
280.0,4B1698,A321,SWR734,51.24065,4.36569,18175,305,347,-1344
300.0,4B1698,A321,SWR734,51.26635,4.35699,17750,305,347,-1408
320.0,4B1698,A321,SWR734,51.29407,4.34747,17250,301,347,-1536
340.0,4B1698,A321,SWR734,51.32181,4.33789,16750,299,347,-1472
360.0,4B1698,A321,SWR734,51.34838,4.32884,16300,300,347,-1216
380.0,4B1698,A321,SWR734,51.37596,4.31941,15900,298,347,-1216
400.0,4B1698,A321,SWR734,51.40186,4.31046,15500,297,347,-1280
420.0,4B1698,A321,SWR734,51.42879,4.30122,15075,298,348,-1280
440.0,4B1698,A321,SWR734,51.45656,4.29169,14650,299,347,-1216
460.0,4B1698,A321,SWR734,51.48482,4.28192,14200,300,347,-1344
480.0,4B1698,A321,SWR734,51.51096,4.27294,13800,302,347,-1280
500.0,4B1698,A321,SWR734,51.53957,4.26307,13350,300,347,-1216
520.0,4B1698,A321,SWR734,51.56494,4.2543,12975,296,347,-1152
540.0,4B1698,A321,SWR734,51.59148,4.24518,12575,292,347,-1152
560.0,4B1698,A321,SWR734,51.61884,4.23546,12200,295,347,-1152
580.0,4B1698,A321,SWR734,51.64449,4.22654,11825,295,347,-1088
600.0,4B1698,A321,SWR734,51.67154,4.21727,11475,290,347,-1024
620.0,4B1698,A321,SWR734,51.69644,4.20858,11150,279,347,-896
640.0,4B1698,A321,SWR734,51.72148,4.1999,10825,270,347,-960
660.0,4B1698,A321,SWR734,51.74483,4.19173,10500,264,347,-960
680.0,4B1698,A321,SWR734,51.76986,4.18297,10175,263,347,-960
700.0,4B1698,A321,SWR734,51.79351,4.17458,9850,261,347,-960
720.0,4B1698,A321,SWR734,51.81702,4.16634,9525,259,347,-1024
740.0,4B1698,A321,SWR734,51.84006,4.1584,9175,259,348,-960
760.0,4B1698,A321,SWR734,51.86339,4.15016,8850,256,347,-960
780.0,4B1698,A321,SWR734,51.88573,4.14251,8525,254,348,-832
800.0,4B1698,A321,SWR734,51.91045,4.14536,8175,267,18,-448
820.0,4B1698,A321,SWR734,51.93154,4.16853,7850,279,39,-832
840.0,4B1698,A321,SWR734,51.95113,4.19505,7600,277,39,-704
860.0,4B1698,A321,SWR734,51.97022,4.22063,7325,264,39,-960
880.0,4B1698,A321,SWR734,51.98877,4.24553,7050,256,39,-768
900.0,4B1698,A321,SWR734,52.00607,4.26872,6800,246,39,-832
920.0,4B1698,A321,SWR734,52.02397,4.2926,6500,238,39,-1024
940.0,4B1698,A321,SWR734,52.04054,4.31465,6175,230,39,-960
960.0,4B1698,A321,SWR734,52.05698,4.33678,5850,223,39,-1024
980.0,4B1698,A321,SWR734,52.07222,4.35745,5475,220,39,-1152
1000.0,4B1698,A321,SWR734,52.08801,4.37851,5050,218,39,-1216
