time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4851F7,B77W,KLM758,52.21216,2.28111,24975,441,72,-2176
20.0,4851F7,B77W,KLM758,52.21592,2.30046,24750,441,72,-2432
40.0,4851F7,B77W,KLM758,52.22635,2.3539,24025,437,72,-2560
60.0,4851F7,B77W,KLM758,52.2398,2.42288,23400,427,72,-832
80.0,4851F7,B77W,KLM758,52.25014,2.4764,23200,411,72,-640
100.0,4851F7,B77W,KLM758,52.26173,2.53698,22925,397,72,-832
120.0,4851F7,B77W,KLM758,52.2746,2.60506,22625,388,72,-768
140.0,4851F7,B77W,KLM758,52.28324,2.65045,22375,378,72,-896
160.0,4851F7,B77W,KLM758,52.29396,2.70706,22050,366,72,-896
180.0,4851F7,B77W,KLM758,52.30408,2.75177,21800,360,65,-896
200.0,4851F7,B77W,KLM758,52.33002,2.81878,21400,346,55,-768
220.0,4851F7,B77W,KLM758,52.34134,2.84622,21225,340,56,-768
240.0,4851F7,B77W,KLM758,52.35716,2.88517,20850,335,56,-1536
260.0,4851F7,B77W,KLM758,52.37334,2.92564,20375,332,57,-1472
280.0,4851F7,B77W,KLM758,52.39003,2.96796,19875,331,57,-1408
300.0,4851F7,B77W,KLM758,52.40698,3.01094,19375,329,57,-1408
320.0,4851F7,B77W,KLM758,52.42429,3.05511,18900,328,57,-1344
340.0,4851F7,B77W,KLM758,52.44119,3.0983,18425,327,57,-1344
360.0,4851F7,B77W,KLM758,52.4552,3.13393,18050,324,57,-1344
380.0,4851F7,B77W,KLM758,52.47364,3.1807,17550,323,57,-1344
400.0,4851F7,B77W,KLM758,52.48774,3.2164,17125,322,57,-1408
420.0,4851F7,B77W,KLM758,52.50458,3.25951,16650,321,57,-1408
440.0,4851F7,B77W,KLM758,52.52382,3.30798,16100,321,56,-1408
460.0,4851F7,B77W,KLM758,52.53667,3.33969,15725,319,56,-1344
480.0,4851F7,B77W,KLM758,52.55292,3.38013,15325,317,56,-1280
500.0,4851F7,B77W,KLM758,52.56985,3.42186,14800,315,56,-1216
520.0,4851F7,B77W,KLM758,52.5868,3.46399,14525,307,56,-640
540.0,4851F7,B77W,KLM758,52.60077,3.49883,14325,298,56,-640
560.0,4851F7,B77W,KLM758,52.61485,3.53378,14125,290,56,-704
580.0,4851F7,B77W,KLM758,52.63205,3.57629,13750,284,56,-1280
600.0,4851F7,B77W,KLM758,52.6496,3.6196,13225,284,56,-1280
640.0,4851F7,B77W,KLM758,52.66376,3.68529,12475,268,88,-1280
660.0,4851F7,B77W,KLM758,52.65623,3.72803,12025,258,117,-1152
680.0,4851F7,B77W,KLM758,52.64378,3.7532,11775,257,131,-896
700.0,4851F7,B77W,KLM758,52.62708,3.78426,11475,257,132,-832
720.0,4851F7,B77W,KLM758,52.61032,3.81432,11175,256,132,-832
740.0,4851F7,B77W,KLM758,52.59293,3.84544,10875,255,132,-896
760.0,4851F7,B77W,KLM758,52.57796,3.87221,10600,254,132,-832
780.0,4851F7,B77W,KLM758,52.56455,3.89646,10375,253,132,-896
800.0,4851F7,B77W,KLM758,52.54458,3.93279,10000,254,131,-768
820.0,4851F7,B77W,KLM758,52.53186,3.95645,9800,251,129,-768
840.0,4851F7,B77W,KLM758,52.52107,3.98576,9525,254,114,-1152
860.0,4851F7,B77W,KLM758,52.51176,4.02321,9000,257,112,-1536
880.0,4851F7,B77W,KLM758,52.50146,4.0657,8525,258,111,-832
900.0,4851F7,B77W,KLM758,52.49398,4.09664,8275,254,111,-960
920.0,4851F7,B77W,KLM758,52.48586,4.1301,7975,251,111,-1024
940.0,4851F7,B77W,KLM758,52.47734,4.16519,7650,248,111,-960
960.0,4851F7,B77W,KLM758,52.46884,4.19945,7300,246,112,-1024
980.0,4851F7,B77W,KLM758,52.46004,4.23584,6925,243,111,-960
1000.0,4851F7,B77W,KLM758,52.45236,4.26858,6600,242,111,-1216
1020.0,4851F7,B77W,KLM758,52.44361,4.30554,6150,243,111,-1344
1040.0,4851F7,B77W,KLM758,52.43598,4.33811,5750,244,110,-1344
1060.0,4851F7,B77W,KLM758,52.42815,4.37209,5275,249,110,-1536
