time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CA4EF,B738,RYR8QZ,52.79345,2.2799,24725,410,104,-1088
20.0,4CA4EF,B738,RYR8QZ,52.78468,2.33849,24375,404,103,-1024
40.0,4CA4EF,B738,RYR8QZ,52.77595,2.39675,24050,402,103,-1024
60.0,4CA4EF,B738,RYR8QZ,52.76349,2.47971,23350,398,104,-1600
80.0,4CA4EF,B738,RYR8QZ,52.75588,2.52913,22900,396,104,-1600
100.0,4CA4EF,B738,RYR8QZ,52.74974,2.56876,22550,394,104,-1536
120.0,4CA4EF,B738,RYR8QZ,52.73768,2.64645,21825,391,104,-1600
140.0,4CA4EF,B738,RYR8QZ,52.73191,2.68372,21475,390,104,-1600
160.0,4CA4EF,B738,RYR8QZ,52.72176,2.7498,20875,385,104,-1536
180.0,4CA4EF,B738,RYR8QZ,52.71333,2.80387,20375,383,104,-1536
200.0,4CA4EF,B738,RYR8QZ,52.70565,2.85307,19925,381,104,-1536
220.0,4CA4EF,B738,RYR8QZ,52.69709,2.90761,19450,378,104,-1408
240.0,4CA4EF,B738,RYR8QZ,52.68805,2.96501,18950,374,104,-1472
260.0,4CA4EF,B738,RYR8QZ,52.67935,3.01991,18475,371,104,-1408
280.0,4CA4EF,B738,RYR8QZ,52.67111,3.07259,18025,368,104,-1408
300.0,4CA4EF,B738,RYR8QZ,52.66273,3.12592,17550,366,104,-1408
320.0,4CA4EF,B738,RYR8QZ,52.65361,3.18345,17050,364,104,-1408
340.0,4CA4EF,B738,RYR8QZ,52.64495,3.23704,16575,361,105,-1408
360.0,4CA4EF,B738,RYR8QZ,52.63467,3.29994,16050,358,104,-1408
380.0,4CA4EF,B738,RYR8QZ,52.62833,3.33914,15700,356,104,-1408
400.0,4CA4EF,B738,RYR8QZ,52.62,3.39124,15225,355,104,-1408
420.0,4CA4EF,B738,RYR8QZ,52.61023,3.45139,14700,352,104,-1344
440.0,4CA4EF,B738,RYR8QZ,52.60319,3.49506,14300,350,104,-1408
460.0,4CA4EF,B738,RYR8QZ,52.59508,3.54576,13850,347,104,-1344
480.0,4CA4EF,B738,RYR8QZ,52.58684,3.59688,13375,343,104,-1344
500.0,4CA4EF,B738,RYR8QZ,52.5788,3.64723,12950,344,104,-1280
520.0,4CA4EF,B738,RYR8QZ,52.57054,3.69759,12500,346,105,-1408
540.0,4CA4EF,B738,RYR8QZ,52.56209,3.74783,12025,346,105,-1344
560.0,4CA4EF,B738,RYR8QZ,52.55357,3.79884,11575,345,105,-1344
580.0,4CA4EF,B738,RYR8QZ,52.54505,3.85016,11100,340,104,-1408
600.0,4CA4EF,B738,RYR8QZ,52.53304,3.9014,10650,337,123,-1024
620.0,4CA4EF,B738,RYR8QZ,52.51566,3.93723,10350,330,129,-1024
640.0,4CA4EF,B738,RYR8QZ,52.49612,3.97517,10000,323,130,-1088
660.0,4CA4EF,B738,RYR8QZ,52.47736,4.01127,9675,316,130,-1024
680.0,4CA4EF,B738,RYR8QZ,52.45646,4.05066,9275,309,131,-1024
700.0,4CA4EF,B738,RYR8QZ,52.43933,4.08291,8950,307,131,-1216
720.0,4CA4EF,B738,RYR8QZ,52.42099,4.11728,8575,309,130,-1152
740.0,4CA4EF,B738,RYR8QZ,52.40231,4.15283,8175,310,130,-1152
760.0,4CA4EF,B738,RYR8QZ,52.38336,4.18892,7775,308,130,-1152
780.0,4CA4EF,B738,RYR8QZ,52.36441,4.22531,7400,303,130,-1280
800.0,4CA4EF,B738,RYR8QZ,52.34683,4.25957,7000,301,129,-1152
820.0,4CA4EF,B738,RYR8QZ,52.32918,4.29463,6500,295,128,-1472
840.0,4CA4EF,B738,RYR8QZ,52.31219,4.32901,6100,290,129,-1024
860.0,4CA4EF,B738,RYR8QZ,52.29576,4.36212,5675,288,128,-1280
880.0,4CA4EF,B738,RYR8QZ,52.27905,4.39602,5250,287,128,-1344
