time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CA63B,A320,EIN60G,52.79686,2.50137,24975,399,102,-1984
20.0,4CA63B,A320,EIN60G,52.7934,2.52662,24750,401,102,-1728
40.0,4CA63B,A320,EIN60G,52.78491,2.59102,24375,392,101,-960
60.0,4CA63B,A320,EIN60G,52.77902,2.63797,24050,384,101,-1600
80.0,4CA63B,A320,EIN60G,52.77152,2.69746,23475,380,101,-1728
100.0,4CA63B,A320,EIN60G,52.76282,2.76487,22800,377,102,-1472
120.0,4CA63B,A320,EIN60G,52.75731,2.80701,22475,371,102,-1280
140.0,4CA63B,A320,EIN60G,52.74983,2.86445,21875,368,102,-2048
160.0,4CA63B,A320,EIN60G,52.74348,2.9129,21375,366,102,-1728
180.0,4CA63B,A320,EIN60G,52.73566,2.97188,20750,363,103,-1920
200.0,4CA63B,A320,EIN60G,52.72495,3.01689,20250,347,118,-1536
220.0,4CA63B,A320,EIN60G,52.70882,3.06267,19675,342,120,-1984
240.0,4CA63B,A320,EIN60G,52.69221,3.10966,19050,340,120,-1856
260.0,4CA63B,A320,EIN60G,52.67747,3.15155,18575,336,119,-1280
280.0,4CA63B,A320,EIN60G,52.66054,3.19993,18000,333,120,-1792
300.0,4CA63B,A320,EIN60G,52.64523,3.24348,17475,331,120,-1344
320.0,4CA63B,A320,EIN60G,52.63083,3.28445,17050,326,119,-1600
340.0,4CA63B,A320,EIN60G,52.61476,3.33008,16500,323,120,-1664
360.0,4CA63B,A320,EIN60G,52.60025,3.37067,15950,323,120,-1728
380.0,4CA63B,A320,EIN60G,52.5855,3.41133,15475,319,121,-1472
400.0,4CA63B,A320,EIN60G,52.57005,3.45316,14975,316,121,-1664
420.0,4CA63B,A320,EIN60G,52.5558,3.49213,14450,315,120,-1472
440.0,4CA63B,A320,EIN60G,52.53987,3.53577,13950,313,120,-1536
460.0,4CA63B,A320,EIN60G,52.5249,3.57681,13425,311,120,-1536
480.0,4CA63B,A320,EIN60G,52.51186,3.62869,12750,325,99,-1728
500.0,4CA63B,A320,EIN60G,52.51414,3.66966,12300,338,74,-1536
520.0,4CA63B,A320,EIN60G,52.52765,3.71231,11875,338,57,-1472
540.0,4CA63B,A320,EIN60G,52.54427,3.75458,11500,338,57,-960
560.0,4CA63B,A320,EIN60G,52.56102,3.79784,11200,334,57,-1216
580.0,4CA63B,A320,EIN60G,52.57768,3.84087,10675,327,57,-2368
600.0,4CA63B,A320,EIN60G,52.59011,3.88681,9975,317,77,-1856
620.0,4CA63B,A320,EIN60G,52.58702,3.93425,9350,304,112,-1728
640.0,4CA63B,A320,EIN60G,52.57158,3.96701,8875,285,140,-1344
660.0,4CA63B,A320,EIN60G,52.54816,3.98346,8350,272,162,-1600
680.0,4CA63B,A320,EIN60G,52.52605,4.00616,7725,287,136,-1600
700.0,4CA63B,A320,EIN60G,52.5071,4.04587,7125,292,121,-1472
720.0,4CA63B,A320,EIN60G,52.49761,4.07922,6750,296,106,-1600
740.0,4CA63B,A320,EIN60G,52.49881,4.12636,6250,307,71,-1216
760.0,4CA63B,A320,EIN60G,52.5136,4.16504,5850,309,51,-1216
780.0,4CA63B,A320,EIN60G,52.53341,4.20415,5400,307,50,-1216
800.0,4CA63B,A320,EIN60G,52.5491,4.23492,5025,305,50,-1600
