time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484164,B738,KLM94Y,50.84001,4.59793,24975,395,329,-1536
20.0,484164,B738,KLM94Y,50.8493,4.58902,24825,393,329,-1472
40.0,484164,B738,KLM94Y,50.8829,4.56437,24275,390,339,-1536
60.0,484164,B738,KLM94Y,50.92026,4.54574,23725,387,346,-1472
80.0,484164,B738,KLM94Y,50.94891,4.53453,23325,383,345,-1472
100.0,484164,B738,KLM94Y,50.9859,4.51917,22775,379,345,-1472
120.0,484164,B738,KLM94Y,51.01818,4.50592,22300,375,345,-1472
140.0,484164,B738,KLM94Y,51.05212,4.49211,21775,374,345,-1472
160.0,484164,B738,KLM94Y,51.09229,4.475,21175,372,345,-1280
180.0,484164,B738,KLM94Y,51.1185,4.46465,20925,375,345,-960
200.0,484164,B738,KLM94Y,51.15127,4.45084,20600,379,345,-960
220.0,484164,B738,KLM94Y,51.18544,4.43687,20275,380,345,-1024
240.0,484164,B738,KLM94Y,51.21947,4.42291,19950,378,345,-960
260.0,484164,B738,KLM94Y,51.25443,4.40887,19600,379,345,-1024
280.0,484164,B738,KLM94Y,51.28679,4.39572,19300,374,345,-1024
300.0,484164,B738,KLM94Y,51.32039,4.38117,18950,372,345,-1024
320.0,484164,B738,KLM94Y,51.35396,4.36729,18625,371,345,-1024
340.0,484164,B738,KLM94Y,51.38757,4.35349,18275,369,345,-1024
360.0,484164,B738,KLM94Y,51.41977,4.34042,17950,364,345,-1024
380.0,484164,B738,KLM94Y,51.45261,4.32625,17600,361,345,-1088
400.0,484164,B738,KLM94Y,51.4844,4.3132,17200,342,345,-1216
420.0,484164,B738,KLM94Y,51.51429,4.30061,16800,327,345,-1216
440.0,484164,B738,KLM94Y,51.54296,4.28864,16400,313,345,-1216
460.0,484164,B738,KLM94Y,51.57024,4.27711,16025,304,345,-1088
480.0,484164,B738,KLM94Y,51.59724,4.26598,15675,294,345,-1024
500.0,484164,B738,KLM94Y,51.62311,4.25542,15350,291,345,-1024
520.0,484164,B738,KLM94Y,51.64943,4.2437,15025,293,345,-960
540.0,484164,B738,KLM94Y,51.67557,4.23323,14700,289,345,-704
560.0,484164,B738,KLM94Y,51.70133,4.22234,14425,276,345,-1216
580.0,484164,B738,KLM94Y,51.72559,4.21204,13975,270,345,-1344
600.0,484164,B738,KLM94Y,51.74961,4.20181,13525,265,344,-1472
620.0,484164,B738,KLM94Y,51.77382,4.19144,12950,264,345,-1664
640.0,484164,B738,KLM94Y,51.79705,4.18152,12350,265,346,-1664
660.0,484164,B738,KLM94Y,51.82102,4.17183,11850,262,345,-1536
680.0,484164,B738,KLM94Y,51.8442,4.16183,11375,258,345,-1408
700.0,484164,B738,KLM94Y,51.86725,4.15184,10750,260,345,-2048
720.0,484164,B738,KLM94Y,51.89071,4.14207,10150,263,348,-1536
740.0,484164,B738,KLM94Y,51.91571,4.14467,9650,273,18,-1216
760.0,484164,B738,KLM94Y,51.93689,4.16759,9275,280,42,-832
780.0,484164,B738,KLM94Y,51.95602,4.19513,8875,274,41,-1024
800.0,484164,B738,KLM94Y,51.97418,4.22346,8550,279,51,-960
820.0,484164,B738,KLM94Y,51.98918,4.25613,8225,281,54,-1024
840.0,484164,B738,KLM94Y,52.00429,4.2907,7850,281,54,-1408
860.0,484164,B738,KLM94Y,52.01961,4.32602,7450,274,53,-1216
880.0,484164,B738,KLM94Y,52.03404,4.35969,7000,273,61,-1344
900.0,484164,B738,KLM94Y,52.04068,4.39705,6800,268,78,-512
920.0,484164,B738,KLM94Y,52.04535,4.43581,6650,255,79,-448
940.0,484164,B738,KLM94Y,52.04965,4.47273,6450,246,79,-704
960.0,484164,B738,KLM94Y,52.05387,4.5102,6225,237,79,-448
980.0,484164,B738,KLM94Y,52.05806,4.54504,5950,234,79,-1088
1000.0,484164,B738,KLM94Y,52.06206,4.57794,5575,234,79,-1024
1020.0,484164,B738,KLM94Y,52.06602,4.61426,5200,234,80,-1472
