time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,485870,E75L,KLM1634,50.93629,4.47647,24600,324,308,-1088
20.0,485870,E75L,KLM1634,50.9399,4.46928,24525,324,308,-1024
40.0,485870,E75L,KLM1634,50.95785,4.43314,24175,323,308,-1024
60.0,485870,E75L,KLM1634,50.98043,4.38782,23775,323,308,-1024
80.0,485870,E75L,KLM1634,50.99858,4.3512,23450,322,308,-1024
100.0,485870,E75L,KLM1634,51.01576,4.31648,23125,321,308,-1024
120.0,485870,E75L,KLM1634,51.03094,4.28586,22850,320,308,-1024
140.0,485870,E75L,KLM1634,51.05044,4.24644,22475,319,308,-1024
160.0,485870,E75L,KLM1634,51.06683,4.21333,22200,317,308,-1024
180.0,485870,E75L,KLM1634,51.08596,4.1745,21825,316,308,-1024
200.0,485870,E75L,KLM1634,51.10398,4.13795,21500,314,308,-1024
220.0,485870,E75L,KLM1634,51.12707,4.09103,21075,309,307,-1024
240.0,485870,E75L,KLM1634,51.1435,4.05746,20725,307,307,-1088
260.0,485870,E75L,KLM1634,51.16045,4.023,20375,306,307,-1152
280.0,485870,E75L,KLM1634,51.17537,3.99249,20050,305,307,-1088
300.0,485870,E75L,KLM1634,51.1908,3.96103,19725,305,307,-1088
320.0,485870,E75L,KLM1634,51.21221,3.91716,19275,303,307,-1152
340.0,485870,E75L,KLM1634,51.22762,3.89023,18975,299,320,-1088
360.0,485870,E75L,KLM1634,51.26839,3.8686,18400,305,357,-1152
380.0,485870,E75L,KLM1634,51.278,3.86815,18275,307,358,-1152
400.0,485870,E75L,KLM1634,51.3177,3.86757,17775,312,0,-1088
420.0,485870,E75L,KLM1634,51.33646,3.86919,17550,314,5,-1088
440.0,485870,E75L,KLM1634,51.36543,3.87721,17175,318,13,-1088
460.0,485870,E75L,KLM1634,51.39427,3.89035,16825,315,16,-1088
480.0,485870,E75L,KLM1634,51.42179,3.90312,16450,313,16,-1088
500.0,485870,E75L,KLM1634,51.44953,3.91594,16100,310,16,-1088
520.0,485870,E75L,KLM1634,51.47726,3.9288,15725,307,16,-1088
540.0,485870,E75L,KLM1634,51.50519,3.94172,15350,306,16,-1088
560.0,485870,E75L,KLM1634,51.53254,3.95447,14975,306,16,-1088
580.0,485870,E75L,KLM1634,51.55716,3.96591,14650,308,16,-1088
600.0,485870,E75L,KLM1634,51.5972,3.98455,14125,305,16,-1088
620.0,485870,E75L,KLM1634,51.62182,3.99605,13775,305,16,-1088
640.0,485870,E75L,KLM1634,51.6438,4.0063,13500,304,16,-1152
660.0,485870,E75L,KLM1634,51.6665,4.01691,13175,292,16,-1152
680.0,485870,E75L,KLM1634,51.69186,4.02879,12800,280,16,-1088
700.0,485870,E75L,KLM1634,51.71577,4.03999,12450,275,16,-1152
720.0,485870,E75L,KLM1634,51.74072,4.05167,12075,275,16,-1152
740.0,485870,E75L,KLM1634,51.76469,4.06288,11700,276,16,-1088
760.0,485870,E75L,KLM1634,51.78918,4.0744,11350,274,16,-1152
780.0,485870,E75L,KLM1634,51.81273,4.08546,10975,268,16,-1088
800.0,485870,E75L,KLM1634,51.83662,4.09668,10600,268,16,-1088
820.0,485870,E75L,KLM1634,51.86124,4.10828,10250,272,16,-1088
840.0,485870,E75L,KLM1634,51.88467,4.11928,9875,270,16,-1152
860.0,485870,E75L,KLM1634,51.90835,4.13298,9500,270,25,-1152
880.0,485870,E75L,KLM1634,51.92908,4.15604,9150,279,41,-1088
900.0,485870,E75L,KLM1634,51.94798,4.18434,8775,282,49,-1088
920.0,485870,E75L,KLM1634,51.96151,4.22267,8425,288,64,-1088
940.0,485870,E75L,KLM1634,51.97292,4.26089,7975,288,64,-1408
960.0,485870,E75L,KLM1634,51.98474,4.30005,7525,283,63,-1344
980.0,485870,E75L,KLM1634,51.99601,4.33693,7050,277,63,-1408
1000.0,485870,E75L,KLM1634,52.00728,4.37389,6600,275,63,-1472
1020.0,485870,E75L,KLM1634,52.01857,4.41078,6125,274,63,-1408
1040.0,485870,E75L,KLM1634,52.02965,4.44702,5725,266,63,-1088
1060.0,485870,E75L,KLM1634,52.04037,4.48297,5350,259,64,-1088
1080.0,485870,E75L,KLM1634,52.04851,4.51836,5150,248,73,-448
