time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4074B8,A20N,EZY95EZ,52.78349,2.56516,24800,401,107,-1024
20.0,4074B8,A20N,EZY95EZ,52.77214,2.62535,24450,395,107,-960
40.0,4074B8,A20N,EZY95EZ,52.76216,2.67952,23975,389,106,-1856
60.0,4074B8,A20N,EZY95EZ,52.74609,2.76955,23000,382,106,-1792
80.0,4074B8,A20N,EZY95EZ,52.74159,2.795,22750,380,106,-1792
100.0,4074B8,A20N,EZY95EZ,52.73177,2.85017,22125,374,106,-1728
120.0,4074B8,A20N,EZY95EZ,52.72279,2.90039,21575,368,106,-1792
140.0,4074B8,A20N,EZY95EZ,52.71175,2.96231,20900,362,106,-1728
160.0,4074B8,A20N,EZY95EZ,52.70235,3.01386,20300,357,106,-1792
180.0,4074B8,A20N,EZY95EZ,52.69423,3.05809,19800,352,106,-1728
200.0,4074B8,A20N,EZY95EZ,52.6841,3.114,19150,346,106,-1728
220.0,4074B8,A20N,EZY95EZ,52.67583,3.15964,18625,341,106,-1664
240.0,4074B8,A20N,EZY95EZ,52.6665,3.2113,18025,336,106,-1728
260.0,4074B8,A20N,EZY95EZ,52.6566,3.26561,17400,331,106,-1664
280.0,4074B8,A20N,EZY95EZ,52.64946,3.3046,16950,328,106,-1664
300.0,4074B8,A20N,EZY95EZ,52.63985,3.3567,16350,322,106,-1600
320.0,4074B8,A20N,EZY95EZ,52.63215,3.39839,15875,318,106,-1600
340.0,4074B8,A20N,EZY95EZ,52.62325,3.44696,15300,313,106,-1664
360.0,4074B8,A20N,EZY95EZ,52.61539,3.48973,14775,310,106,-1728
380.0,4074B8,A20N,EZY95EZ,52.60705,3.53469,14200,306,107,-1664
400.0,4074B8,A20N,EZY95EZ,52.59824,3.58162,13625,303,107,-1664
420.0,4074B8,A20N,EZY95EZ,52.58954,3.62823,13025,300,107,-1600
440.0,4074B8,A20N,EZY95EZ,52.58271,3.66512,12575,297,106,-1600
460.0,4074B8,A20N,EZY95EZ,52.57471,3.70834,12025,295,106,-1600
480.0,4074B8,A20N,EZY95EZ,52.57149,3.75591,11525,293,90,-1344
500.0,4074B8,A20N,EZY95EZ,52.57182,3.79753,11025,290,89,-1728
520.0,4074B8,A20N,EZY95EZ,52.57228,3.84232,10500,288,89,-1408
540.0,4074B8,A20N,EZY95EZ,52.57292,3.88435,10025,284,88,-1408
560.0,4074B8,A20N,EZY95EZ,52.57382,3.93193,9475,281,88,-1536
580.0,4074B8,A20N,EZY95EZ,52.5747,3.97148,9050,277,87,-1408
600.0,4074B8,A20N,EZY95EZ,52.57553,4.01093,8525,276,87,-1920
620.0,4074B8,A20N,EZY95EZ,52.57649,4.0538,7850,281,87,-1984
640.0,4074B8,A20N,EZY95EZ,52.57731,4.09751,7275,281,88,-1536
660.0,4074B8,A20N,EZY95EZ,52.57824,4.13886,6725,282,87,-1664
680.0,4074B8,A20N,EZY95EZ,52.57936,4.18147,6150,283,87,-1664
700.0,4074B8,A20N,EZY95EZ,52.5808,4.23201,5500,283,87,-1920
