time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4851AE,B789,KLM878,52.27002,6.70135,24900,339,289,-1664
20.0,4851AE,B789,KLM878,52.2789,6.66069,24475,338,289,-1472
40.0,4851AE,B789,KLM878,52.29272,6.59775,23825,334,289,-1536
60.0,4851AE,B789,KLM878,52.29698,6.57982,23625,335,291,-1536
80.0,4851AE,B789,KLM878,52.31099,6.53786,23175,338,301,-1408
100.0,4851AE,B789,KLM878,52.32852,6.49338,22700,336,302,-1408
120.0,4851AE,B789,KLM878,52.3506,6.43775,22100,332,302,-1408
140.0,4851AE,B789,KLM878,52.36276,6.40694,21775,329,302,-1280
160.0,4851AE,B789,KLM878,52.37834,6.36768,21350,326,303,-1408
180.0,4851AE,B789,KLM878,52.39444,6.32713,20875,324,303,-1408
200.0,4851AE,B789,KLM878,52.41032,6.28708,20400,321,302,-1536
220.0,4851AE,B789,KLM878,52.42767,6.24321,19900,318,302,-1472
240.0,4851AE,B789,KLM878,52.44324,6.2039,19425,316,302,-1472
260.0,4851AE,B789,KLM878,52.46182,6.15685,18875,314,302,-1344
280.0,4851AE,B789,KLM878,52.47725,6.11794,18425,312,303,-1408
300.0,4851AE,B789,KLM878,52.49063,6.08501,18100,307,304,-960
320.0,4851AE,B789,KLM878,52.50691,6.0463,17875,299,305,-960
340.0,4851AE,B789,KLM878,52.52275,6.00929,17350,297,303,-1920
360.0,4851AE,B789,KLM878,52.53282,5.96901,16725,288,284,-1920
380.0,4851AE,B789,KLM878,52.53557,5.91866,16000,286,270,-1984
400.0,4851AE,B789,KLM878,52.53625,5.87326,15400,288,271,-1600
420.0,4851AE,B789,KLM878,52.53681,5.83256,15000,286,271,-1024
440.0,4851AE,B789,KLM878,52.53718,5.78681,14600,280,270,-1280
480.0,4851AE,B789,KLM878,52.53786,5.70969,13675,276,270,-1664
500.0,4851AE,B789,KLM878,52.53802,5.66157,13025,272,270,-1472
520.0,4851AE,B789,KLM878,52.53822,5.63171,12725,265,270,-1216
540.0,4851AE,B789,KLM878,52.53853,5.58772,12300,258,270,-1152
560.0,4851AE,B789,KLM878,52.53868,5.55275,11925,257,270,-1408
580.0,4851AE,B789,KLM878,52.53886,5.5127,11425,257,270,-1536
600.0,4851AE,B789,KLM878,52.53904,5.46531,10875,256,270,-1280
620.0,4851AE,B789,KLM878,52.53914,5.43488,10525,256,270,-1472
640.0,4851AE,B789,KLM878,52.53932,5.39673,10075,257,270,-1344
660.0,4851AE,B789,KLM878,52.53941,5.35789,9550,260,270,-1600
680.0,4851AE,B789,KLM878,52.53969,5.31792,9075,262,270,-1408
700.0,4851AE,B789,KLM878,52.53987,5.27939,8625,262,270,-1280
720.0,4851AE,B789,KLM878,52.54001,5.23979,8250,260,270,-1088
740.0,4851AE,B789,KLM878,52.54011,5.2003,7900,258,270,-1088
760.0,4851AE,B789,KLM878,52.54024,5.16106,7550,256,271,-1152
780.0,4851AE,B789,KLM878,52.5412,5.12207,7200,254,272,-960
800.0,4851AE,B789,KLM878,52.54225,5.08255,6900,252,272,-896
820.0,4851AE,B789,KLM878,52.54314,5.04343,6550,248,272,-1024
840.0,4851AE,B789,KLM878,52.54407,5.00875,6250,244,272,-1088
860.0,4851AE,B789,KLM878,52.54523,4.97257,5900,238,273,-1408
880.0,4851AE,B789,KLM878,52.54644,4.93624,5400,237,272,-1408
900.0,4851AE,B789,KLM878,52.54756,4.89967,5025,226,273,-960
