time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CA837,A320,EIN61V,52.75123,2.67643,24800,439,105,-2432
20.0,4CA837,A320,EIN61V,52.74545,2.71072,24375,438,105,-2368
40.0,4CA837,A320,EIN61V,52.73512,2.77256,23800,428,105,-1280
60.0,4CA837,A320,EIN61V,52.72409,2.83879,23275,412,105,-1856
80.0,4CA837,A320,EIN61V,52.71361,2.90078,22650,403,105,-1600
100.0,4CA837,A320,EIN61V,52.7016,2.97117,21750,398,105,-2240
120.0,4CA837,A320,EIN61V,52.69492,3.01003,21375,392,105,-1856
140.0,4CA837,A320,EIN61V,52.68498,3.06763,20800,384,105,-1984
160.0,4CA837,A320,EIN61V,52.67516,3.12451,19975,383,106,-2432
180.0,4CA837,A320,EIN61V,52.66571,3.17871,19225,381,105,-2368
200.0,4CA837,A320,EIN61V,52.65542,3.23814,18400,380,106,-1600
220.0,4CA837,A320,EIN61V,52.64653,3.28934,17775,376,105,-2432
240.0,4CA837,A320,EIN61V,52.63675,3.34526,16875,378,106,-2240
260.0,4CA837,A320,EIN61V,52.6274,3.39893,16350,371,105,-2176
280.0,4CA837,A320,EIN61V,52.61739,3.45606,15600,369,106,-1728
300.0,4CA837,A320,EIN61V,52.60868,3.50613,15025,364,105,-1920
320.0,4CA837,A320,EIN61V,52.59923,3.56028,14375,361,106,-1856
340.0,4CA837,A320,EIN61V,52.59109,3.6123,13750,364,99,-2048
360.0,4CA837,A320,EIN61V,52.59238,3.66798,13150,373,83,-1792
380.0,4CA837,A320,EIN61V,52.59663,3.72515,12525,368,83,-2048
400.0,4CA837,A320,EIN61V,52.60058,3.78032,11900,363,83,-1920
420.0,4CA837,A320,EIN61V,52.60423,3.83415,11375,356,83,-1728
440.0,4CA837,A320,EIN61V,52.60748,3.88817,10525,358,84,-2624
460.0,4CA837,A320,EIN61V,52.61041,3.94325,9750,359,85,-2112
480.0,4CA837,A320,EIN61V,52.61307,3.99643,9075,357,85,-1984
500.0,4CA837,A320,EIN61V,52.61562,4.05325,8375,354,85,-2176
520.0,4CA837,A320,EIN61V,52.61778,4.10942,7625,353,86,-2176
540.0,4CA837,A320,EIN61V,52.61944,4.15887,7025,349,86,-1984
560.0,4CA837,A320,EIN61V,52.62088,4.2098,6275,350,87,-2496
580.0,4CA837,A320,EIN61V,52.62242,4.26897,5600,344,89,-1920
600.0,4CA837,A320,EIN61V,52.62085,4.31519,5125,335,96,-832
