time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4851AF,B789,KLM194,52.79338,2.43515,24925,430,106,-1792
20.0,4851AF,B789,KLM194,52.79033,2.45176,24775,429,106,-1856
40.0,4851AF,B789,KLM194,52.77855,2.51461,24150,426,107,-2240
60.0,4851AF,B789,KLM194,52.76697,2.57545,23525,423,107,-1664
80.0,4851AF,B789,KLM194,52.75546,2.6364,22950,419,107,-1792
100.0,4851AF,B789,KLM194,52.74394,2.69669,22300,416,107,-1920
120.0,4851AF,B789,KLM194,52.73279,2.75702,21825,415,106,-1600
140.0,4851AF,B789,KLM194,52.72125,2.81737,21325,415,107,-1408
160.0,4851AF,B789,KLM194,52.70956,2.87849,20800,415,107,-1280
180.0,4851AF,B789,KLM194,52.69839,2.93739,20350,413,107,-1664
200.0,4851AF,B789,KLM194,52.68643,2.99738,19775,413,108,-1600
220.0,4851AF,B789,KLM194,52.6745,3.05794,19250,412,107,-1600
240.0,4851AF,B789,KLM194,52.66301,3.11745,18775,410,107,-1344
260.0,4851AF,B789,KLM194,52.6517,3.17623,18300,406,107,-1408
280.0,4851AF,B789,KLM194,52.64057,3.23485,17875,401,108,-1408
300.0,4851AF,B789,KLM194,52.62921,3.29252,17450,398,107,-1472
320.0,4851AF,B789,KLM194,52.61785,3.34965,16900,394,108,-1792
340.0,4851AF,B789,KLM194,52.60668,3.40553,16350,389,108,-1536
360.0,4851AF,B789,KLM194,52.59486,3.46454,15775,383,108,-1920
380.0,4851AF,B789,KLM194,52.58418,3.5183,15175,381,108,-1664
400.0,4851AF,B789,KLM194,52.57338,3.57246,14575,378,107,-1920
420.0,4851AF,B789,KLM194,52.56236,3.62886,13975,375,107,-1792
440.0,4851AF,B789,KLM194,52.55217,3.68018,13450,374,108,-1472
460.0,4851AF,B789,KLM194,52.54151,3.73331,12950,371,108,-1728
480.0,4851AF,B789,KLM194,52.53076,3.78659,12325,369,108,-1728
500.0,4851AF,B789,KLM194,52.52,3.84033,11750,366,108,-1856
520.0,4851AF,B789,KLM194,52.50961,3.89183,11175,363,108,-1728
540.0,4851AF,B789,KLM194,52.49886,3.94432,10625,361,109,-1472
560.0,4851AF,B789,KLM194,52.48787,3.99574,10275,342,109,-1024
580.0,4851AF,B789,KLM194,52.47787,4.04211,9875,318,109,-1472
600.0,4851AF,B789,KLM194,52.46764,4.08859,9300,303,109,-1984
620.0,4851AF,B789,KLM194,52.45862,4.12895,8775,300,110,-1728
640.0,4851AF,B789,KLM194,52.44905,4.17183,8100,298,110,-2112
660.0,4851AF,B789,KLM194,52.43965,4.21404,7450,298,109,-1856
680.0,4851AF,B789,KLM194,52.4302,4.25673,6875,301,109,-1408
700.0,4851AF,B789,KLM194,52.42058,4.30054,6450,294,109,-1344
720.0,4851AF,B789,KLM194,52.41493,4.34195,6000,298,89,-1408
740.0,4851AF,B789,KLM194,52.42341,4.38606,5550,297,56,-1280
760.0,4851AF,B789,KLM194,52.44286,4.41556,5150,293,36,-1216
