time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484133,B738,KLM1286,52.94004,2.81784,24800,313,115,-1280
20.0,484133,B738,KLM1286,52.93259,2.84365,24525,311,115,-1472
40.0,484133,B738,KLM1286,52.9232,2.87598,24150,309,115,-1472
60.0,484133,B738,KLM1286,52.90997,2.92064,23600,308,115,-1600
80.0,484133,B738,KLM1286,52.89777,2.96317,23100,307,115,-1408
100.0,484133,B738,KLM1286,52.88297,3.01386,22525,305,115,-1472
120.0,484133,B738,KLM1286,52.87363,3.04527,22125,304,115,-1472
140.0,484133,B738,KLM1286,52.86099,3.0867,21675,300,116,-2048
160.0,484133,B738,KLM1286,52.84824,3.12977,21150,296,116,-1600
180.0,484133,B738,KLM1286,52.83531,3.172,20600,292,116,-1472
200.0,484133,B738,KLM1286,52.82073,3.20503,20125,273,131,-1408
220.0,484133,B738,KLM1286,52.80309,3.23769,19550,271,131,-1536
240.0,484133,B738,KLM1286,52.78162,3.27805,18925,271,131,-1600
260.0,484133,B738,KLM1286,52.77136,3.29651,18625,271,131,-1344
280.0,484133,B738,KLM1286,52.75452,3.32741,18200,270,132,-1280
300.0,484133,B738,KLM1286,52.7253,3.37359,17450,261,142,-1408
320.0,484133,B738,KLM1286,52.71666,3.38455,17250,261,142,-1280
340.0,484133,B738,KLM1286,52.69415,3.41196,16750,259,142,-1280
360.0,484133,B738,KLM1286,52.67707,3.43354,16375,259,142,-1216
380.0,484133,B738,KLM1286,52.65617,3.45975,15950,256,143,-1152
400.0,484133,B738,KLM1286,52.64141,3.47843,15625,255,143,-1280
420.0,484133,B738,KLM1286,52.62274,3.50181,15200,253,142,-1216
440.0,484133,B738,KLM1286,52.60464,3.52394,14825,252,142,-1088
460.0,484133,B738,KLM1286,52.58473,3.54942,14400,250,142,-1152
480.0,484133,B738,KLM1286,52.56725,3.57126,14025,249,142,-1216
500.0,484133,B738,KLM1286,52.54829,3.59558,13600,248,142,-1216
520.0,484133,B738,KLM1286,52.53149,3.61626,13250,248,142,-1152
540.0,484133,B738,KLM1286,52.51355,3.6396,12850,250,138,-1280
560.0,484133,B738,KLM1286,52.5011,3.68294,12400,287,95,-960
580.0,484133,B738,KLM1286,52.50073,3.72005,12150,289,89,-960
600.0,484133,B738,KLM1286,52.50087,3.76587,11825,286,89,-640
620.0,484133,B738,KLM1286,52.50096,3.80668,11550,280,90,-1152
640.0,484133,B738,KLM1286,52.50082,3.84898,11150,279,90,-1280
660.0,484133,B738,KLM1286,52.50041,3.88939,10725,281,91,-1408
680.0,484133,B738,KLM1286,52.49966,3.9386,10225,283,91,-1152
700.0,484133,B738,KLM1286,52.49901,3.97729,9875,283,91,-1216
720.0,484133,B738,KLM1286,52.49812,4.01794,9525,282,92,-896
740.0,484133,B738,KLM1286,52.49705,4.0669,9125,280,92,-1152
760.0,484133,B738,KLM1286,52.49597,4.10744,8700,281,92,-1408
780.0,484133,B738,KLM1286,52.49469,4.14574,8325,281,93,-1024
800.0,484133,B738,KLM1286,52.493,4.19042,7975,280,93,-1024
820.0,484133,B738,KLM1286,52.49135,4.23065,7625,279,93,-1024
840.0,484133,B738,KLM1286,52.48928,4.27917,7175,278,94,-1216
860.0,484133,B738,KLM1286,52.48765,4.31716,6850,276,94,-1216
880.0,484133,B738,KLM1286,52.4859,4.35677,6475,275,93,-1216
900.0,484133,B738,KLM1286,52.49181,4.4017,6000,280,60,-1280
920.0,484133,B738,KLM1286,52.50819,4.4278,5625,269,28,-1216
940.0,484133,B738,KLM1286,52.5314,4.44099,5175,259,16,-1280
