time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484B92,B737,KLM94Y,50.92126,4.50226,24925,419,308,-1024
20.0,484B92,B737,KLM94Y,50.93678,4.47114,24725,418,308,-1024
40.0,484B92,B737,KLM94Y,50.96301,4.41858,24350,417,308,-1024
60.0,484B92,B737,KLM94Y,50.9841,4.37805,24050,414,308,-1024
80.0,484B92,B737,KLM94Y,51.0087,4.32839,23700,410,308,-1088
100.0,484B92,B737,KLM94Y,51.03568,4.27422,23300,406,308,-1088
120.0,484B92,B737,KLM94Y,51.05484,4.23449,23025,406,308,-1024
140.0,484B92,B737,KLM94Y,51.0773,4.19052,22625,393,308,-1152
160.0,484B92,B737,KLM94Y,51.10365,4.1378,22175,373,308,-1152
180.0,484B92,B737,KLM94Y,51.12213,4.09981,21825,360,308,-1152
200.0,484B92,B737,KLM94Y,51.1414,4.06101,21450,347,307,-1088
220.0,484B92,B737,KLM94Y,51.16054,4.02328,21100,338,307,-1088
240.0,484B92,B737,KLM94Y,51.18622,3.97096,20650,331,308,-1024
260.0,484B92,B737,KLM94Y,51.1982,3.946,20425,329,307,-1024
280.0,484B92,B737,KLM94Y,51.21938,3.90495,20075,335,314,-896
300.0,484B92,B737,KLM94Y,51.24759,3.87772,19725,358,337,-768
320.0,484B92,B737,KLM94Y,51.27748,3.86848,19425,373,357,-768
340.0,484B92,B737,KLM94Y,51.31253,3.86787,19075,376,358,-1024
360.0,484B92,B737,KLM94Y,51.35234,3.86645,18700,377,359,-960
380.0,484B92,B737,KLM94Y,51.38259,3.86597,18400,376,359,-1024
400.0,484B92,B737,KLM94Y,51.41876,3.86541,18075,377,359,-1024
420.0,484B92,B737,KLM94Y,51.45205,3.86475,17750,375,359,-1024
440.0,484B92,B737,KLM94Y,51.48761,3.86392,17400,372,359,-1024
460.0,484B92,B737,KLM94Y,51.52139,3.85821,17050,356,344,-1664
480.0,484B92,B737,KLM94Y,51.55088,3.84254,16600,350,341,-1344
500.0,484B92,B737,KLM94Y,51.5817,3.82629,16150,349,341,-1280
520.0,484B92,B737,KLM94Y,51.61228,3.81035,15725,345,342,-1280
540.0,484B92,B737,KLM94Y,51.64217,3.79463,15300,342,342,-1344
560.0,484B92,B737,KLM94Y,51.67224,3.77922,14875,339,342,-1280
580.0,484B92,B737,KLM94Y,51.70227,3.76373,14425,336,342,-1280
600.0,484B92,B737,KLM94Y,51.7327,3.74775,14000,331,342,-1216
620.0,484B92,B737,KLM94Y,51.76087,3.73337,13575,327,342,-1280
640.0,484B92,B737,KLM94Y,51.78922,3.71864,13150,324,342,-1344
660.0,484B92,B737,KLM94Y,51.81999,3.71301,12725,334,4,-896
680.0,484B92,B737,KLM94Y,51.84956,3.73231,12300,346,34,-896
700.0,484B92,B737,KLM94Y,51.87009,3.76877,11900,345,59,-768
720.0,484B92,B737,KLM94Y,51.87949,3.81668,11575,336,80,-1024
740.0,484B92,B737,KLM94Y,51.88495,3.86867,11225,334,80,-1024
760.0,484B92,B737,KLM94Y,51.8901,3.91548,10900,333,80,-960
780.0,484B92,B737,KLM94Y,51.89539,3.96706,10550,332,80,-960
800.0,484B92,B737,KLM94Y,51.90042,4.01604,10225,331,80,-1024
820.0,484B92,B737,KLM94Y,51.90556,4.06227,9900,328,80,-960
840.0,484B92,B737,KLM94Y,51.91184,4.11022,9575,326,71,-1152
860.0,484B92,B737,KLM94Y,51.92758,4.15165,9250,322,47,-1280
880.0,484B92,B737,KLM94Y,51.94936,4.18414,8900,321,41,-960
900.0,484B92,B737,KLM94Y,51.9738,4.2102,8575,312,22,-1088
920.0,484B92,B737,KLM94Y,52.0015,4.22676,8225,308,19,-1024
940.0,484B92,B737,KLM94Y,52.02767,4.24135,7900,304,19,-1024
960.0,484B92,B737,KLM94Y,52.05425,4.25618,7575,302,18,-896
980.0,484B92,B737,KLM94Y,52.08064,4.2707,7275,298,18,-896
1000.0,484B92,B737,KLM94Y,52.10666,4.28498,6950,294,18,-960
1020.0,484B92,B737,KLM94Y,52.13236,4.29895,6625,289,18,-960
1040.0,484B92,B737,KLM94Y,52.15694,4.31268,6300,283,18,-960
1060.0,484B92,B737,KLM94Y,52.18157,4.32642,6025,272,19,-768
1080.0,484B92,B737,KLM94Y,52.20497,4.34082,5775,262,20,-768
1100.0,484B92,B737,KLM94Y,52.22686,4.3538,5600,251,20,-448
1120.0,484B92,B737,KLM94Y,52.248,4.36722,5425,241,21,-896
1140.0,484B92,B737,KLM94Y,52.26915,4.38133,5150,236,21,-768
