time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484F15,B737,KLM1628,50.95389,4.43588,24975,363,309,-256
20.0,484F15,B737,KLM1628,50.9632,4.41717,24825,363,308,-1216
40.0,484F15,B737,KLM1628,50.98527,4.37355,24275,362,308,-1600
60.0,484F15,B737,KLM1628,51.00682,4.3325,23725,357,308,-1536
80.0,484F15,B737,KLM1628,51.02707,4.29153,23225,355,308,-1536
100.0,484F15,B737,KLM1628,51.04537,4.25491,22775,352,308,-1536
120.0,484F15,B737,KLM1628,51.06665,4.21259,22250,348,308,-1536
140.0,484F15,B737,KLM1628,51.08526,4.17465,21775,344,308,-1472
160.0,484F15,B737,KLM1628,51.10858,4.12704,21175,339,307,-1472
180.0,484F15,B737,KLM1628,51.12576,4.09187,20725,337,308,-1536
200.0,484F15,B737,KLM1628,51.15385,4.03503,20000,338,308,-1472
220.0,484F15,B737,KLM1628,51.16791,4.00778,19650,338,308,-1536
240.0,484F15,B737,KLM1628,51.1848,3.9726,19200,337,308,-1472
260.0,484F15,B737,KLM1628,51.20471,3.93377,18700,336,307,-1472
280.0,484F15,B737,KLM1628,51.22487,3.89931,18250,347,321,-1280
300.0,484F15,B737,KLM1628,51.26271,3.87305,17625,374,348,-1408
320.0,484F15,B737,KLM1628,51.28734,3.87179,17275,385,4,-1536
340.0,484F15,B737,KLM1628,51.32277,3.88471,16750,390,14,-1536
360.0,484F15,B737,KLM1628,51.35696,3.89888,16250,384,14,-1472
380.0,484F15,B737,KLM1628,51.39217,3.91291,15725,381,14,-1536
400.0,484F15,B737,KLM1628,51.42874,3.92828,15200,376,14,-1536
420.0,484F15,B737,KLM1628,51.45927,3.9409,14750,374,14,-1536
440.0,484F15,B737,KLM1628,51.49265,3.95471,14250,370,14,-1536
460.0,484F15,B737,KLM1628,51.52453,3.96797,13775,364,14,-1536
480.0,484F15,B737,KLM1628,51.55679,3.98155,13300,358,14,-1216
500.0,484F15,B737,KLM1628,51.58882,3.99483,12950,350,14,-1024
520.0,484F15,B737,KLM1628,51.63095,4.01299,12500,341,14,-1024
540.0,484F15,B737,KLM1628,51.64994,4.02054,12300,338,14,-960
560.0,484F15,B737,KLM1628,51.68152,4.03421,11950,340,14,-896
580.0,484F15,B737,KLM1628,51.71123,4.04698,11625,340,14,-1152
600.0,484F15,B737,KLM1628,51.74194,4.05997,11275,341,14,-896
620.0,484F15,B737,KLM1628,51.77271,4.07311,10950,337,14,-960
640.0,484F15,B737,KLM1628,51.80114,4.08524,10625,329,14,-1088
660.0,484F15,B737,KLM1628,51.83028,4.09752,10250,321,14,-1088
680.0,484F15,B737,KLM1628,51.8595,4.10993,9925,316,14,-960
700.0,484F15,B737,KLM1628,51.88736,4.12125,9575,311,14,-1024
720.0,484F15,B737,KLM1628,51.91445,4.13565,9250,308,19,-1024
740.0,484F15,B737,KLM1628,51.94117,4.15056,8925,308,18,-1024
760.0,484F15,B737,KLM1628,51.96859,4.16507,8575,308,18,-1024
780.0,484F15,B737,KLM1628,51.99536,4.17943,8250,304,17,-1024
800.0,484F15,B737,KLM1628,52.02342,4.19403,7900,304,17,-960
820.0,484F15,B737,KLM1628,52.04936,4.20706,7575,303,17,-1024
840.0,484F15,B737,KLM1628,52.07594,4.22063,7225,301,17,-1024
860.0,484F15,B737,KLM1628,52.10247,4.23405,6900,300,17,-1152
880.0,484F15,B737,KLM1628,52.12938,4.24771,6325,304,17,-1472
900.0,484F15,B737,KLM1628,52.15649,4.26193,5975,298,17,-960
920.0,484F15,B737,KLM1628,52.18231,4.27447,5650,297,17,-960
940.0,484F15,B737,KLM1628,52.20909,4.28864,5325,295,17,-1024
