time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4852F6,E75L,KLM24H,50.91202,4.51308,24725,408,317,-1472
20.0,4852F6,E75L,KLM24H,50.93853,4.46671,24225,388,308,-1408
40.0,4852F6,E75L,KLM24H,50.95645,4.43123,23850,374,308,-1344
60.0,4852F6,E75L,KLM24H,50.97838,4.38751,23400,362,308,-1344
80.0,4852F6,E75L,KLM24H,50.99909,4.34601,22975,360,308,-1280
100.0,4852F6,E75L,KLM24H,51.01941,4.30545,22525,350,308,-1280
120.0,4852F6,E75L,KLM24H,51.04202,4.26017,22075,343,308,-1216
140.0,4852F6,E75L,KLM24H,51.05849,4.22707,21725,343,308,-1216
160.0,4852F6,E75L,KLM24H,51.08139,4.18097,21250,341,308,-1216
180.0,4852F6,E75L,KLM24H,51.10739,4.12871,20725,337,308,-1216
200.0,4852F6,E75L,KLM24H,51.12044,4.10235,20475,338,308,-1216
220.0,4852F6,E75L,KLM24H,51.13861,4.06568,20100,338,308,-1216
240.0,4852F6,E75L,KLM24H,51.16447,4.01357,19550,337,308,-1216
280.0,4852F6,E75L,KLM24H,51.19693,3.9478,18900,336,308,-1216
300.0,4852F6,E75L,KLM24H,51.21775,3.90656,18475,339,313,-1152
320.0,4852F6,E75L,KLM24H,51.24673,3.8752,18025,364,339,-1280
340.0,4852F6,E75L,KLM24H,51.27274,3.86808,17700,383,0,-1344
360.0,4852F6,E75L,KLM24H,51.31586,3.88151,17150,392,15,-1408
380.0,4852F6,E75L,KLM24H,51.34035,3.8922,16825,391,15,-1408
400.0,4852F6,E75L,KLM24H,51.37788,3.90831,16325,385,14,-1408
420.0,4852F6,E75L,KLM24H,51.40908,3.92143,15925,380,14,-1344
440.0,4852F6,E75L,KLM24H,51.44316,3.93562,15475,377,14,-1344
460.0,4852F6,E75L,KLM24H,51.48193,3.95181,14975,375,14,-1344
480.0,4852F6,E75L,KLM24H,51.52416,3.9695,14425,367,14,-1344
500.0,4852F6,E75L,KLM24H,51.55027,3.98041,14075,360,14,-1280
520.0,4852F6,E75L,KLM24H,51.57602,3.99109,13725,355,14,-1280
540.0,4852F6,E75L,KLM24H,51.60869,4.00474,13300,353,14,-1280
560.0,4852F6,E75L,KLM24H,51.64296,4.01901,12850,348,14,-1216
580.0,4852F6,E75L,KLM24H,51.6692,4.02998,12500,341,14,-1216
600.0,4852F6,E75L,KLM24H,51.69832,4.0423,12125,337,14,-1088
620.0,4852F6,E75L,KLM24H,51.72826,4.05485,11725,330,14,-1280
640.0,4852F6,E75L,KLM24H,51.75724,4.067,11325,319,14,-1152
660.0,4852F6,E75L,KLM24H,51.78566,4.07905,10975,313,14,-1088
680.0,4852F6,E75L,KLM24H,51.81385,4.09096,10600,311,14,-1088
700.0,4852F6,E75L,KLM24H,51.84164,4.10263,10225,310,14,-1152
720.0,4852F6,E75L,KLM24H,51.86989,4.11453,9850,313,14,-1088
740.0,4852F6,E75L,KLM24H,51.89685,4.12678,9500,310,17,-1088
760.0,4852F6,E75L,KLM24H,51.92441,4.14139,9125,309,18,-1088
780.0,4852F6,E75L,KLM24H,51.95123,4.15574,8775,308,17,-1152
800.0,4852F6,E75L,KLM24H,51.97897,4.17002,8400,307,17,-1088
820.0,4852F6,E75L,KLM24H,52.00532,4.18352,8050,303,17,-1152
840.0,4852F6,E75L,KLM24H,52.03235,4.19708,7700,303,16,-1088
860.0,4852F6,E75L,KLM24H,52.05931,4.21013,7350,303,16,-1088
880.0,4852F6,E75L,KLM24H,52.08559,4.22295,7000,300,16,-1088
900.0,4852F6,E75L,KLM24H,52.1125,4.23615,6625,297,16,-1088
920.0,4852F6,E75L,KLM24H,52.13832,4.24904,6300,296,17,-1024
940.0,4852F6,E75L,KLM24H,52.16569,4.26262,5925,294,16,-960
960.0,4852F6,E75L,KLM24H,52.19078,4.27478,5600,293,16,-960
980.0,4852F6,E75L,KLM24H,52.21701,4.28772,5250,293,16,-960
