time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,406440,A320,EZY61QE,52.77632,2.538,24650,395,105,-1408
20.0,406440,A320,EZY61QE,52.77078,2.57104,24375,395,105,-1408
40.0,406440,A320,EZY61QE,52.76193,2.62375,23925,392,105,-1472
60.0,406440,A320,EZY61QE,52.75172,2.68402,23400,391,105,-1536
80.0,406440,A320,EZY61QE,52.74187,2.74164,22900,389,105,-1536
100.0,406440,A320,EZY61QE,52.72837,2.82058,22225,384,105,-1472
120.0,406440,A320,EZY61QE,52.72078,2.86508,21825,384,105,-1472
140.0,406440,A320,EZY61QE,52.70942,2.93068,21250,381,105,-1728
160.0,406440,A320,EZY61QE,52.70388,2.9627,20850,379,105,-2432
180.0,406440,A320,EZY61QE,52.69322,3.02414,19850,383,106,-2368
200.0,406440,A320,EZY61QE,52.68247,3.08637,19175,376,106,-1728
220.0,406440,A320,EZY61QE,52.67493,3.12969,18650,374,105,-2048
240.0,406440,A320,EZY61QE,52.66516,3.18596,17975,370,105,-1856
260.0,406440,A320,EZY61QE,52.65399,3.24951,17125,368,106,-1728
280.0,406440,A320,EZY61QE,52.64662,3.2915,16675,363,105,-1792
300.0,406440,A320,EZY61QE,52.63733,3.34488,16050,358,106,-1920
320.0,406440,A320,EZY61QE,52.62786,3.39862,15450,355,106,-1856
340.0,406440,A320,EZY61QE,52.61916,3.44734,14875,351,106,-1664
360.0,406440,A320,EZY61QE,52.60943,3.50197,14150,350,106,-2368
380.0,406440,A320,EZY61QE,52.6011,3.54843,13525,350,106,-1600
400.0,406440,A320,EZY61QE,52.59215,3.59863,13100,340,106,-1216
420.0,406440,A320,EZY61QE,52.58308,3.6499,12500,335,106,-1792
440.0,406440,A320,EZY61QE,52.57457,3.69759,11850,333,106,-2176
460.0,406440,A320,EZY61QE,52.56427,3.75442,11000,335,106,-1920
480.0,406440,A320,EZY61QE,52.55685,3.7957,10475,334,105,-1728
500.0,406440,A320,EZY61QE,52.55278,3.84384,10100,329,92,-640
520.0,406440,A320,EZY61QE,52.55277,3.89293,9900,315,89,-832
540.0,406440,A320,EZY61QE,52.55333,3.94409,9425,310,89,-1664
560.0,406440,A320,EZY61QE,52.55379,3.98643,8925,309,88,-1536
580.0,406440,A320,EZY61QE,52.55445,4.0381,8375,306,88,-1600
600.0,406440,A320,EZY61QE,52.55507,4.08318,7875,305,88,-1536
620.0,406440,A320,EZY61QE,52.55566,4.12568,7375,304,88,-1728
640.0,406440,A320,EZY61QE,52.55627,4.17394,6800,303,88,-1408
660.0,406440,A320,EZY61QE,52.55687,4.21836,6325,302,88,-1664
680.0,406440,A320,EZY61QE,52.55763,4.27856,5675,298,89,-1280
700.0,406440,A320,EZY61QE,52.55794,4.30892,5375,295,89,-1408
