time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,40690D,A320,EZY68YB,52.76509,2.63565,24900,358,115,-1536
20.0,40690D,A320,EZY68YB,52.76291,2.64315,24800,357,115,-1792
40.0,40690D,A320,EZY68YB,52.74738,2.69791,24175,352,114,-1280
60.0,40690D,A320,EZY68YB,52.73502,2.743,23675,348,114,-1792
80.0,40690D,A320,EZY68YB,52.72289,2.7877,23050,347,113,-1792
100.0,40690D,A320,EZY68YB,52.7097,2.83738,22525,343,113,-1856
120.0,40690D,A320,EZY68YB,52.69783,2.8825,21925,341,113,-1984
140.0,40690D,A320,EZY68YB,52.68375,2.93526,21100,347,112,-2048
160.0,40690D,A320,EZY68YB,52.67363,2.99149,20525,352,103,-1152
180.0,40690D,A320,EZY68YB,52.66627,3.04227,20075,346,103,-1472
200.0,40690D,A320,EZY68YB,52.65984,3.08606,19600,344,103,-1408
220.0,40690D,A320,EZY68YB,52.65193,3.14013,19125,336,103,-1088
240.0,40690D,A320,EZY68YB,52.64539,3.18489,18675,330,103,-1856
260.0,40690D,A320,EZY68YB,52.63727,3.23885,17875,335,103,-1984
280.0,40690D,A320,EZY68YB,52.63014,3.28575,17300,336,104,-2432
300.0,40690D,A320,EZY68YB,52.62309,3.33214,16625,339,104,-1664
320.0,40690D,A320,EZY68YB,52.61446,3.38944,16000,339,104,-1600
340.0,40690D,A320,EZY68YB,52.60761,3.43456,15600,333,104,-1344
360.0,40690D,A320,EZY68YB,52.60071,3.48,15025,336,103,-1856
380.0,40690D,A320,EZY68YB,52.59295,3.53132,14450,337,104,-1472
400.0,40690D,A320,EZY68YB,52.58551,3.57941,14000,334,104,-1472
420.0,40690D,A320,EZY68YB,52.57759,3.63052,13525,331,104,-1472
440.0,40690D,A320,EZY68YB,52.57023,3.67822,13025,329,104,-1600
460.0,40690D,A320,EZY68YB,52.56271,3.72719,12450,330,104,-1472
480.0,40690D,A320,EZY68YB,52.55562,3.77319,12075,325,104,-1216
500.0,40690D,A320,EZY68YB,52.54825,3.82103,11450,325,104,-2880
520.0,40690D,A320,EZY68YB,52.54081,3.86868,10550,335,104,-1984
540.0,40690D,A320,EZY68YB,52.53648,3.9222,9875,342,90,-1408
560.0,40690D,A320,EZY68YB,52.53694,3.97423,9600,330,88,-832
580.0,40690D,A320,EZY68YB,52.53741,4.02068,9325,319,89,-1024
600.0,40690D,A320,EZY68YB,52.53783,4.07114,8900,313,89,-1408
620.0,40690D,A320,EZY68YB,52.53802,4.11509,8500,308,89,-1216
640.0,40690D,A320,EZY68YB,52.53822,4.16153,8025,304,89,-1600
660.0,40690D,A320,EZY68YB,52.5382,4.20674,7475,304,90,-1664
680.0,40690D,A320,EZY68YB,52.53795,4.28078,6550,306,90,-1792
700.0,40690D,A320,EZY68YB,52.53783,4.29997,6325,307,90,-1600
720.0,40690D,A320,EZY68YB,52.53777,4.3454,5900,302,90,-1216
740.0,40690D,A320,EZY68YB,52.53809,4.39125,5475,298,89,-1664
