time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,485A32,B738,KLM26V,51.05901,3.42422,24950,431,39,-1152
20.0,485A32,B738,KLM26V,51.09055,3.46582,24550,428,39,-1088
40.0,485A32,B738,KLM26V,51.13396,3.52295,24025,428,39,-1088
60.0,485A32,B738,KLM26V,51.14589,3.53864,23875,428,39,-1152
80.0,485A32,B738,KLM26V,51.17525,3.57727,23500,428,39,-1152
100.0,485A32,B738,KLM26V,51.20928,3.62175,23100,425,38,-1088
120.0,485A32,B738,KLM26V,51.24117,3.65295,22750,414,26,-1152
140.0,485A32,B738,KLM26V,51.27658,3.67366,22375,404,15,-1152
160.0,485A32,B738,KLM26V,51.32868,3.69522,22000,401,14,0
180.0,485A32,B738,KLM26V,51.35289,3.70722,21950,402,19,-640
200.0,485A32,B738,KLM26V,51.38045,3.726,21700,407,25,-1024
220.0,485A32,B738,KLM26V,51.41592,3.7529,21325,404,25,-1024
240.0,485A32,B738,KLM26V,51.44783,3.77707,21025,402,25,-960
260.0,485A32,B738,KLM26V,51.48184,3.80287,20675,401,25,-1088
280.0,485A32,B738,KLM26V,51.51846,3.83052,20300,397,25,-1088
300.0,485A32,B738,KLM26V,51.54758,3.85264,20025,396,25,-960
320.0,485A32,B738,KLM26V,51.58505,3.88123,19650,394,25,-960
340.0,485A32,B738,KLM26V,51.61363,3.90274,19350,390,25,-1024
360.0,485A32,B738,KLM26V,51.64603,3.92708,18900,386,25,-2752
380.0,485A32,B738,KLM26V,51.67885,3.9521,17475,396,25,-4608
400.0,485A32,B738,KLM26V,51.71125,3.97705,16325,395,25,-3840
420.0,485A32,B738,KLM26V,51.74435,4.00238,15100,389,25,-3712
440.0,485A32,B738,KLM26V,51.77689,4.02733,13850,386,25,-3392
460.0,485A32,B738,KLM26V,51.80873,4.05188,12725,381,25,-3392
480.0,485A32,B738,KLM26V,51.84036,4.07645,11525,376,25,-3712
500.0,485A32,B738,KLM26V,51.87117,4.10035,10525,370,25,-1600
520.0,485A32,B738,KLM26V,51.9007,4.12384,10300,341,28,-512
540.0,485A32,B738,KLM26V,51.9259,4.15244,10125,321,39,-512
560.0,485A32,B738,KLM26V,51.94698,4.18304,10000,298,41,-192
580.0,485A32,B738,KLM26V,51.96666,4.21143,9875,283,41,-320
600.0,485A32,B738,KLM26V,51.98582,4.23915,9575,276,41,-1600
620.0,485A32,B738,KLM26V,52.0052,4.26697,9225,284,41,-832
640.0,485A32,B738,KLM26V,52.02506,4.29613,8925,293,42,-896
660.0,485A32,B738,KLM26V,52.04494,4.32579,8625,294,42,-896
680.0,485A32,B738,KLM26V,52.06522,4.35555,8300,292,42,-960
700.0,485A32,B738,KLM26V,52.08499,4.38461,7975,291,42,-1024
720.0,485A32,B738,KLM26V,52.10504,4.41353,7650,288,41,-960
740.0,485A32,B738,KLM26V,52.12564,4.44382,7300,287,41,-896
760.0,485A32,B738,KLM26V,52.14505,4.47197,7050,287,41,-768
780.0,485A32,B738,KLM26V,52.1678,4.49303,7000,282,18,0
800.0,485A32,B738,KLM26V,52.19321,4.50377,7000,280,14,0
820.0,485A32,B738,KLM26V,52.21742,4.51393,7000,279,14,0
840.0,485A32,B738,KLM26V,52.24334,4.52346,6875,278,10,-832
860.0,485A32,B738,KLM26V,52.26805,4.53033,6625,278,9,-832
880.0,485A32,B738,KLM26V,52.29337,4.53728,6375,282,9,-768
900.0,485A32,B738,KLM26V,52.31918,4.5446,6100,284,9,-768
920.0,485A32,B738,KLM26V,52.34548,4.55195,5700,283,9,-1664
940.0,485A32,B738,KLM26V,52.3708,4.55901,5250,283,9,-1088
