time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484557,B738,KLM12H,51.13536,3.53626,24825,408,37,-1984
20.0,484557,B738,KLM12H,51.15248,3.55614,24450,405,37,-2048
40.0,484557,B738,KLM12H,51.18269,3.59379,24000,402,36,-256
60.0,484557,B738,KLM12H,51.21249,3.62905,23900,400,34,-1408
80.0,484557,B738,KLM12H,51.24586,3.65696,23350,392,23,-1600
100.0,484557,B738,KLM12H,51.28976,3.67916,22700,386,16,-1472
120.0,484557,B738,KLM12H,51.31593,3.69347,22300,403,22,-1920
140.0,484557,B738,KLM12H,51.34791,3.71696,21625,419,24,-2368
160.0,484557,B738,KLM12H,51.38324,3.74153,20850,422,24,-2624
180.0,484557,B738,KLM12H,51.427,3.77388,19600,417,24,-2432
200.0,484557,B738,KLM12H,51.45363,3.79295,18900,413,24,-2752
220.0,484557,B738,KLM12H,51.48875,3.81946,18000,405,24,-2560
240.0,484557,B738,KLM12H,51.52141,3.843,17150,399,24,-2880
260.0,484557,B738,KLM12H,51.5571,3.86889,16100,396,24,-3008
280.0,484557,B738,KLM12H,51.58886,3.89191,15100,395,24,-3200
300.0,484557,B738,KLM12H,51.62251,3.91752,14075,394,24,-3008
320.0,484557,B738,KLM12H,51.6545,3.94058,13325,389,24,-1984
340.0,484557,B738,KLM12H,51.68861,3.96569,12625,382,24,-2048
360.0,484557,B738,KLM12H,51.71921,3.98811,12000,382,24,-1920
380.0,484557,B738,KLM12H,51.75119,4.01169,11375,380,24,-1984
400.0,484557,B738,KLM12H,51.78345,4.03542,10800,375,24,-1536
420.0,484557,B738,KLM12H,51.81432,4.05838,10500,355,24,-768
440.0,484557,B738,KLM12H,51.84346,4.08005,10250,337,24,-320
460.0,484557,B738,KLM12H,51.87051,4.10034,10150,317,24,-320
480.0,484557,B738,KLM12H,51.89634,4.11972,10025,300,25,-448
500.0,484557,B738,KLM12H,51.91976,4.1431,9675,297,36,-1536
520.0,484557,B738,KLM12H,51.9408,4.17229,9150,298,42,-1472
540.0,484557,B738,KLM12H,51.96133,4.20204,8700,296,41,-1216
560.0,484557,B738,KLM12H,51.98172,4.23123,8275,290,41,-1088
580.0,484557,B738,KLM12H,52.00192,4.26018,7825,288,41,-1408
600.0,484557,B738,KLM12H,52.02208,4.28867,7325,287,40,-1664
620.0,484557,B738,KLM12H,52.04186,4.31661,7025,286,40,-640
640.0,484557,B738,KLM12H,52.06239,4.34431,6975,284,40,0
660.0,484557,B738,KLM12H,52.08255,4.37154,7000,281,39,0
680.0,484557,B738,KLM12H,52.10257,4.39869,7000,282,39,-64
700.0,484557,B738,KLM12H,52.12277,4.42584,7000,282,39,0
720.0,484557,B738,KLM12H,52.14284,4.45299,7000,281,39,0
740.0,484557,B738,KLM12H,52.1629,4.48015,7000,282,40,0
760.0,484557,B738,KLM12H,52.18389,4.50439,7000,279,21,0
780.0,484557,B738,KLM12H,52.20889,4.51452,7000,279,11,0
800.0,484557,B738,KLM12H,52.23464,4.52346,7000,279,12,0
820.0,484557,B738,KLM12H,52.25996,4.53241,7000,278,12,-64
840.0,484557,B738,KLM12H,52.28501,4.54151,7000,278,12,-64
860.0,484557,B738,KLM12H,52.31005,4.55046,6825,277,12,-1984
880.0,484557,B738,KLM12H,52.33533,4.55972,6325,286,12,-1344
900.0,484557,B738,KLM12H,52.36191,4.56906,5900,286,9,-1024
920.0,484557,B738,KLM12H,52.38775,4.57479,5500,281,7,-1344
940.0,484557,B738,KLM12H,52.41357,4.58084,5100,277,7,-1600
