time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,48418B,B739,KLM92T,52.80504,2.3014,24950,459,104,-2560
20.0,48418B,B739,KLM92T,52.7995,2.33507,24525,457,104,-2560
40.0,48418B,B739,KLM92T,52.78912,2.39861,23800,450,104,-2112
60.0,48418B,B739,KLM92T,52.77859,2.4646,23025,444,104,-2368
80.0,48418B,B739,KLM92T,52.76605,2.54303,21900,443,104,-2496
100.0,48418B,B739,KLM92T,52.75653,2.60185,21000,442,104,-3328
120.0,48418B,B739,KLM92T,52.7462,2.66395,20100,443,105,-2432
140.0,48418B,B739,KLM92T,52.7354,2.729,19275,440,105,-2304
160.0,48418B,B739,KLM92T,52.72531,2.79022,18525,436,105,-2368
180.0,48418B,B739,KLM92T,52.71501,2.8537,18025,431,105,-640
200.0,48418B,B739,KLM92T,52.70467,2.91679,18000,428,105,-64
220.0,48418B,B739,KLM92T,52.69395,2.97974,18000,429,105,0
240.0,48418B,B739,KLM92T,52.68361,3.0426,17975,429,105,-192
260.0,48418B,B739,KLM92T,52.67279,3.1089,17300,430,105,-2432
280.0,48418B,B739,KLM92T,52.66241,3.16849,16475,426,105,-2624
300.0,48418B,B739,KLM92T,52.65221,3.23059,15725,418,105,-2432
320.0,48418B,B739,KLM92T,52.64168,3.29155,14850,413,105,-2688
340.0,48418B,B739,KLM92T,52.63174,3.35167,14100,408,105,-2496
360.0,48418B,B739,KLM92T,52.6214,3.41118,13225,403,105,-2880
380.0,48418B,B739,KLM92T,52.61147,3.47023,12200,404,105,-2880
400.0,48418B,B739,KLM92T,52.601,3.53203,11225,401,105,-2944
420.0,48418B,B739,KLM92T,52.5909,3.59057,10300,398,105,-2048
440.0,48418B,B739,KLM92T,52.58075,3.64848,10000,392,105,128
460.0,48418B,B739,KLM92T,52.57159,3.70277,10000,388,105,0
480.0,48418B,B739,KLM92T,52.56184,3.75809,9975,366,105,64
500.0,48418B,B739,KLM92T,52.55283,3.81004,9975,343,105,-64
520.0,48418B,B739,KLM92T,52.54436,3.8578,9950,312,106,-256
540.0,48418B,B739,KLM92T,52.53662,3.90259,9425,305,105,-1600
560.0,48418B,B739,KLM92T,52.52888,3.94676,8900,299,106,-1600
580.0,48418B,B739,KLM92T,52.51991,3.98933,8300,295,112,-2048
600.0,48418B,B739,KLM92T,52.50893,4.03496,7575,294,111,-1984
620.0,48418B,B739,KLM92T,52.50064,4.07288,6975,296,100,-1728
640.0,48418B,B739,KLM92T,52.50298,4.11728,6475,296,73,-1600
660.0,48418B,B739,KLM92T,52.5126,4.16146,6000,294,69,-1408
680.0,48418B,B739,KLM92T,52.52196,4.20313,5550,291,69,-1216
700.0,48418B,B739,KLM92T,52.53104,4.24248,5175,287,69,-1216
