time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,48436D,B772,KLM590,51.10318,4.04861,24925,393,3,-2240
20.0,48436D,B772,KLM590,51.13638,4.05205,24275,389,3,-2048
40.0,48436D,B772,KLM590,51.17203,4.05581,23575,386,3,-2112
60.0,48436D,B772,KLM590,51.20765,4.05937,22875,383,3,-2112
80.0,48436D,B772,KLM590,51.24339,4.06301,22150,380,3,-2048
100.0,48436D,B772,KLM590,51.27803,4.06654,21500,377,3,-1920
120.0,48436D,B772,KLM590,51.31219,4.07006,20850,374,3,-1984
140.0,48436D,B772,KLM590,51.34703,4.07372,20200,371,3,-1792
160.0,48436D,B772,KLM590,51.38049,4.07719,19575,365,3,-2176
180.0,48436D,B772,KLM590,51.414,4.08053,18825,361,3,-2176
200.0,48436D,B772,KLM590,51.44742,4.08402,18150,358,3,-1856
220.0,48436D,B772,KLM590,51.48026,4.08745,17550,352,3,-1792
240.0,48436D,B772,KLM590,51.51265,4.09085,16900,347,3,-2176
260.0,48436D,B772,KLM590,51.54483,4.09401,16125,347,3,-2304
280.0,48436D,B772,KLM590,51.5762,4.09721,15425,347,3,-1792
300.0,48436D,B772,KLM590,51.60823,4.10057,14825,343,3,-1792
320.0,48436D,B772,KLM590,51.64,4.10391,14225,338,3,-1728
340.0,48436D,B772,KLM590,51.67131,4.10718,13600,336,3,-1920
360.0,48436D,B772,KLM590,51.70213,4.11041,12925,335,3,-2240
380.0,48436D,B772,KLM590,51.73306,4.11364,12250,335,3,-1728
400.0,48436D,B772,KLM590,51.76353,4.11713,11675,333,5,-2112
420.0,48436D,B772,KLM590,51.79523,4.12392,10875,341,9,-1856
440.0,48436D,B772,KLM590,51.82619,4.1349,10375,344,14,-1152
460.0,48436D,B772,KLM590,51.85634,4.14778,10025,340,14,-512
480.0,48436D,B772,KLM590,51.88698,4.16054,10000,336,14,64
500.0,48436D,B772,KLM590,51.91667,4.17297,10000,336,14,0
520.0,48436D,B772,KLM590,51.94704,4.18571,10000,337,14,0
540.0,48436D,B772,KLM590,51.97716,4.19843,10000,338,14,0
560.0,48436D,B772,KLM590,52.00821,4.21153,10000,338,14,0
580.0,48436D,B772,KLM590,52.03795,4.22409,10000,338,14,0
600.0,48436D,B772,KLM590,52.06837,4.23691,10000,338,14,0
620.0,48436D,B772,KLM590,52.0987,4.24967,10000,339,14,0
640.0,48436D,B772,KLM590,52.12882,4.26246,10000,340,14,0
660.0,48436D,B772,KLM590,52.15959,4.27557,10000,340,14,0
680.0,48436D,B772,KLM590,52.18977,4.28841,10000,339,14,0
700.0,48436D,B772,KLM590,52.22021,4.30138,10000,341,14,0
720.0,48436D,B772,KLM590,52.24977,4.31402,10000,323,14,64
740.0,48436D,B772,KLM590,52.27785,4.3261,10000,301,14,-64
760.0,48436D,B772,KLM590,52.30394,4.33731,10000,282,14,-320
780.0,48436D,B772,KLM590,52.32875,4.34761,9750,273,14,-896
800.0,48436D,B772,KLM590,52.35297,4.35796,9350,270,14,-1472
820.0,48436D,B772,KLM590,52.37718,4.36821,8825,273,14,-1600
840.0,48436D,B772,KLM590,52.40157,4.37852,8375,272,14,-1280
860.0,48436D,B772,KLM590,52.42583,4.391,7975,274,21,-1152
880.0,48436D,B772,KLM590,52.44901,4.40834,7575,273,25,-1344
900.0,48436D,B772,KLM590,52.47196,4.42592,7150,272,24,-1280
920.0,48436D,B772,KLM590,52.49432,4.44328,6700,271,25,-1280
940.0,48436D,B772,KLM590,52.5173,4.46139,6275,270,25,-1088
960.0,48436D,B772,KLM590,52.53951,4.47876,6025,260,25,-704
980.0,48436D,B772,KLM590,52.56047,4.49524,5800,250,26,-640
1000.0,48436D,B772,KLM590,52.57809,4.51965,5625,252,54,-704
1020.0,48436D,B772,KLM590,52.58448,4.55658,5300,259,86,-1344
