time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,A13391,B763,DAL46,52.80785,2.26738,24950,414,104,-1920
20.0,A13391,B763,DAL46,52.80313,2.29661,24650,409,104,-1856
40.0,A13391,B763,DAL46,52.79373,2.35508,24000,402,104,-2176
60.0,A13391,B763,DAL46,52.78413,2.41447,23225,396,104,-2240
80.0,A13391,B763,DAL46,52.77464,2.47428,22375,393,104,-2688
100.0,A13391,B763,DAL46,52.76596,2.53181,21475,394,102,-2624
120.0,A13391,B763,DAL46,52.75859,2.59216,20650,392,100,-2368
140.0,A13391,B763,DAL46,52.75276,2.64802,19925,389,99,-2304
160.0,A13391,B763,DAL46,52.74732,2.70656,19125,388,98,-2368
180.0,A13391,B763,DAL46,52.74215,2.76565,18375,384,97,-1984
200.0,A13391,B763,DAL46,52.73744,2.82188,18050,379,97,-320
220.0,A13391,B763,DAL46,52.73256,2.87975,18000,380,97,0
240.0,A13391,B763,DAL46,52.72769,2.9377,18000,381,97,0
260.0,A13391,B763,DAL46,52.7227,2.99469,18000,381,98,64
280.0,A13391,B763,DAL46,52.71767,3.05183,18000,380,98,-128
300.0,A13391,B763,DAL46,52.71259,3.10897,17575,369,98,-2048
320.0,A13391,B763,DAL46,52.70782,3.16315,17050,351,98,-1088
340.0,A13391,B763,DAL46,52.70314,3.21358,16700,329,98,-1152
360.0,A13391,B763,DAL46,52.69853,3.2631,16300,311,98,-1216
380.0,A13391,B763,DAL46,52.69441,3.30658,15800,300,98,-1728
400.0,A13391,B763,DAL46,52.69006,3.3522,15200,297,98,-1408
420.0,A13391,B763,DAL46,52.68594,3.39691,14750,297,98,-1280
440.0,A13391,B763,DAL46,52.68173,3.44116,14325,295,98,-1344
460.0,A13391,B763,DAL46,52.67758,3.4851,13875,294,98,-1344
480.0,A13391,B763,DAL46,52.67339,3.52936,13425,294,98,-1344
500.0,A13391,B763,DAL46,52.66928,3.57338,13000,293,98,-1280
520.0,A13391,B763,DAL46,52.66506,3.6178,12575,291,98,-1280
540.0,A13391,B763,DAL46,52.66101,3.66119,12175,289,98,-1280
560.0,A13391,B763,DAL46,52.65665,3.70575,11725,289,99,-1344
580.0,A13391,B763,DAL46,52.65234,3.74954,11275,290,99,-1408
600.0,A13391,B763,DAL46,52.64821,3.79225,10825,291,99,-1280
620.0,A13391,B763,DAL46,52.64406,3.8353,10425,291,98,-1152
640.0,A13391,B763,DAL46,52.63987,3.87904,10025,289,99,-1024
660.0,A13391,B763,DAL46,52.63573,3.92204,9700,286,99,-1024
680.0,A13391,B763,DAL46,52.63147,3.96492,9350,282,99,-1088
700.0,A13391,B763,DAL46,52.62721,4.00772,9000,280,99,-1088
720.0,A13391,B763,DAL46,52.62309,4.04877,8625,278,99,-1152
740.0,A13391,B763,DAL46,52.61884,4.09111,8250,277,99,-1088
760.0,A13391,B763,DAL46,52.61469,4.13251,7900,276,98,-1088
780.0,A13391,B763,DAL46,52.6106,4.17397,7625,271,99,-512
800.0,A13391,B763,DAL46,52.6068,4.21303,7475,262,99,-448
820.0,A13391,B763,DAL46,52.60272,4.25247,7325,252,99,-448
840.0,A13391,B763,DAL46,52.59906,4.28856,7175,244,99,-448
860.0,A13391,B763,DAL46,52.59551,4.32422,7000,237,98,-704
880.0,A13391,B763,DAL46,52.59649,4.3611,6725,242,84,-960
900.0,A13391,B763,DAL46,52.59872,4.3983,6375,242,84,-1088
920.0,A13391,B763,DAL46,52.60034,4.43428,6025,244,86,-1152
940.0,A13391,B763,DAL46,52.60149,4.47174,5700,242,86,-896
960.0,A13391,B763,DAL46,52.60286,4.50836,5350,238,86,-1344
