time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4B1617,A320,SWR724,50.91609,4.511,24050,396,311,-1728
20.0,4B1617,A320,SWR724,50.92703,4.48982,23775,395,308,-1536
40.0,4B1617,A320,SWR724,50.94742,4.44931,23350,394,308,-1536
60.0,4B1617,A320,SWR724,50.97176,4.40106,22775,391,308,-1600
80.0,4B1617,A320,SWR724,50.99139,4.36194,22325,388,308,-1600
100.0,4B1617,A320,SWR724,51.01352,4.31786,21800,385,308,-1600
120.0,4B1617,A320,SWR724,51.03754,4.26982,21225,382,308,-1536
140.0,4B1617,A320,SWR724,51.07614,4.1925,20325,385,308,-1600
160.0,4B1617,A320,SWR724,51.08023,4.18427,20225,385,308,-1600
180.0,4B1617,A320,SWR724,51.10328,4.14307,19675,385,317,-1344
200.0,4B1617,A320,SWR724,51.1371,4.11275,19075,394,340,-1280
220.0,4B1617,A320,SWR724,51.1759,4.10736,18525,396,0,-1408
240.0,4B1617,A320,SWR724,51.20695,4.10835,18100,393,1,-1600
260.0,4B1617,A320,SWR724,51.2447,4.10957,17575,390,1,-1600
280.0,4B1617,A320,SWR724,51.28253,4.11074,17025,391,1,-1536
300.0,4B1617,A320,SWR724,51.32603,4.11217,16400,399,1,-1664
320.0,4B1617,A320,SWR724,51.35229,4.11312,16025,398,1,-1664
340.0,4B1617,A320,SWR724,51.38892,4.11445,15525,395,1,-1472
360.0,4B1617,A320,SWR724,51.4238,4.11572,15100,392,1,-896
380.0,4B1617,A320,SWR724,51.46476,4.11713,15000,392,1,-128
400.0,4B1617,A320,SWR724,51.49805,4.11824,15000,391,1,0
420.0,4B1617,A320,SWR724,51.53448,4.1195,15000,392,1,0
440.0,4B1617,A320,SWR724,51.56799,4.12069,15000,390,1,0
460.0,4B1617,A320,SWR724,51.60786,4.12216,14800,389,1,-1216
480.0,4B1617,A320,SWR724,51.64206,4.12344,14350,386,1,-1408
500.0,4B1617,A320,SWR724,51.67776,4.1247,13900,385,1,-1408
520.0,4B1617,A320,SWR724,51.71172,4.1259,13400,382,1,-1536
540.0,4B1617,A320,SWR724,51.74807,4.1272,12875,378,1,-1728
560.0,4B1617,A320,SWR724,51.78359,4.12857,12250,371,1,-1856
580.0,4B1617,A320,SWR724,51.81636,4.12979,11675,363,1,-1792
600.0,4B1617,A320,SWR724,51.84769,4.13078,11150,353,1,-1472
620.0,4B1617,A320,SWR724,51.88163,4.13193,10675,342,1,-1408
640.0,4B1617,A320,SWR724,51.91237,4.13963,10150,338,18,-1472
660.0,4B1617,A320,SWR724,51.93755,4.16847,9825,325,41,-256
680.0,4B1617,A320,SWR724,51.95801,4.19853,9700,308,42,-832
700.0,4B1617,A320,SWR724,51.97981,4.23044,9375,302,41,-1024
720.0,4B1617,A320,SWR724,52.00058,4.26079,9050,300,42,-960
740.0,4B1617,A320,SWR724,52.02115,4.29071,8725,300,42,-1024
760.0,4B1617,A320,SWR724,52.04084,4.31935,8425,299,41,-960
780.0,4B1617,A320,SWR724,52.06267,4.35114,8075,297,42,-1024
800.0,4B1617,A320,SWR724,52.08344,4.38164,7750,295,42,-960
820.0,4B1617,A320,SWR724,52.10303,4.41032,7450,293,42,-960
840.0,4B1617,A320,SWR724,52.12244,4.43878,7100,292,42,-1024
860.0,4B1617,A320,SWR724,52.14322,4.4693,7000,291,42,-128
880.0,4B1617,A320,SWR724,52.16304,4.49851,7000,291,42,0
900.0,4B1617,A320,SWR724,52.18364,4.52911,7000,273,42,0
920.0,4B1617,A320,SWR724,52.20228,4.55682,7000,262,42,-64
940.0,4B1617,A320,SWR724,52.21862,4.58106,7000,258,42,0
960.0,4B1617,A320,SWR724,52.23617,4.60712,7000,258,42,0
980.0,4B1617,A320,SWR724,52.25409,4.63364,7000,259,42,0
1000.0,4B1617,A320,SWR724,52.27071,4.65844,7000,259,42,0
1020.0,4B1617,A320,SWR724,52.2897,4.68666,7000,260,42,0
1040.0,4B1617,A320,SWR724,52.30735,4.71306,7000,260,42,0
1060.0,4B1617,A320,SWR724,52.32509,4.73938,7000,259,41,0
1080.0,4B1617,A320,SWR724,52.34299,4.76845,6750,260,46,-1024
1100.0,4B1617,A320,SWR724,52.35887,4.79607,6450,257,46,-960
1120.0,4B1617,A320,SWR724,52.37494,4.82407,6125,257,46,-960
1140.0,4B1617,A320,SWR724,52.39192,4.85336,6000,255,45,-256
1160.0,4B1617,A320,SWR724,52.41112,4.86875,6000,250,16,0
1180.0,4B1617,A320,SWR724,52.43532,4.87824,5975,249,12,-192
1200.0,4B1617,A320,SWR724,52.45757,4.8867,5675,249,12,-1024
1220.0,4B1617,A320,SWR724,52.4795,4.89504,5350,247,13,-960
1240.0,4B1617,A320,SWR724,52.50259,4.90398,5050,248,13,-640
