time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4855D0,E75L,KLM84X,50.75474,4.68651,24950,323,327,-960
20.0,4855D0,E75L,KLM84X,50.77661,4.66459,24675,322,327,-960
40.0,4855D0,E75L,KLM84X,50.79575,4.64544,24425,322,327,-1024
60.0,4855D0,E75L,KLM84X,50.82308,4.618,24075,320,327,-960
80.0,4855D0,E75L,KLM84X,50.84816,4.5928,23750,317,327,-960
100.0,4855D0,E75L,KLM84X,50.87168,4.56917,23450,316,327,-960
120.0,4855D0,E75L,KLM84X,50.90324,4.53255,23025,314,317,-960
140.0,4855D0,E75L,KLM84X,50.92172,4.50016,22725,314,308,-1024
160.0,4855D0,E75L,KLM84X,50.9356,4.4725,22475,313,308,-960
180.0,4855D0,E75L,KLM84X,50.95147,4.44092,22200,311,308,-960
200.0,4855D0,E75L,KLM84X,50.97265,4.39873,21825,310,308,-960
220.0,4855D0,E75L,KLM84X,50.98978,4.36455,21525,310,308,-960
240.0,4855D0,E75L,KLM84X,51.00584,4.33243,21250,308,308,-960
260.0,4855D0,E75L,KLM84X,51.02362,4.29692,20950,306,308,-960
280.0,4855D0,E75L,KLM84X,51.04066,4.26277,20650,306,308,-896
300.0,4855D0,E75L,KLM84X,51.05817,4.22768,20350,304,308,-960
320.0,4855D0,E75L,KLM84X,51.07526,4.19336,20025,299,308,-576
340.0,4855D0,E75L,KLM84X,51.09196,4.15988,20000,294,308,0
360.0,4855D0,E75L,KLM84X,51.10905,4.1256,20000,296,308,-64
380.0,4855D0,E75L,KLM84X,51.12602,4.09144,20000,298,308,-64
400.0,4855D0,E75L,KLM84X,51.14406,4.05507,20000,297,308,64
420.0,4855D0,E75L,KLM84X,51.16177,4.01929,20000,297,308,-64
440.0,4855D0,E75L,KLM84X,51.17725,3.98796,20000,297,308,-64
460.0,4855D0,E75L,KLM84X,51.1972,3.94751,20000,301,308,-64
480.0,4855D0,E75L,KLM84X,51.21135,3.91885,20000,302,308,0
500.0,4855D0,E75L,KLM84X,51.23125,3.88504,20000,300,325,0
520.0,4855D0,E75L,KLM84X,51.25671,3.86971,20000,309,352,0
540.0,4855D0,E75L,KLM84X,51.28583,3.86793,20000,313,359,0
560.0,4855D0,E75L,KLM84X,51.31316,3.86845,20000,315,3,0
580.0,4855D0,E75L,KLM84X,51.34351,3.87476,19825,318,11,-576
600.0,4855D0,E75L,KLM84X,51.37133,3.88611,19650,320,15,-576
620.0,4855D0,E75L,KLM84X,51.39954,3.89888,19450,318,15,-576
640.0,4855D0,E75L,KLM84X,51.42764,3.91158,19275,317,15,-576
660.0,4855D0,E75L,KLM84X,51.45593,3.92442,19000,317,15,-1216
680.0,4855D0,E75L,KLM84X,51.48697,3.93845,18475,315,15,-1408
700.0,4855D0,E75L,KLM84X,51.51405,3.95065,18025,311,15,-1600
720.0,4855D0,E75L,KLM84X,51.54012,3.9625,17500,306,15,-1664
740.0,4855D0,E75L,KLM84X,51.56676,3.97453,16975,304,15,-1600
760.0,4855D0,E75L,KLM84X,51.59408,3.98697,16450,302,15,-1792
780.0,4855D0,E75L,KLM84X,51.62094,3.99918,15875,299,15,-1728
800.0,4855D0,E75L,KLM84X,51.64752,4.01123,15300,296,15,-1664
820.0,4855D0,E75L,KLM84X,51.67382,4.02328,14725,293,15,-1664
840.0,4855D0,E75L,KLM84X,51.6998,4.03511,14175,293,15,-1728
860.0,4855D0,E75L,KLM84X,51.72826,4.04809,13575,292,15,-1664
880.0,4855D0,E75L,KLM84X,51.75151,4.05871,13075,290,15,-1664
900.0,4855D0,E75L,KLM84X,51.77682,4.07029,12550,288,15,-1664
920.0,4855D0,E75L,KLM84X,51.80241,4.08187,12000,285,15,-1600
940.0,4855D0,E75L,KLM84X,51.82832,4.09367,11450,285,15,-1600
960.0,4855D0,E75L,KLM84X,51.85375,4.10744,10900,288,22,-1664
980.0,4855D0,E75L,KLM84X,51.87753,4.12396,10350,287,23,-1600
1000.0,4855D0,E75L,KLM84X,51.90147,4.14093,9975,276,23,-960
1020.0,4855D0,E75L,KLM84X,51.92432,4.15683,9625,267,23,-1024
1040.0,4855D0,E75L,KLM84X,51.94708,4.17276,9300,267,23,-1024
1060.0,4855D0,E75L,KLM84X,51.96975,4.18901,8950,266,23,-1024
1080.0,4855D0,E75L,KLM84X,51.99224,4.20502,8625,266,23,-1024
1100.0,4855D0,E75L,KLM84X,52.01472,4.22048,8300,261,22,-1024
1120.0,4855D0,E75L,KLM84X,52.03716,4.23531,7950,260,22,-1024
1140.0,4855D0,E75L,KLM84X,52.05932,4.25045,7625,261,23,-960
1160.0,4855D0,E75L,KLM84X,52.08153,4.26591,7300,260,22,-1024
1180.0,4855D0,E75L,KLM84X,52.10373,4.2809,6950,259,22,-1024
1200.0,4855D0,E75L,KLM84X,52.12598,4.29581,6625,259,22,-1024
1220.0,4855D0,E75L,KLM84X,52.14793,4.31023,6300,255,21,-1024
1240.0,4855D0,E75L,KLM84X,52.16972,4.32442,5950,251,21,-1088
1260.0,4855D0,E75L,KLM84X,52.19087,4.33846,5625,241,22,-1088
1280.0,4855D0,E75L,KLM84X,52.21138,4.35196,5275,236,21,-1024
