time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484F06,B737,KLM38L,50.90483,3.26658,24450,446,36,-1856
40.0,484F06,B737,KLM38L,50.95876,3.32923,23425,450,36,-1920
60.0,484F06,B737,KLM38L,51.01483,3.39596,22325,446,36,-1984
80.0,484F06,B737,KLM38L,51.03749,3.42321,22025,443,36,-640
100.0,484F06,B737,KLM38L,51.05943,3.44841,22000,441,36,-64
120.0,484F06,B737,KLM38L,51.09802,3.49464,22000,441,36,-64
140.0,484F06,B737,KLM38L,51.14328,3.54703,22000,443,36,0
160.0,484F06,B737,KLM38L,51.15981,3.5664,22000,443,36,-64
180.0,484F06,B737,KLM38L,51.19189,3.60545,22000,442,36,0
200.0,484F06,B737,KLM38L,51.22706,3.64479,21950,440,31,-576
220.0,484F06,B737,KLM38L,51.26189,3.6681,21725,429,17,-640
240.0,484F06,B737,KLM38L,51.29709,3.68183,21550,422,14,-576
260.0,484F06,B737,KLM38L,51.3382,3.69898,21350,424,14,-768
280.0,484F06,B737,KLM38L,51.37347,3.71384,20700,424,14,-2176
300.0,484F06,B737,KLM38L,51.41625,3.73108,19900,420,14,-2048
320.0,484F06,B737,KLM38L,51.44916,3.74504,19325,416,14,-1984
340.0,484F06,B737,KLM38L,51.48468,3.75948,18675,409,14,-1984
360.0,484F06,B737,KLM38L,51.51987,3.77357,18025,408,14,-2048
380.0,484F06,B737,KLM38L,51.55637,3.78845,17350,403,14,-1984
400.0,484F06,B737,KLM38L,51.59349,3.80416,16650,399,14,-1984
420.0,484F06,B737,KLM38L,51.62865,3.81901,16000,397,14,-1984
440.0,484F06,B737,KLM38L,51.66325,3.83286,15325,394,14,-1920
460.0,484F06,B737,KLM38L,51.69955,3.84841,14650,394,14,-1984
480.0,484F06,B737,KLM38L,51.73265,3.8735,13975,403,34,-1856
500.0,484F06,B737,KLM38L,51.76154,3.91366,13300,405,41,-1984
520.0,484F06,B737,KLM38L,51.78825,3.95134,12625,399,41,-1984
540.0,484F06,B737,KLM38L,51.81585,3.99086,11925,393,41,-1984
560.0,484F06,B737,KLM38L,51.84239,4.02916,11425,377,41,-1344
580.0,484F06,B737,KLM38L,51.86743,4.06578,11025,360,41,-1088
600.0,484F06,B737,KLM38L,51.89192,4.10088,10825,341,41,-384
620.0,484F06,B737,KLM38L,51.91464,4.134,10675,322,41,-448
640.0,484F06,B737,KLM38L,51.93596,4.16523,10500,306,41,-448
660.0,484F06,B737,KLM38L,51.95686,4.19536,10275,298,41,-768
680.0,484F06,B737,KLM38L,51.97739,4.22495,10050,296,41,-640
700.0,484F06,B737,KLM38L,51.99773,4.25461,9825,294,41,-640
720.0,484F06,B737,KLM38L,52.01825,4.28574,9625,294,41,-640
740.0,484F06,B737,KLM38L,52.03805,4.31386,9425,295,42,-576
760.0,484F06,B737,KLM38L,52.05844,4.34344,9225,292,43,-320
780.0,484F06,B737,KLM38L,52.07314,4.38271,9025,300,64,-576
800.0,484F06,B737,KLM38L,52.08488,4.4216,8825,301,65,-576
820.0,484F06,B737,KLM38L,52.09652,4.46272,8625,302,65,-576
840.0,484F06,B737,KLM38L,52.10838,4.50577,8400,300,65,-576
860.0,484F06,B737,KLM38L,52.11984,4.54669,8200,299,66,-640
880.0,484F06,B737,KLM38L,52.13113,4.58725,8000,288,66,-448
900.0,484F06,B737,KLM38L,52.14143,4.62593,7850,275,66,-448
920.0,484F06,B737,KLM38L,52.15303,4.66919,7500,270,66,-1088
940.0,484F06,B737,KLM38L,52.16373,4.70802,7200,266,65,-960
960.0,484F06,B737,KLM38L,52.18089,4.75494,7000,252,46,-448
980.0,484F06,B737,KLM38L,52.19724,4.76852,7000,240,18,-128
1000.0,484F06,B737,KLM38L,52.22914,4.78355,7000,239,15,0
1020.0,484F06,B737,KLM38L,52.24125,4.78894,7000,239,16,0
1040.0,484F06,B737,KLM38L,52.2628,4.79906,7000,238,16,0
1060.0,484F06,B737,KLM38L,52.27359,4.80469,7000,238,16,0
1080.0,484F06,B737,KLM38L,52.30735,4.82072,6775,240,16,-1216
1100.0,484F06,B737,KLM38L,52.31797,4.82582,6600,240,16,-1024
1120.0,484F06,B737,KLM38L,52.33754,4.83566,6350,236,16,-832
1140.0,484F06,B737,KLM38L,52.36615,4.84984,5875,234,16,-1216
1160.0,484F06,B737,KLM38L,52.37872,4.85604,5625,235,16,-1152
1180.0,484F06,B737,KLM38L,52.40148,4.88821,5175,254,64,-832
