time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,A120FE,B763,DAL56,53.47637,3.09984,24800,502,153,-1344
20.0,A120FE,B763,DAL56,53.45812,3.11551,24600,497,152,-1216
40.0,A120FE,B763,DAL56,53.42973,3.14047,24350,488,152,-1152
60.0,A120FE,B763,DAL56,53.38173,3.18353,23750,476,151,-1792
80.0,A120FE,B763,DAL56,53.34663,3.21554,23100,469,151,-2432
100.0,A120FE,B763,DAL56,53.31454,3.24497,22375,465,151,-2560
120.0,A120FE,B763,DAL56,53.27509,3.28138,21425,461,151,-2816
140.0,A120FE,B763,DAL56,53.23714,3.30761,20475,451,160,-2432
160.0,A120FE,B763,DAL56,53.19743,3.33152,19750,441,159,-2176
180.0,A120FE,B763,DAL56,53.16252,3.35326,19150,432,159,-1856
200.0,A120FE,B763,DAL56,53.12458,3.377,18500,425,159,-1856
220.0,A120FE,B763,DAL56,53.08878,3.39901,17900,423,159,-1984
240.0,A120FE,B763,DAL56,53.0527,3.42079,17300,421,160,-1792
260.0,A120FE,B763,DAL56,53.01416,3.4436,16675,419,160,-1728
280.0,A120FE,B763,DAL56,52.97859,3.46438,16125,415,160,-960
300.0,A120FE,B763,DAL56,52.94302,3.48494,16025,412,160,-64
320.0,A120FE,B763,DAL56,52.90699,3.50582,16000,414,160,-64
340.0,A120FE,B763,DAL56,52.8712,3.52684,16000,413,160,0
360.0,A120FE,B763,DAL56,52.83531,3.54797,16000,411,160,64
380.0,A120FE,B763,DAL56,52.79649,3.57056,16000,413,160,0
400.0,A120FE,B763,DAL56,52.7623,3.59039,16000,413,160,0
420.0,A120FE,B763,DAL56,52.72702,3.61066,15925,410,160,-768
440.0,A120FE,B763,DAL56,52.69225,3.63075,15575,408,160,-1536
460.0,A120FE,B763,DAL56,52.6537,3.6535,14925,406,160,-1856
480.0,A120FE,B763,DAL56,52.62111,3.67312,14375,402,159,-1600
500.0,A120FE,B763,DAL56,52.58783,3.70051,13900,405,150,-1344
520.0,A120FE,B763,DAL56,52.55544,3.72971,13400,398,151,-1344
540.0,A120FE,B763,DAL56,52.52376,3.75786,13100,388,151,-768
560.0,A120FE,B763,DAL56,52.49305,3.78636,12800,375,146,-1088
580.0,A120FE,B763,DAL56,52.46721,3.82411,12425,365,132,-1664
600.0,A120FE,B763,DAL56,52.44799,3.86703,11800,356,121,-1984
620.0,A120FE,B763,DAL56,52.43449,3.91702,11100,344,107,-2112
640.0,A120FE,B763,DAL56,52.42809,3.96515,10425,332,100,-2176
660.0,A120FE,B763,DAL56,52.42195,4.01634,9625,329,101,-2304
680.0,A120FE,B763,DAL56,52.41628,4.06353,8950,324,101,-1920
700.0,A120FE,B763,DAL56,52.41065,4.11038,8350,315,100,-1856
720.0,A120FE,B763,DAL56,52.41092,4.15604,7675,299,76,-2048
740.0,A120FE,B763,DAL56,52.42397,4.19403,7000,282,55,-2112
760.0,A120FE,B763,DAL56,52.43807,4.22903,6325,279,57,-2112
780.0,A120FE,B763,DAL56,52.45227,4.26505,5600,276,57,-2176
