time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,AAA893,B772,UAL950,51.2775,1.53809,24950,423,96,-1152
20.0,AAA893,B772,UAL950,51.27608,1.55969,24800,419,96,-1344
40.0,AAA893,B772,UAL950,51.2718,1.62071,24225,416,97,-1920
60.0,AAA893,B772,UAL950,51.26486,1.68846,23525,413,100,-1728
80.0,AAA893,B772,UAL950,51.258,1.73873,23125,409,103,-960
100.0,AAA893,B772,UAL950,51.24861,1.79871,23000,412,104,0
120.0,AAA893,B772,UAL950,51.23861,1.85699,23000,412,105,0
140.0,AAA893,B772,UAL950,51.22687,1.92223,23000,411,106,0
160.0,AAA893,B772,UAL950,51.2135,1.99513,23000,408,106,0
220.0,AAA893,B772,UAL950,51.18372,2.15851,23000,400,106,0
240.0,AAA893,B772,UAL950,51.17613,2.20032,23000,399,106,0
260.0,AAA893,B772,UAL950,51.16585,2.25814,23000,398,104,0
280.0,AAA893,B772,UAL950,51.15821,2.32132,22875,394,97,-960
300.0,AAA893,B772,UAL950,51.1557,2.37083,22625,392,91,-832
320.0,AAA893,B772,UAL950,51.15532,2.42828,22025,387,90,-1984
340.0,AAA893,B772,UAL950,51.15486,2.4839,21425,382,90,-1856
360.0,AAA893,B772,UAL950,51.15449,2.54074,20775,377,90,-1920
380.0,AAA893,B772,UAL950,51.15413,2.59567,20125,372,90,-2048
400.0,AAA893,B772,UAL950,51.15383,2.65068,19450,369,90,-1984
420.0,AAA893,B772,UAL950,51.15351,2.70271,18800,366,90,-2048
440.0,AAA893,B772,UAL950,51.15312,2.75653,18125,363,90,-1984
460.0,AAA893,B772,UAL950,51.15271,2.8102,17450,360,90,-2048
480.0,AAA893,B772,UAL950,51.15225,2.86346,16750,358,90,-2048
500.0,AAA893,B772,UAL950,51.15175,2.91531,16100,355,90,-2048
520.0,AAA893,B772,UAL950,51.15125,2.96824,15400,352,90,-2112
540.0,AAA893,B772,UAL950,51.15083,3.01931,14725,350,90,-1792
560.0,AAA893,B772,UAL950,51.15038,3.06964,14100,346,90,-1984
580.0,AAA893,B772,UAL950,51.14983,3.11997,13450,344,91,-1920
600.0,AAA893,B772,UAL950,51.14927,3.17055,13050,345,91,-640
620.0,AAA893,B772,UAL950,51.14868,3.22159,13000,343,91,64
640.0,AAA893,B772,UAL950,51.14809,3.27177,13000,344,91,0
660.0,AAA893,B772,UAL950,51.14741,3.32291,13000,344,91,0
680.0,AAA893,B772,UAL950,51.1468,3.37288,13000,343,91,0
700.0,AAA893,B772,UAL950,51.14615,3.42377,13000,343,91,0
720.0,AAA893,B772,UAL950,51.14545,3.47343,13000,343,91,0
740.0,AAA893,B772,UAL950,51.14476,3.52417,13000,344,91,0
760.0,AAA893,B772,UAL950,51.14337,3.57479,12900,340,94,-1408
780.0,AAA893,B772,UAL950,51.14062,3.6269,12350,339,94,-2240
800.0,AAA893,B772,UAL950,51.13843,3.67374,11725,337,94,-1920
820.0,AAA893,B772,UAL950,51.136,3.7237,11075,334,94,-1984
840.0,AAA893,B772,UAL950,51.13339,3.77217,10450,331,94,-1600
860.0,AAA893,B772,UAL950,51.13102,3.81943,10075,321,94,-1536
880.0,AAA893,B772,UAL950,51.12849,3.86823,9300,321,94,-2240
900.0,AAA893,B772,UAL950,51.12621,3.91373,8600,322,94,-2048
920.0,AAA893,B772,UAL950,51.12339,3.96111,8075,328,95,-768
940.0,AAA893,B772,UAL950,51.12035,4.00875,8000,324,95,64
960.0,AAA893,B772,UAL950,51.11737,4.05611,8000,325,95,0
980.0,AAA893,B772,UAL950,51.1143,4.10391,8000,324,95,0
1000.0,AAA893,B772,UAL950,51.11124,4.15161,8000,325,95,0
1020.0,AAA893,B772,UAL950,51.10817,4.19915,7825,324,95,-1472
1040.0,AAA893,B772,UAL950,51.10514,4.24629,7225,324,95,-2176
1060.0,AAA893,B772,UAL950,51.10222,4.29476,6475,325,95,-2432
1080.0,AAA893,B772,UAL950,51.09924,4.34175,5775,325,95,-1856
1100.0,AAA893,B772,UAL950,51.09616,4.38911,5150,323,95,-1984
