time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484166,B738,KLM18S,50.95147,3.36372,24850,416,32,-1024
40.0,484166,B738,KLM18S,51.03163,3.4304,24050,408,26,-1024
80.0,484166,B738,KLM18S,51.08927,3.47496,23500,403,26,-960
100.0,484166,B738,KLM18S,51.1124,3.49319,23250,402,26,-1024
120.0,484166,B738,KLM18S,51.14215,3.51669,22975,400,26,-1024
160.0,484166,B738,KLM18S,51.20709,3.56736,22325,396,26,-1024
180.0,484166,B738,KLM18S,51.24207,3.59572,21950,392,26,-1024
200.0,484166,B738,KLM18S,51.27743,3.62267,21600,391,26,-1024
220.0,484166,B738,KLM18S,51.30428,3.64434,21325,389,26,-1024
240.0,484166,B738,KLM18S,51.34195,3.67463,20925,384,26,-1024
260.0,484166,B738,KLM18S,51.36818,3.69475,20675,383,26,-1024
280.0,484166,B738,KLM18S,51.40018,3.71969,20325,382,26,-1024
300.0,484166,B738,KLM18S,51.43296,3.74641,20000,388,26,-960
320.0,484166,B738,KLM18S,51.46531,3.77213,19625,388,26,-1984
340.0,484166,B738,KLM18S,51.49762,3.79791,18625,387,26,-2368
360.0,484166,B738,KLM18S,51.53654,3.82828,17575,379,26,-2752
380.0,484166,B738,KLM18S,51.56452,3.85063,16800,375,26,-2688
400.0,484166,B738,KLM18S,51.5925,3.87283,16075,369,26,-2240
420.0,484166,B738,KLM18S,51.62123,3.89621,15400,362,26,-2176
440.0,484166,B738,KLM18S,51.65134,3.92128,14625,355,26,-2688
460.0,484166,B738,KLM18S,51.68005,3.94372,13775,352,26,-2688
480.0,484166,B738,KLM18S,51.70917,3.96696,12950,349,26,-2240
500.0,484166,B738,KLM18S,51.7381,3.99012,12175,345,26,-1664
520.0,484166,B738,KLM18S,51.76556,4.01283,11800,331,26,-704
540.0,484166,B738,KLM18S,51.79211,4.03451,11625,312,26,-640
560.0,484166,B738,KLM18S,51.81766,4.05492,11525,295,26,-192
580.0,484166,B738,KLM18S,51.84077,4.07385,11475,277,26,-192
600.0,484166,B738,KLM18S,51.86441,4.09264,11150,268,26,-1216
620.0,484166,B738,KLM18S,51.88586,4.10955,10775,265,26,-1152
640.0,484166,B738,KLM18S,51.90729,4.12819,10300,268,31,-1600
660.0,484166,B738,KLM18S,51.92757,4.15268,9650,280,40,-2048
680.0,484166,B738,KLM18S,51.94753,4.18121,8975,289,42,-2112
700.0,484166,B738,KLM18S,51.96698,4.21013,8575,285,42,-832
720.0,484166,B738,KLM18S,51.98653,4.23859,8325,281,41,-768
740.0,484166,B738,KLM18S,52.00575,4.26689,8075,281,41,-768
760.0,484166,B738,KLM18S,52.02516,4.29489,7800,279,41,-768
780.0,484166,B738,KLM18S,52.04462,4.32297,7550,280,42,-768
800.0,484166,B738,KLM18S,52.06371,4.35135,7275,280,42,-768
820.0,484166,B738,KLM18S,52.08279,4.37943,7000,276,41,-640
840.0,484166,B738,KLM18S,52.10175,4.40697,7000,272,41,0
860.0,484166,B738,KLM18S,52.12024,4.43413,7000,269,41,0
880.0,484166,B738,KLM18S,52.13878,4.46114,7000,269,41,0
900.0,484166,B738,KLM18S,52.15787,4.48822,7000,272,41,-64
920.0,484166,B738,KLM18S,52.17668,4.51538,7000,275,42,0
940.0,484166,B738,KLM18S,52.19728,4.54666,7000,277,43,0
960.0,484166,B738,KLM18S,52.21399,4.57237,7000,275,42,0
980.0,484166,B738,KLM18S,52.23303,4.60052,7000,275,42,0
1000.0,484166,B738,KLM18S,52.25198,4.62868,7000,275,42,-64
1020.0,484166,B738,KLM18S,52.2719,4.6595,7000,275,42,0
1040.0,484166,B738,KLM18S,52.29055,4.68622,7000,275,42,0
1060.0,484166,B738,KLM18S,52.30811,4.71298,7000,276,42,0
1080.0,484166,B738,KLM18S,52.3266,4.74075,6900,263,42,-448
1100.0,484166,B738,KLM18S,52.34409,4.76707,6775,249,42,-320
1120.0,484166,B738,KLM18S,52.36121,4.79318,6625,237,42,-448
1140.0,484166,B738,KLM18S,52.37648,4.81727,6400,232,46,-1280
1160.0,484166,B738,KLM18S,52.38551,4.84856,6025,250,82,-896
1180.0,484166,B738,KLM18S,52.3878,4.88625,5625,250,84,-1280
1200.0,484166,B738,KLM18S,52.38991,4.92409,5250,250,84,-1024
