time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4852F6,E75L,KLM20R,50.76173,4.65531,24725,471,332,-1536
80.0,4852F6,E75L,KLM20R,50.90967,4.48524,22600,461,310,-1536
100.0,4852F6,E75L,KLM20R,50.91985,4.46617,22400,460,310,-1536
120.0,4852F6,E75L,KLM20R,50.94553,4.41806,21925,459,310,-1536
140.0,4852F6,E75L,KLM20R,50.97464,4.36343,21400,456,310,-1536
160.0,4852F6,E75L,KLM20R,51.00035,4.31503,20925,453,310,-1536
180.0,4852F6,E75L,KLM20R,51.02991,4.25941,20375,449,310,-1536
200.0,4852F6,E75L,KLM20R,51.05347,4.21501,19925,445,309,-1536
220.0,4852F6,E75L,KLM20R,51.08144,4.16226,19375,433,310,-1536
240.0,4852F6,E75L,KLM20R,51.10478,4.11817,18925,418,309,-1536
260.0,4852F6,E75L,KLM20R,51.13811,4.06294,18300,398,324,-1472
280.0,4852F6,E75L,KLM20R,51.16754,4.04223,17850,379,347,-1472
300.0,4852F6,E75L,KLM20R,51.20004,4.04082,17400,367,4,-1536
320.0,4852F6,E75L,KLM20R,51.23048,4.04505,16950,366,5,-1472
340.0,4852F6,E75L,KLM20R,51.26374,4.04968,16450,366,4,-1472
360.0,4852F6,E75L,KLM20R,51.30368,4.05492,15875,362,4,-1536
380.0,4852F6,E75L,KLM20R,51.33032,4.05826,15475,361,4,-1536
400.0,4852F6,E75L,KLM20R,51.36424,4.06271,14950,361,4,-1472
420.0,4852F6,E75L,KLM20R,51.39862,4.06702,14450,356,4,-1536
440.0,4852F6,E75L,KLM20R,51.42905,4.07089,13975,352,4,-1536
460.0,4852F6,E75L,KLM20R,51.46448,4.07532,13475,348,4,-1216
480.0,4852F6,E75L,KLM20R,51.49325,4.07906,13125,346,4,-1216
500.0,4852F6,E75L,KLM20R,51.52707,4.08328,12700,340,4,-1216
520.0,4852F6,E75L,KLM20R,51.556,4.08691,12325,336,4,-1216
540.0,4852F6,E75L,KLM20R,51.58705,4.09088,11900,336,4,-1216
560.0,4852F6,E75L,KLM20R,51.61866,4.09492,11500,335,4,-1216
580.0,4852F6,E75L,KLM20R,51.6498,4.09887,11100,334,4,-1216
600.0,4852F6,E75L,KLM20R,51.67937,4.10265,10725,333,4,-1216
620.0,4852F6,E75L,KLM20R,51.71283,4.1069,10275,332,4,-1216
640.0,4852F6,E75L,KLM20R,51.74142,4.11057,9925,327,4,-576
660.0,4852F6,E75L,KLM20R,51.77121,4.11438,9825,325,4,-256
680.0,4852F6,E75L,KLM20R,51.79985,4.12284,9675,320,18,-576
700.0,4852F6,E75L,KLM20R,51.82516,4.14497,9500,297,35,-576
720.0,4852F6,E75L,KLM20R,51.84682,4.17035,9325,292,36,-512
740.0,4852F6,E75L,KLM20R,51.86879,4.19633,9150,293,36,-512
760.0,4852F6,E75L,KLM20R,51.89043,4.22203,8975,294,36,-512
780.0,4852F6,E75L,KLM20R,51.9125,4.2481,8775,294,36,-512
800.0,4852F6,E75L,KLM20R,51.93466,4.27429,8600,293,36,-512
820.0,4852F6,E75L,KLM20R,51.9563,4.29997,8450,294,36,-576
840.0,4852F6,E75L,KLM20R,51.97827,4.3261,8275,295,36,-512
860.0,4852F6,E75L,KLM20R,52.00034,4.35223,8100,295,36,-576
880.0,4852F6,E75L,KLM20R,52.02371,4.38001,7900,295,36,-512
900.0,4852F6,E75L,KLM20R,52.04462,4.40483,7725,294,36,-512
920.0,4852F6,E75L,KLM20R,52.06691,4.43141,7550,295,36,-512
940.0,4852F6,E75L,KLM20R,52.0882,4.45686,7375,293,36,-512
960.0,4852F6,E75L,KLM20R,52.11011,4.48297,7200,289,36,-512
980.0,4852F6,E75L,KLM20R,52.13152,4.50879,7050,288,36,-512
1000.0,4852F6,E75L,KLM20R,52.1532,4.53506,7000,289,36,-64
1020.0,4852F6,E75L,KLM20R,52.17407,4.56042,7000,288,36,0
1040.0,4852F6,E75L,KLM20R,52.19591,4.58695,7000,290,36,64
1060.0,4852F6,E75L,KLM20R,52.21738,4.61281,7000,291,36,64
1080.0,4852F6,E75L,KLM20R,52.2392,4.63929,7000,291,36,64
1100.0,4852F6,E75L,KLM20R,52.26027,4.66484,7000,290,36,64
1120.0,4852F6,E75L,KLM20R,52.28247,4.69193,7000,291,36,-64
1140.0,4852F6,E75L,KLM20R,52.30389,4.71809,7000,291,36,64
1160.0,4852F6,E75L,KLM20R,52.32495,4.74403,7000,290,37,64
1180.0,4852F6,E75L,KLM20R,52.34656,4.77074,7000,290,37,-128
1200.0,4852F6,E75L,KLM20R,52.36778,4.79679,6775,288,37,-896
1220.0,4852F6,E75L,KLM20R,52.38891,4.82323,6450,286,37,-960
1240.0,4852F6,E75L,KLM20R,52.40991,4.84944,6150,279,37,-512
1260.0,4852F6,E75L,KLM20R,52.43129,4.8761,6025,262,37,-320
1280.0,4852F6,E75L,KLM20R,52.44859,4.89754,6000,253,37,0
1300.0,4852F6,E75L,KLM20R,52.4686,4.91814,6000,256,17,128
1320.0,4852F6,E75L,KLM20R,52.49277,4.92119,6000,257,359,0
1340.0,4852F6,E75L,KLM20R,52.51712,4.92081,6000,257,359,-64
1360.0,4852F6,E75L,KLM20R,52.53983,4.92027,5800,255,359,-960
1380.0,4852F6,E75L,KLM20R,52.56308,4.91997,5475,253,359,-832
1400.0,4852F6,E75L,KLM20R,52.58569,4.91386,5325,234,332,-320
1420.0,4852F6,E75L,KLM20R,52.59769,4.88937,5200,202,289,-576
