time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CC0DF,B734,TAY031W,51.26202,1.84433,24850,470,108,-3968
20.0,4CC0DF,B734,TAY031W,51.25822,1.8627,24475,471,108,-3840
40.0,4CC0DF,B734,TAY031W,51.24196,1.94115,23550,464,108,-1792
60.0,4CC0DF,B734,TAY031W,51.23337,1.98199,23150,462,108,-1664
120.0,4CC0DF,B734,TAY031W,51.18649,2.20224,22975,459,108,0
140.0,4CC0DF,B734,TAY031W,51.17739,2.24442,22975,459,108,0
160.0,4CC0DF,B734,TAY031W,51.16502,2.30193,22975,458,108,0
180.0,4CC0DF,B734,TAY031W,51.1501,2.3706,22975,457,108,0
200.0,4CC0DF,B734,TAY031W,51.13689,2.4324,23000,457,108,0
220.0,4CC0DF,B734,TAY031W,51.12367,2.49283,22975,458,108,0
240.0,4CC0DF,B734,TAY031W,51.10942,2.55913,22975,458,108,0
260.0,4CC0DF,B734,TAY031W,51.09618,2.6195,22975,458,110,0
280.0,4CC0DF,B734,TAY031W,51.07609,2.68936,22975,455,118,0
300.0,4CC0DF,B734,TAY031W,51.05809,2.74072,22975,455,119,64
320.0,4CC0DF,B734,TAY031W,51.0375,2.79976,22975,456,118,0
340.0,4CC0DF,B734,TAY031W,51.0174,2.85845,22975,456,118,0
360.0,4CC0DF,B734,TAY031W,50.99748,2.91598,23000,456,118,0
380.0,4CC0DF,B734,TAY031W,50.97721,2.97485,22975,458,118,0
400.0,4CC0DF,B734,TAY031W,50.95682,3.03291,23000,458,119,0
420.0,4CC0DF,B734,TAY031W,50.9362,3.09143,22975,459,119,0
440.0,4CC0DF,B734,TAY031W,50.91559,3.15063,22825,456,116,-1216
460.0,4CC0DF,B734,TAY031W,50.8998,3.21313,22375,443,110,-1152
480.0,4CC0DF,B734,TAY031W,50.88606,3.27232,22025,436,110,-1024
500.0,4CC0DF,B734,TAY031W,50.87132,3.33584,21650,432,110,-1024
520.0,4CC0DF,B734,TAY031W,50.85709,3.39544,21300,430,110,-960
540.0,4CC0DF,B734,TAY031W,50.84367,3.45052,21000,429,111,-960
560.0,4CC0DF,B734,TAY031W,50.82976,3.50701,20675,426,111,-960
580.0,4CC0DF,B734,TAY031W,50.8152,3.56536,20350,425,111,-896
600.0,4CC0DF,B734,TAY031W,50.80027,3.62633,20000,428,111,-1024
620.0,4CC0DF,B734,TAY031W,50.78705,3.68042,19675,427,111,-1024
640.0,4CC0DF,B734,TAY031W,50.77245,3.74136,19325,424,110,-896
660.0,4CC0DF,B734,TAY031W,50.75921,3.79677,19025,423,110,-960
680.0,4CC0DF,B734,TAY031W,50.74534,3.85551,18675,419,110,-1024
700.0,4CC0DF,B734,TAY031W,50.73212,3.91159,18350,420,110,-960
720.0,4CC0DF,B734,TAY031W,50.71838,3.9695,18025,418,110,-960
740.0,4CC0DF,B734,TAY031W,50.70325,4.03214,17650,417,110,-960
760.0,4CC0DF,B734,TAY031W,50.69106,4.08313,17375,417,110,-960
780.0,4CC0DF,B734,TAY031W,50.677,4.14146,17025,415,111,-1024
800.0,4CC0DF,B734,TAY031W,50.66378,4.19537,16700,411,111,-960
820.0,4CC0DF,B734,TAY031W,50.64953,4.25275,16325,399,111,-1152
840.0,4CC0DF,B734,TAY031W,50.63599,4.30679,15925,382,111,-1152
860.0,4CC0DF,B734,TAY031W,50.62328,4.35727,15600,381,111,-960
880.0,4CC0DF,B734,TAY031W,50.60921,4.41325,15225,378,111,-960
900.0,4CC0DF,B734,TAY031W,50.59753,4.45937,14925,374,111,-1024
920.0,4CC0DF,B734,TAY031W,50.58499,4.5083,14600,373,111,-896
940.0,4CC0DF,B734,TAY031W,50.57227,4.55882,14275,373,111,-960
960.0,4CC0DF,B734,TAY031W,50.55959,4.60825,13950,370,112,-960
980.0,4CC0DF,B734,TAY031W,50.55047,4.66006,13600,367,93,-960
1000.0,4CC0DF,B734,TAY031W,50.55634,4.71054,13275,354,67,-960
1020.0,4CC0DF,B734,TAY031W,50.57364,4.76958,12875,350,64,-960
1040.0,4CC0DF,B734,TAY031W,50.59685,4.84136,12325,340,56,-1024
1060.0,4CC0DF,B734,TAY031W,50.60079,4.85076,12250,339,55,-896
1080.0,4CC0DF,B734,TAY031W,50.61811,4.89062,11900,330,55,-1152
1100.0,4CC0DF,B734,TAY031W,50.63389,4.92633,11525,320,55,-1024
1140.0,4CC0DF,B734,TAY031W,50.6787,5.02862,10475,313,55,-2048
1160.0,4CC0DF,B734,TAY031W,50.68318,5.03872,10300,314,55,-1984
1200.0,4CC0DF,B734,TAY031W,50.72043,5.12306,8800,316,55,-1920
1220.0,4CC0DF,B734,TAY031W,50.73398,5.15373,8275,316,54,-1920
1240.0,4CC0DF,B734,TAY031W,50.75304,5.19668,7525,318,55,-1920
1260.0,4CC0DF,B734,TAY031W,50.77107,5.23721,6825,317,54,-1920
1300.0,4CC0DF,B734,TAY031W,50.80367,5.30981,5700,313,54,-1664
1320.0,4CC0DF,B734,TAY031W,50.81845,5.3424,5200,311,54,-1664
