time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4855D0,E75L,KLM24H,50.93136,4.48746,24725,447,311,-1024
20.0,4855D0,E75L,KLM24H,50.94789,4.45488,24525,445,308,-1024
40.0,4855D0,E75L,KLM24H,50.97368,4.40254,24200,443,307,-960
60.0,4855D0,E75L,KLM24H,50.99341,4.36249,23950,443,308,-1024
80.0,4855D0,E75L,KLM24H,51.01581,4.31717,23625,431,308,-1024
100.0,4855D0,E75L,KLM24H,51.04111,4.26589,23275,411,307,-1024
120.0,4855D0,E75L,KLM24H,51.06287,4.2218,22950,396,308,-960
140.0,4855D0,E75L,KLM24H,51.09064,4.17466,22625,390,322,-960
160.0,4855D0,E75L,KLM24H,51.1206,4.14963,22325,382,340,-896
180.0,4855D0,E75L,KLM24H,51.15151,4.13437,22025,379,343,-960
200.0,4855D0,E75L,KLM24H,51.19256,4.11507,21650,378,343,-960
220.0,4855D0,E75L,KLM24H,51.21868,4.10263,21300,378,343,-1472
240.0,4855D0,E75L,KLM24H,51.26533,4.08035,20600,373,343,-1472
260.0,4855D0,E75L,KLM24H,51.29004,4.0685,20250,371,343,-1472
280.0,4855D0,E75L,KLM24H,51.31778,4.05514,19825,368,343,-1472
300.0,4855D0,E75L,KLM24H,51.35354,4.03793,19275,361,343,-1536
320.0,4855D0,E75L,KLM24H,51.38686,4.02189,18725,353,343,-1600
340.0,4855D0,E75L,KLM24H,51.42314,4.00429,18425,336,343,-320
360.0,4855D0,E75L,KLM24H,51.44302,3.9946,18325,323,343,-640
380.0,4855D0,E75L,KLM24H,51.47269,3.98024,17950,316,343,-1344
400.0,4855D0,E75L,KLM24H,51.49925,3.96736,17500,314,343,-1408
420.0,4855D0,E75L,KLM24H,51.53096,3.95196,16950,311,343,-1536
440.0,4855D0,E75L,KLM24H,51.56374,3.936,16400,307,343,-1344
460.0,4855D0,E75L,KLM24H,51.5809,3.92769,16100,304,343,-1536
480.0,4855D0,E75L,KLM24H,51.61029,3.91373,15550,303,343,-1536
500.0,4855D0,E75L,KLM24H,51.63492,3.90222,15075,302,343,-1536
520.0,4855D0,E75L,KLM24H,51.66316,3.88924,14525,302,344,-1536
540.0,4855D0,E75L,KLM24H,51.68811,3.87788,14100,301,344,-1088
560.0,4855D0,E75L,KLM24H,51.71494,3.86585,13725,298,344,-1152
580.0,4855D0,E75L,KLM24H,51.74165,3.85406,13350,296,344,-1088
600.0,4855D0,E75L,KLM24H,51.7679,3.84285,13000,291,345,-1024
620.0,4855D0,E75L,KLM24H,51.79431,3.84084,12675,280,8,-1088
640.0,4855D0,E75L,KLM24H,51.82828,3.89027,12025,258,60,-1024
660.0,4855D0,E75L,KLM24H,51.83396,3.90678,11850,258,61,-1024
680.0,4855D0,E75L,KLM24H,51.84132,3.9283,11650,258,60,-1024
700.0,4855D0,E75L,KLM24H,51.8524,3.96027,11325,257,60,-1024
720.0,4855D0,E75L,KLM24H,51.86362,3.99257,11025,258,60,-1024
740.0,4855D0,E75L,KLM24H,51.87538,4.02627,10700,260,60,-960
760.0,4855D0,E75L,KLM24H,51.88903,4.06548,10350,289,60,-960
780.0,4855D0,E75L,KLM24H,51.9017,4.10179,10025,293,60,-1024
800.0,4855D0,E75L,KLM24H,51.91667,4.13635,9725,293,50,-1024
820.0,4855D0,E75L,KLM24H,51.93608,4.1671,9400,292,41,-1024
840.0,4855D0,E75L,KLM24H,51.95607,4.19599,9050,290,41,-1024
860.0,4855D0,E75L,KLM24H,51.97696,4.22638,8700,290,41,-1024
880.0,4855D0,E75L,KLM24H,51.99609,4.25423,8525,289,42,-512
900.0,4855D0,E75L,KLM24H,52.01596,4.28329,8350,290,41,-512
920.0,4855D0,E75L,KLM24H,52.03567,4.31213,8175,289,42,-576
940.0,4855D0,E75L,KLM24H,52.05504,4.34046,8000,274,42,-576
960.0,4855D0,E75L,KLM24H,52.07338,4.3673,7825,259,42,-576
980.0,4855D0,E75L,KLM24H,52.09035,4.39453,7650,255,51,-512
1000.0,4855D0,E75L,KLM24H,52.10429,4.42584,7475,253,55,-512
1020.0,4855D0,E75L,KLM24H,52.11745,4.45663,7300,250,55,-512
1040.0,4855D0,E75L,KLM24H,52.13045,4.48729,7150,248,55,-512
1060.0,4855D0,E75L,KLM24H,52.14377,4.51876,7000,251,55,-64
1080.0,4855D0,E75L,KLM24H,52.15694,4.54983,7000,251,55,0
1100.0,4855D0,E75L,KLM24H,52.16965,4.58028,7000,249,55,-64
1120.0,4855D0,E75L,KLM24H,52.18277,4.61174,7000,249,55,64
1140.0,4855D0,E75L,KLM24H,52.19567,4.64251,7000,251,55,64
1160.0,4855D0,E75L,KLM24H,52.20918,4.67461,7000,251,55,0
1180.0,4855D0,E75L,KLM24H,52.22193,4.7049,7000,251,55,64
1200.0,4855D0,E75L,KLM24H,52.23514,4.7364,7000,250,55,0
1220.0,4855D0,E75L,KLM24H,52.24823,4.76768,7000,251,55,0
1240.0,4855D0,E75L,KLM24H,52.26723,4.7963,7000,259,22,64
1260.0,4855D0,E75L,KLM24H,52.28836,4.80589,7000,259,13,0
1280.0,4855D0,E75L,KLM24H,52.31044,4.81422,7000,257,13,64
1300.0,4855D0,E75L,KLM24H,52.33415,4.82323,6800,258,13,-768
1320.0,4855D0,E75L,KLM24H,52.35782,4.83238,6575,255,13,-640
1340.0,4855D0,E75L,KLM24H,52.38057,4.84138,6375,254,13,-640
1360.0,4855D0,E75L,KLM24H,52.40274,4.85007,6175,253,13,-576
1380.0,4855D0,E75L,KLM24H,52.42589,4.85901,6000,253,13,-128
1400.0,4855D0,E75L,KLM24H,52.44923,4.86809,6000,254,13,0
1420.0,4855D0,E75L,KLM24H,52.47154,4.87675,6000,256,13,0
1440.0,4855D0,E75L,KLM24H,52.49505,4.88609,6000,254,13,0
1460.0,4855D0,E75L,KLM24H,52.5166,4.89472,6000,236,13,0
1480.0,4855D0,E75L,KLM24H,52.53797,4.9032,6000,232,13,0
1500.0,4855D0,E75L,KLM24H,52.55818,4.91119,5900,231,13,-832
1520.0,4855D0,E75L,KLM24H,52.5791,4.91936,5625,234,13,-768
1540.0,4855D0,E75L,KLM24H,52.6003,4.92775,5375,235,13,-768
1560.0,4855D0,E75L,KLM24H,52.62401,4.93599,5100,232,2,-768
