time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CC29F,B752,ICE784,51.25621,1.46051,24975,477,101,-192
20.0,4CC29F,B752,ICE784,51.2482,1.52198,24825,472,101,-768
40.0,4CC29F,B752,ICE784,51.24046,1.58107,24575,464,101,-896
60.0,4CC29F,B752,ICE784,51.23134,1.65047,24175,455,101,-1216
80.0,4CC29F,B752,ICE784,51.22275,1.71505,23800,452,101,-1152
100.0,4CC29F,B752,ICE784,51.21368,1.78327,23400,452,101,-1152
120.0,4CC29F,B752,ICE784,51.20574,1.84303,23100,450,102,-384
140.0,4CC29F,B752,ICE784,51.19707,1.90791,23000,446,102,-128
200.0,4CC29F,B752,ICE784,51.16956,2.11153,23000,439,102,-64
220.0,4CC29F,B752,ICE784,51.16259,2.16263,23000,440,102,64
240.0,4CC29F,B752,ICE784,51.15388,2.22595,23000,441,102,0
260.0,4CC29F,B752,ICE784,51.14507,2.29013,23000,443,102,0
280.0,4CC29F,B752,ICE784,51.13591,2.35634,23000,443,102,0
300.0,4CC29F,B752,ICE784,51.12552,2.43147,23000,442,102,0
320.0,4CC29F,B752,ICE784,51.11869,2.48032,23000,442,102,0
340.0,4CC29F,B752,ICE784,51.10984,2.54379,23000,443,102,0
360.0,4CC29F,B752,ICE784,51.10044,2.60651,23000,443,105,0
380.0,4CC29F,B752,ICE784,51.08688,2.66782,23000,439,112,0
400.0,4CC29F,B752,ICE784,51.0694,2.7258,23000,437,117,0
420.0,4CC29F,B752,ICE784,51.05002,2.7829,23000,437,118,0
440.0,4CC29F,B752,ICE784,51.03042,2.83867,23000,437,119,0
460.0,4CC29F,B752,ICE784,51.01071,2.89438,23000,437,119,0
480.0,4CC29F,B752,ICE784,50.99121,2.94946,23000,437,119,0
500.0,4CC29F,B752,ICE784,50.97153,3.00529,23000,436,119,0
520.0,4CC29F,B752,ICE784,50.9518,3.06129,23000,437,119,0
540.0,4CC29F,B752,ICE784,50.93202,3.11752,23000,436,119,0
560.0,4CC29F,B752,ICE784,50.91238,3.17334,23000,436,119,0
580.0,4CC29F,B752,ICE784,50.89261,3.22931,23000,435,119,0
600.0,4CC29F,B752,ICE784,50.87126,3.28979,22975,436,119,-576
620.0,4CC29F,B752,ICE784,50.85242,3.34296,22250,437,119,-3456
640.0,4CC29F,B752,ICE784,50.8336,3.39574,21425,446,119,-960
660.0,4CC29F,B752,ICE784,50.81282,3.45394,20725,443,119,-3136
680.0,4CC29F,B752,ICE784,50.79327,3.5088,19775,445,119,-2944
700.0,4CC29F,B752,ICE784,50.77159,3.56941,18975,440,119,-2112
720.0,4CC29F,B752,ICE784,50.75255,3.62259,18275,435,119,-2176
740.0,4CC29F,B752,ICE784,50.73331,3.67634,17500,432,119,-2432
760.0,4CC29F,B752,ICE784,50.71387,3.73032,16700,429,119,-2112
780.0,4CC29F,B752,ICE784,50.69344,3.78694,16250,416,119,-960
800.0,4CC29F,B752,ICE784,50.67398,3.84084,15850,403,119,-1408
820.0,4CC29F,B752,ICE784,50.65763,3.88604,15600,398,119,-832
840.0,4CC29F,B752,ICE784,50.63952,3.93578,15325,397,119,-768
860.0,4CC29F,B752,ICE784,50.62118,3.98611,15075,397,119,-512
880.0,4CC29F,B752,ICE784,50.60271,4.03675,15000,394,119,64
900.0,4CC29F,B752,ICE784,50.58483,4.08558,15000,396,119,64
920.0,4CC29F,B752,ICE784,50.56636,4.1352,15000,386,120,0
940.0,4CC29F,B752,ICE784,50.54874,4.18196,15000,372,120,-64
960.0,4CC29F,B752,ICE784,50.53497,4.23092,15000,370,105,64
980.0,4CC29F,B752,ICE784,50.53362,4.28882,15000,367,81,0
1000.0,4CC29F,B752,ICE784,50.54116,4.33567,15000,366,73,-64
1020.0,4CC29F,B752,ICE784,50.55042,4.38659,15000,365,74,0
1040.0,4CC29F,B752,ICE784,50.56,4.44043,15000,364,74,0
1060.0,4CC29F,B752,ICE784,50.56842,4.48813,15000,361,74,0
1080.0,4CC29F,B752,ICE784,50.57724,4.53884,14850,350,74,-1088
1100.0,4CC29F,B752,ICE784,50.58549,4.58737,14450,346,74,-1024
1120.0,4CC29F,B752,ICE784,50.59395,4.63742,14050,340,75,-1408
1140.0,4CC29F,B752,ICE784,50.60262,4.68986,13475,337,75,-1600
1160.0,4CC29F,B752,ICE784,50.60922,4.72976,13050,335,75,-1408
1180.0,4CC29F,B752,ICE784,50.61772,4.77681,12600,329,71,-1280
1200.0,4CC29F,B752,ICE784,50.62784,4.8217,12125,322,70,-1344
1220.0,4CC29F,B752,ICE784,50.63786,4.86543,11675,318,69,-1600
1240.0,4CC29F,B752,ICE784,50.64851,4.91089,11075,318,69,-1728
1260.0,4CC29F,B752,ICE784,50.65796,4.95157,10550,318,69,-1664
1280.0,4CC29F,B752,ICE784,50.66815,4.99529,10025,318,69,-1664
1300.0,4CC29F,B752,ICE784,50.68199,5.05401,9300,315,69,-1536
1320.0,4CC29F,B752,ICE784,50.68863,5.08207,8975,314,69,-1536
1340.0,4CC29F,B752,ICE784,50.6999,5.13016,8375,312,69,-1536
1360.0,4CC29F,B752,ICE784,50.71188,5.1808,7750,310,69,-1536
1380.0,4CC29F,B752,ICE784,50.7209,5.21843,7325,308,69,-1472
1400.0,4CC29F,B752,ICE784,50.73337,5.27061,6700,304,69,-1472
1420.0,4CC29F,B752,ICE784,50.74776,5.32982,6000,302,68,-1600
1440.0,4CC29F,B752,ICE784,50.75061,5.34158,5850,302,68,-1600
1460.0,4CC29F,B752,ICE784,50.75916,5.37605,5400,301,68,-1536
