time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,48405E,B744,KLM644,52.82231,2.45568,24775,501,106,-3968
20.0,48405E,B744,KLM644,52.81883,2.47498,24425,504,106,-3968
40.0,48405E,B744,KLM644,52.80496,2.55104,23100,509,107,-3328
60.0,48405E,B744,KLM644,52.7916,2.62321,22225,505,107,-2432
80.0,48405E,B744,KLM644,52.77762,2.69659,21400,498,107,-2496
100.0,48405E,B744,KLM644,52.76333,2.77052,20550,491,107,-2432
120.0,48405E,B744,KLM644,52.7496,2.84161,19750,483,107,-2496
140.0,48405E,B744,KLM644,52.73428,2.92046,18825,477,107,-2048
160.0,48405E,B744,KLM644,52.71936,2.99728,18150,468,107,-896
180.0,48405E,B744,KLM644,52.70796,3.0558,18000,450,107,-192
200.0,48405E,B744,KLM644,52.69699,3.11164,17950,432,107,-1792
220.0,48405E,B744,KLM644,52.6854,3.17144,16950,439,107,-3072
240.0,48405E,B744,KLM644,52.67221,3.23837,16125,440,107,-1920
260.0,48405E,B744,KLM644,52.65958,3.30261,15475,435,108,-1856
280.0,48405E,B744,KLM644,52.64662,3.36802,14875,428,108,-1792
300.0,48405E,B744,KLM644,52.63445,3.42903,14250,424,108,-1920
320.0,48405E,B744,KLM644,52.62286,3.48717,13625,420,108,-2112
340.0,48405E,B744,KLM644,52.6106,3.54897,12975,416,108,-1664
360.0,48405E,B744,KLM644,52.59924,3.60512,12400,411,108,-1984
380.0,48405E,B744,KLM644,52.58769,3.66198,11750,408,108,-1728
400.0,48405E,B744,KLM644,52.57535,3.72284,11275,398,108,-768
420.0,48405E,B744,KLM644,52.56427,3.77726,11075,382,108,-640
440.0,48405E,B744,KLM644,52.55278,3.83408,10825,367,108,-768
460.0,48405E,B744,KLM644,52.54193,3.88741,10575,355,108,-704
480.0,48405E,B744,KLM644,52.53268,3.9328,10350,345,108,-704
500.0,48405E,B744,KLM644,52.52219,3.98152,10050,336,110,-1216
520.0,48405E,B744,KLM644,52.51094,4.02962,9600,333,111,-1088
540.0,48405E,B744,KLM644,52.49966,4.07569,9275,328,112,-1152
560.0,48405E,B744,KLM644,52.48801,4.12254,8950,323,112,-832
580.0,48405E,B744,KLM644,52.47702,4.16695,8700,323,111,-768
600.0,48405E,B744,KLM644,52.46603,4.21173,8450,322,112,-768
620.0,48405E,B744,KLM644,52.4546,4.25767,8175,321,112,-832
640.0,48405E,B744,KLM644,52.44424,4.30275,7900,319,105,-896
660.0,48405E,B744,KLM644,52.44063,4.34933,7650,310,94,-832
680.0,48405E,B744,KLM644,52.43858,4.39602,7375,305,94,-832
700.0,48405E,B744,KLM644,52.43623,4.44221,7100,300,94,-832
720.0,48405E,B744,KLM644,52.43394,4.48685,7000,300,94,-64
740.0,48405E,B744,KLM644,52.43183,4.53225,7000,294,92,0
760.0,48405E,B744,KLM644,52.43267,4.57518,7000,278,86,-64
780.0,48405E,B744,KLM644,52.43449,4.61779,7000,277,85,0
800.0,48405E,B744,KLM644,52.43623,4.65828,7000,278,85,0
820.0,48405E,B744,KLM644,52.43811,4.70146,7000,279,86,0
840.0,48405E,B744,KLM644,52.43979,4.74288,7000,278,86,0
860.0,48405E,B744,KLM644,52.44151,4.78517,7000,278,86,0
880.0,48405E,B744,KLM644,52.44319,4.82873,7000,280,86,0
900.0,48405E,B744,KLM644,52.44487,4.86993,6925,279,86,-896
920.0,48405E,B744,KLM644,52.44649,4.91196,6575,277,86,-1088
940.0,48405E,B744,KLM644,52.44722,4.95369,6175,276,94,-1472
960.0,48405E,B744,KLM644,52.43961,4.99336,5725,279,113,-1472
980.0,48405E,B744,KLM644,52.42841,5.03387,5275,275,114,-1088
