time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,343148,A332,AEA1091,50.96325,3.39592,24750,374,30,-1472
20.0,343148,A332,AEA1091,50.98251,3.4143,24425,370,30,-1472
40.0,343148,A332,AEA1091,51.01799,3.44818,23800,362,31,-1472
60.0,343148,A332,AEA1091,51.04239,3.47153,23425,355,30,-1088
80.0,343148,A332,AEA1091,51.07693,3.50464,23125,340,31,-512
100.0,343148,A332,AEA1091,51.10314,3.52982,22975,325,31,-512
120.0,343148,A332,AEA1091,51.1198,3.54584,22850,317,31,-512
140.0,343148,A332,AEA1091,51.14397,3.56907,22675,306,31,-768
160.0,343148,A332,AEA1091,51.168,3.59216,22350,300,31,-1024
180.0,343148,A332,AEA1091,51.19167,3.61495,22000,294,31,-1024
200.0,343148,A332,AEA1091,51.2232,3.64532,21550,287,31,-1024
220.0,343148,A332,AEA1091,51.23702,3.65639,21350,276,22,-960
240.0,343148,A332,AEA1091,51.2672,3.67003,20950,264,14,-1024
260.0,343148,A332,AEA1091,51.29358,3.68118,20575,259,14,-1024
280.0,343148,A332,AEA1091,51.31105,3.68836,20325,256,14,-1024
300.0,343148,A332,AEA1091,51.33646,3.69683,19950,253,2,-1024
320.0,343148,A332,AEA1091,51.35312,3.6927,19725,244,345,-960
340.0,343148,A332,AEA1091,51.37619,3.68265,19375,246,344,-960
360.0,343148,A332,AEA1091,51.40019,3.67233,18925,246,345,-1216
380.0,343148,A332,AEA1091,51.41899,3.6644,18625,243,344,-1088
400.0,343148,A332,AEA1091,51.44274,3.6541,18100,243,344,-2304
420.0,343148,A332,AEA1091,51.46396,3.64929,17275,265,6,-2688
440.0,343148,A332,AEA1091,51.48682,3.66859,16575,297,37,-1920
460.0,343148,A332,AEA1091,51.50977,3.6956,15975,296,34,-1664
480.0,343148,A332,AEA1091,51.53184,3.71971,15500,293,33,-1408
500.0,343148,A332,AEA1091,51.55446,3.7442,15100,289,33,-1344
520.0,343148,A332,AEA1091,51.57657,3.76793,14550,288,33,-1856
540.0,343148,A332,AEA1091,51.59855,3.7915,14000,288,33,-1664
560.0,343148,A332,AEA1091,51.62173,3.81649,13525,284,33,-1088
580.0,343148,A332,AEA1091,51.64259,3.83904,13125,280,33,-1728
600.0,343148,A332,AEA1091,51.66437,3.86238,12525,284,33,-1728
620.0,343148,A332,AEA1091,51.68616,3.88588,12000,284,33,-1664
640.0,343148,A332,AEA1091,51.70871,3.91032,11600,281,34,-1152
660.0,343148,A332,AEA1091,51.73036,3.93377,11100,278,33,-1856
680.0,343148,A332,AEA1091,51.75087,3.95584,10550,282,33,-1472
700.0,343148,A332,AEA1091,51.77261,3.97957,10225,275,34,-960
720.0,343148,A332,AEA1091,51.79346,4.00223,9800,270,33,-1280
740.0,343148,A332,AEA1091,51.81441,4.02496,9200,275,33,-2112
760.0,343148,A332,AEA1091,51.83679,4.0492,8525,283,33,-1536
780.0,343148,A332,AEA1091,51.85817,4.07257,8100,282,34,-768
800.0,343148,A332,AEA1091,51.87916,4.09561,8025,275,34,-128
820.0,343148,A332,AEA1091,51.90349,4.12216,8000,281,34,-64
840.0,343148,A332,AEA1091,51.92083,4.14726,8000,290,46,-64
860.0,343148,A332,AEA1091,51.94005,4.17504,8000,279,37,0
880.0,343148,A332,AEA1091,51.95984,4.20329,8000,287,44,0
900.0,343148,A332,AEA1091,51.97893,4.23288,8000,283,42,0
920.0,343148,A332,AEA1091,51.9982,4.26152,8000,270,42,128
940.0,343148,A332,AEA1091,52.01598,4.28773,8000,253,42,64
960.0,343148,A332,AEA1091,52.03325,4.31276,8000,250,41,-64
980.0,343148,A332,AEA1091,52.05029,4.33748,8000,249,41,0
1000.0,343148,A332,AEA1091,52.06747,4.36259,8000,250,42,-64
1020.0,343148,A332,AEA1091,52.08488,4.38802,8000,253,42,64
1040.0,343148,A332,AEA1091,52.10275,4.41219,8000,243,35,0
1060.0,343148,A332,AEA1091,52.12138,4.43306,8000,246,34,-64
1080.0,343148,A332,AEA1091,52.14023,4.45464,8000,245,35,0
1100.0,343148,A332,AEA1091,52.15862,4.47552,8000,244,34,0
1120.0,343148,A332,AEA1091,52.17733,4.4967,8000,247,34,0
1140.0,343148,A332,AEA1091,52.19591,4.51766,8000,245,34,-64
1160.0,343148,A332,AEA1091,52.21523,4.53964,8000,247,34,0
1180.0,343148,A332,AEA1091,52.23347,4.5605,8000,247,35,0
1200.0,343148,A332,AEA1091,52.25172,4.58067,8000,232,35,0
1220.0,343148,A332,AEA1091,52.26909,4.60202,8000,227,35,-64
1240.0,343148,A332,AEA1091,52.28626,4.6225,8000,231,36,0
1260.0,343148,A332,AEA1091,52.30335,4.6429,8000,231,36,0
1280.0,343148,A332,AEA1091,52.32067,4.66362,8000,231,36,0
1300.0,343148,A332,AEA1091,52.3378,4.68426,8000,230,36,0
1320.0,343148,A332,AEA1091,52.35511,4.7049,8000,232,36,0
1340.0,343148,A332,AEA1091,52.37271,4.72569,8000,231,35,0
1360.0,343148,A332,AEA1091,52.39012,4.74633,8000,232,36,0
1380.0,343148,A332,AEA1091,52.40506,4.77238,8000,253,65,128
1400.0,343148,A332,AEA1091,52.41223,4.81397,8000,257,76,-64
1420.0,343148,A332,AEA1091,52.41842,4.85572,8000,258,76,0
1440.0,343148,A332,AEA1091,52.42308,4.89017,8000,260,80,-256
1460.0,343148,A332,AEA1091,52.42331,4.92541,7625,265,93,-1600
1480.0,343148,A332,AEA1091,52.42159,4.96676,7350,259,93,-704
1500.0,343148,A332,AEA1091,52.41987,5.00443,7075,257,94,-832
1520.0,343148,A332,AEA1091,52.41792,5.04517,6800,252,94,-384
1560.0,343148,A332,AEA1091,52.41344,5.12398,6400,231,95,-896
1580.0,343148,A332,AEA1091,52.41172,5.15345,6125,228,95,-896
1600.0,343148,A332,AEA1091,52.40863,5.20462,5625,226,95,-1024
