time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,A0F4A2,B763,DAL46,52.75278,2.50298,24975,474,96,-2688
20.0,A0F4A2,B763,DAL46,52.75127,2.52335,24675,474,96,-3136
40.0,A0F4A2,B763,DAL46,52.74586,2.59445,23750,474,97,-2560
60.0,A0F4A2,B763,DAL46,52.74033,2.66583,23150,467,97,-768
80.0,A0F4A2,B763,DAL46,52.73456,2.7363,22625,453,97,-2112
100.0,A0F4A2,B763,DAL46,52.7287,2.80881,21850,450,97,-2240
120.0,A0F4A2,B763,DAL46,52.72334,2.87504,21075,447,97,-2432
140.0,A0F4A2,B763,DAL46,52.7184,2.93839,20375,443,97,-2240
160.0,A0F4A2,B763,DAL46,52.71304,3.00446,19550,438,97,-2432
180.0,A0F4A2,B763,DAL46,52.70765,3.07115,18650,436,97,-3008
200.0,A0F4A2,B763,DAL46,52.70258,3.13683,17700,434,97,-2688
220.0,A0F4A2,B763,DAL46,52.69765,3.2011,16775,432,96,-3072
240.0,A0F4A2,B763,DAL46,52.6922,3.26608,15925,428,98,-1856
260.0,A0F4A2,B763,DAL46,52.68671,3.33098,15250,422,97,-2048
280.0,A0F4A2,B763,DAL46,52.68163,3.39376,14575,416,97,-2048
300.0,A0F4A2,B763,DAL46,52.67651,3.45627,13925,410,97,-1984
320.0,A0F4A2,B763,DAL46,52.67134,3.5179,13275,407,97,-1984
340.0,A0F4A2,B763,DAL46,52.6664,3.57811,12600,402,97,-1920
360.0,A0F4A2,B763,DAL46,52.66132,3.63892,11950,397,98,-2112
380.0,A0F4A2,B763,DAL46,52.65607,3.69902,11250,395,97,-2048
400.0,A0F4A2,B763,DAL46,52.6512,3.75702,10750,388,97,-960
420.0,A0F4A2,B763,DAL46,52.64634,3.81477,10250,378,97,-1664
440.0,A0F4A2,B763,DAL46,52.64122,3.87119,10025,373,98,-128
460.0,A0F4A2,B763,DAL46,52.63628,3.92685,10000,364,98,-192
480.0,A0F4A2,B763,DAL46,52.63165,3.97957,10000,344,98,64
500.0,A0F4A2,B763,DAL46,52.62749,4.02955,9800,328,97,-1856
520.0,A0F4A2,B763,DAL46,52.62323,4.07928,9275,327,98,-1472
540.0,A0F4A2,B763,DAL46,52.61888,4.12764,8800,325,98,-1472
560.0,A0F4A2,B763,DAL46,52.6145,4.1763,8325,323,98,-1536
580.0,A0F4A2,B763,DAL46,52.61014,4.22478,7850,315,98,-1344
600.0,A0F4A2,B763,DAL46,52.60603,4.27023,7400,303,98,-1344
620.0,A0F4A2,B763,DAL46,52.6019,4.31587,6950,290,98,-1280
640.0,A0F4A2,B763,DAL46,52.59805,4.35791,6575,281,98,-1216
660.0,A0F4A2,B763,DAL46,52.59435,4.40002,6150,278,98,-1344
680.0,A0F4A2,B763,DAL46,52.59055,4.44199,5775,278,98,-704
700.0,A0F4A2,B763,DAL46,52.5867,4.48334,5600,273,98,-448
720.0,A0F4A2,B763,DAL46,52.58423,4.52301,5425,262,93,-1024
740.0,A0F4A2,B763,DAL46,52.58383,4.56239,5275,259,90,-192
760.0,A0F4A2,B763,DAL46,52.58382,4.60243,5250,260,90,64
780.0,A0F4A2,B763,DAL46,52.58131,4.64078,5250,260,105,64
800.0,A0F4A2,B763,DAL46,52.56862,4.67453,5275,258,130,64
820.0,A0F4A2,B763,DAL46,52.55315,4.70367,5300,254,131,64
840.0,A0F4A2,B763,DAL46,52.53481,4.7231,5250,230,158,-704
