time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CAA3E,A319,AZA120,50.89252,4.54055,24300,351,328,-3328
20.0,4CAA3E,A319,AZA120,50.93327,4.47487,23475,325,309,-960
40.0,4CAA3E,A319,AZA120,50.93619,4.46921,23425,322,309,-1024
60.0,4CAA3E,A319,AZA120,50.96907,4.40529,22875,295,308,-832
80.0,4CAA3E,A319,AZA120,50.97638,4.39075,22775,288,308,-832
100.0,4CAA3E,A319,AZA120,50.99123,4.36096,22550,276,308,-768
120.0,4CAA3E,A319,AZA120,51.00522,4.33307,22325,263,308,-640
140.0,4CAA3E,A319,AZA120,51.02079,4.30206,22100,249,308,-640
160.0,4CAA3E,A319,AZA120,51.0341,4.27544,21875,239,308,-896
180.0,4CAA3E,A319,AZA120,51.04676,4.25003,21550,233,308,-1280
200.0,4CAA3E,A319,AZA120,51.06022,4.22318,21100,231,308,-1344
220.0,4CAA3E,A319,AZA120,51.07265,4.19848,20625,230,308,-1472
240.0,4CAA3E,A319,AZA120,51.08559,4.17229,20250,226,308,-1152
260.0,4CAA3E,A319,AZA120,51.09932,4.1449,20050,224,308,-128
280.0,4CAA3E,A319,AZA120,51.11203,4.11934,20000,228,308,-64
300.0,4CAA3E,A319,AZA120,51.12879,4.08569,20000,227,308,0
320.0,4CAA3E,A319,AZA120,51.13754,4.06792,20000,226,308,64
340.0,4CAA3E,A319,AZA120,51.15042,4.042,20000,226,308,0
360.0,4CAA3E,A319,AZA120,51.16398,4.01466,20000,224,308,0
380.0,4CAA3E,A319,AZA120,51.17766,3.987,20000,224,307,0
400.0,4CAA3E,A319,AZA120,51.18903,3.96378,20000,225,308,0
440.0,4CAA3E,A319,AZA120,51.21766,3.90564,20000,224,308,0
460.0,4CAA3E,A319,AZA120,51.22929,3.88344,19975,223,318,-192
480.0,4CAA3E,A319,AZA120,51.26132,3.87039,20025,231,358,-128
500.0,4CAA3E,A319,AZA120,51.2765,3.8694,20000,230,357,0
520.0,4CAA3E,A319,AZA120,51.29191,3.86848,20000,230,358,128
540.0,4CAA3E,A319,AZA120,51.30963,3.86786,19800,232,359,-1792
560.0,4CAA3E,A319,AZA120,51.33412,3.87446,19075,249,15,-1536
580.0,4CAA3E,A319,AZA120,51.35614,3.88411,18575,247,14,-1536
600.0,4CAA3E,A319,AZA120,51.37637,3.89272,18125,247,15,-1536
620.0,4CAA3E,A319,AZA120,51.39828,3.90228,17625,247,15,-1408
640.0,4CAA3E,A319,AZA120,51.41968,3.9118,17125,248,15,-1472
660.0,4CAA3E,A319,AZA120,51.4465,3.9236,16600,246,15,-1280
680.0,4CAA3E,A319,AZA120,51.46371,3.93132,16250,244,15,-1408
700.0,4CAA3E,A319,AZA120,51.48682,3.94165,15775,243,15,-1152
720.0,4CAA3E,A319,AZA120,51.50931,3.95164,15375,240,15,-1152
740.0,4CAA3E,A319,AZA120,51.52811,3.96004,15000,238,15,-1216
760.0,4CAA3E,A319,AZA120,51.54936,3.9694,14600,236,15,-1280
780.0,4CAA3E,A319,AZA120,51.57042,3.97883,14200,234,15,-1408
800.0,4CAA3E,A319,AZA120,51.59184,3.98849,13750,233,15,-1088
820.0,4CAA3E,A319,AZA120,51.61331,3.99806,13325,231,15,-1344
840.0,4CAA3E,A319,AZA120,51.63407,4.00719,12875,230,15,-1280
860.0,4CAA3E,A319,AZA120,51.65295,4.01565,12500,228,15,-1280
880.0,4CAA3E,A319,AZA120,51.67396,4.02496,12025,229,15,-1536
900.0,4CAA3E,A319,AZA120,51.69562,4.03443,11500,230,15,-1344
920.0,4CAA3E,A319,AZA120,51.714,4.04282,11175,226,15,-1088
940.0,4CAA3E,A319,AZA120,51.73448,4.05182,10600,230,15,-2048
960.0,4CAA3E,A319,AZA120,51.75517,4.06101,10100,232,15,-1088
980.0,4CAA3E,A319,AZA120,51.77609,4.07066,9775,225,15,-576
1000.0,4CAA3E,A319,AZA120,51.79528,4.07944,9475,220,15,-1152
1020.0,4CAA3E,A319,AZA120,51.81557,4.08859,9000,219,15,-1536
1040.0,4CAA3E,A319,AZA120,51.83414,4.09708,8475,223,15,-1856
1060.0,4CAA3E,A319,AZA120,51.85472,4.10629,8050,229,15,-448
1080.0,4CAA3E,A319,AZA120,51.87534,4.11542,8000,232,15,-64
1100.0,4CAA3E,A319,AZA120,51.89569,4.12466,8000,231,15,0
1120.0,4CAA3E,A319,AZA120,51.91571,4.13788,8000,246,35,0
1140.0,4CAA3E,A319,AZA120,51.93358,4.16272,8000,251,41,0
1160.0,4CAA3E,A319,AZA120,51.95087,4.18755,8000,252,41,0
1180.0,4CAA3E,A319,AZA120,51.96812,4.21249,8000,252,41,64
1200.0,4CAA3E,A319,AZA120,51.98584,4.23836,8000,252,41,0
1220.0,4CAA3E,A319,AZA120,52.00304,4.26332,8000,251,41,0
1240.0,4CAA3E,A319,AZA120,52.02003,4.28818,8000,249,41,0
1260.0,4CAA3E,A319,AZA120,52.03749,4.31355,8000,250,42,0
1280.0,4CAA3E,A319,AZA120,52.05453,4.33858,8000,249,42,-64
1300.0,4CAA3E,A319,AZA120,52.07147,4.36338,8000,249,42,0
1320.0,4CAA3E,A319,AZA120,52.08879,4.38872,8000,249,42,0
1340.0,4CAA3E,A319,AZA120,52.10578,4.4136,8000,248,41,0
1360.0,4CAA3E,A319,AZA120,52.12291,4.43863,8000,251,41,0
1380.0,4CAA3E,A319,AZA120,52.14018,4.46398,8000,250,42,0
1400.0,4CAA3E,A319,AZA120,52.15741,4.48929,8000,250,42,0
1420.0,4CAA3E,A319,AZA120,52.17417,4.51405,8000,249,42,0
1440.0,4CAA3E,A319,AZA120,52.19246,4.54136,8000,249,42,0
1460.0,4CAA3E,A319,AZA120,52.20831,4.56497,7975,249,42,-640
1480.0,4CAA3E,A319,AZA120,52.2257,4.59072,7675,249,42,-768
1500.0,4CAA3E,A319,AZA120,52.24232,4.61525,7425,247,42,-768
1520.0,4CAA3E,A319,AZA120,52.25908,4.64008,7150,242,42,-768
1540.0,4CAA3E,A319,AZA120,52.27634,4.66599,7025,239,42,-128
1560.0,4CAA3E,A319,AZA120,52.2919,4.68948,7000,240,42,-64
1580.0,4CAA3E,A319,AZA120,52.30805,4.71368,7000,242,42,-64
1600.0,4CAA3E,A319,AZA120,52.32453,4.73801,7000,242,41,0
1620.0,4CAA3E,A319,AZA120,52.34235,4.76395,7000,243,41,0
1640.0,4CAA3E,A319,AZA120,52.35837,4.78737,7000,242,42,0
1660.0,4CAA3E,A319,AZA120,52.37434,4.8128,7000,245,49,-128
1680.0,4CAA3E,A319,AZA120,52.38202,4.85219,7000,265,85,-64
1700.0,4CAA3E,A319,AZA120,52.38356,4.8886,6800,258,86,-768
1720.0,4CAA3E,A319,AZA120,52.38524,4.93546,6550,242,86,-576
1740.0,4CAA3E,A319,AZA120,52.38625,4.96582,6375,233,87,-576
1760.0,4CAA3E,A319,AZA120,52.38716,4.99832,6200,222,87,-704
1780.0,4CAA3E,A319,AZA120,52.38803,5.03174,5900,218,87,-1088
1800.0,4CAA3E,A319,AZA120,52.38914,5.07411,5400,213,87,-1216
