time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,440145,A320,EJU2729,50.77611,4.66164,24600,311,328,-1088
20.0,440145,A320,EJU2729,50.80522,4.63319,24150,310,328,-1152
40.0,440145,A320,EJU2729,50.82394,4.61463,23850,308,328,-1152
80.0,440145,A320,EJU2729,50.86514,4.57425,23175,303,328,-1152
100.0,440145,A320,EJU2729,50.9031,4.53293,22525,302,316,-1152
120.0,440145,A320,EJU2729,50.91274,4.51607,22325,304,309,-1088
140.0,440145,A320,EJU2729,50.93262,4.477,21925,304,308,-1088
160.0,440145,A320,EJU2729,50.94449,4.45343,21650,303,308,-1216
180.0,440145,A320,EJU2729,50.96146,4.41992,21250,301,308,-1152
200.0,440145,A320,EJU2729,50.97945,4.38393,20875,303,308,-1088
220.0,440145,A320,EJU2729,50.99597,4.35073,20475,303,308,-1280
240.0,440145,A320,EJU2729,51.01849,4.30538,20075,305,308,-192
260.0,440145,A320,EJU2729,51.0314,4.27992,20000,322,308,-320
280.0,440145,A320,EJU2729,51.05365,4.23553,19975,328,308,64
300.0,440145,A320,EJU2729,51.06876,4.20554,20000,326,308,0
320.0,440145,A320,EJU2729,51.09595,4.16152,20000,321,329,0
340.0,440145,A320,EJU2729,51.12332,4.14704,20000,326,355,64
360.0,440145,A320,EJU2729,51.1522,4.14581,20000,326,359,-64
380.0,440145,A320,EJU2729,51.17798,4.14541,20000,327,359,0
400.0,440145,A320,EJU2729,51.20607,4.14474,20000,328,359,0
420.0,440145,A320,EJU2729,51.24243,4.14378,19900,326,359,-960
440.0,440145,A320,EJU2729,51.2661,4.1434,19475,324,359,-1984
460.0,440145,A320,EJU2729,51.29901,4.14281,18675,323,359,-1984
480.0,440145,A320,EJU2729,51.32758,4.14229,18000,319,359,-2048
500.0,440145,A320,EJU2729,51.35722,4.14185,17200,320,359,-2688
520.0,440145,A320,EJU2729,51.38782,4.14133,16375,321,359,-1984
540.0,440145,A320,EJU2729,51.41639,4.14085,15850,315,359,-1600
560.0,440145,A320,EJU2729,51.44357,4.14036,15225,313,359,-2176
580.0,440145,A320,EJU2729,51.48157,4.13969,14400,310,359,-1664
600.0,440145,A320,EJU2729,51.50111,4.13925,14025,306,359,-1856
620.0,440145,A320,EJU2729,51.52988,4.13872,13225,307,359,-2432
640.0,440145,A320,EJU2729,51.55751,4.13828,12575,305,359,-2176
660.0,440145,A320,EJU2729,51.58728,4.1378,11800,306,359,-2304
680.0,440145,A320,EJU2729,51.61414,4.13754,11125,305,359,-2048
700.0,440145,A320,EJU2729,51.64494,4.13702,10425,302,359,-1792
720.0,440145,A320,EJU2729,51.66971,4.13635,9900,298,359,-2176
740.0,440145,A320,EJU2729,51.69845,4.13574,9250,295,359,-896
760.0,440145,A320,EJU2729,51.72536,4.13536,9000,278,359,-768
780.0,440145,A320,EJU2729,51.75142,4.13502,8675,265,359,-1152
800.0,440145,A320,EJU2729,51.77385,4.13465,8200,263,359,-1408
820.0,440145,A320,EJU2729,51.79779,4.13413,7725,259,359,-1664
840.0,440145,A320,EJU2729,51.8227,4.13376,7200,257,359,-1280
860.0,440145,A320,EJU2729,51.84572,4.13338,7025,256,359,-192
880.0,440145,A320,EJU2729,51.86911,4.13294,7000,257,359,0
900.0,440145,A320,EJU2729,51.89287,4.13257,7000,258,0,-64
920.0,440145,A320,EJU2729,51.91621,4.14062,7000,266,29,0
940.0,440145,A320,EJU2729,51.93594,4.16603,7000,269,42,0
960.0,440145,A320,EJU2729,51.95439,4.19304,7000,269,41,-64
980.0,440145,A320,EJU2729,51.97275,4.21959,7000,253,42,64
1000.0,440145,A320,EJU2729,51.98978,4.24461,7000,240,41,-64
1020.0,440145,A320,EJU2729,52.00557,4.26987,6925,244,57,-896
1040.0,440145,A320,EJU2729,52.01212,4.30489,6500,257,86,-1088
1060.0,440145,A320,EJU2729,52.01239,4.34303,6250,250,89,-768
1080.0,440145,A320,EJU2729,52.01271,4.3808,5825,246,89,-1216
1100.0,440145,A320,EJU2729,52.01285,4.41711,5375,246,89,-1664
