time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,451E2B,B734,BCS364,51.29187,1.324,24850,453,102,-1472
20.0,451E2B,B734,BCS364,51.28981,1.33911,24725,453,101,-1472
40.0,451E2B,B734,BCS364,51.28227,1.40434,24225,453,100,-1536
60.0,451E2B,B734,BCS364,51.27268,1.48193,23750,448,101,-896
80.0,451E2B,B734,BCS364,51.2596,1.59109,23225,438,101,-896
100.0,451E2B,B734,BCS364,51.25825,1.60072,23175,438,101,-960
120.0,451E2B,B734,BCS364,51.25067,1.66183,22975,435,102,64
140.0,451E2B,B734,BCS364,51.24177,1.72569,22975,434,102,0
160.0,451E2B,B734,BCS364,51.23009,1.81702,22975,435,102,0
180.0,451E2B,B734,BCS364,51.22527,1.85201,23000,437,102,0
200.0,451E2B,B734,BCS364,51.21634,1.91659,23000,440,102,0
220.0,451E2B,B734,BCS364,51.20535,2.00449,22975,440,102,0
280.0,451E2B,B734,BCS364,51.17995,2.19398,23000,440,102,0
300.0,451E2B,B734,BCS364,51.17377,2.2372,23000,440,102,0
320.0,451E2B,B734,BCS364,51.16484,2.30245,22975,440,102,-64
340.0,451E2B,B734,BCS364,51.15663,2.36496,22975,440,102,0
360.0,451E2B,B734,BCS364,51.14767,2.43087,23000,440,102,0
380.0,451E2B,B734,BCS364,51.13875,2.4968,23000,441,102,0
400.0,451E2B,B734,BCS364,51.12986,2.55791,23000,442,102,0
420.0,451E2B,B734,BCS364,51.1209,2.62172,23000,443,102,0
440.0,451E2B,B734,BCS364,51.11197,2.68697,22975,443,102,0
460.0,451E2B,B734,BCS364,51.10304,2.75015,23000,442,102,0
480.0,451E2B,B734,BCS364,51.09415,2.8154,23000,442,102,0
500.0,451E2B,B734,BCS364,51.08522,2.87926,23000,442,102,0
520.0,451E2B,B734,BCS364,51.07626,2.94307,23000,442,102,0
540.0,451E2B,B734,BCS364,51.06665,3.00766,22975,442,102,-256
560.0,451E2B,B734,BCS364,51.05772,3.07291,22525,442,102,-1600
580.0,451E2B,B734,BCS364,51.0488,3.13467,21975,437,102,-1536
600.0,451E2B,B734,BCS364,51.03987,3.19717,21475,434,103,-1536
620.0,451E2B,B734,BCS364,51.03026,3.26376,20950,433,103,-1472
640.0,451E2B,B734,BCS364,51.02204,3.32352,20425,430,103,-1920
660.0,451E2B,B734,BCS364,51.01309,3.38394,19750,428,103,-2048
680.0,451E2B,B734,BCS364,51.00348,3.44711,19075,428,103,-1984
700.0,451E2B,B734,BCS364,50.99458,3.51028,18375,423,103,-2048
720.0,451E2B,B734,BCS364,50.98563,3.56929,17725,419,103,-1984
740.0,451E2B,B734,BCS364,50.9767,3.62839,17075,412,103,-1920
760.0,451E2B,B734,BCS364,50.96846,3.68813,16400,405,103,-2112
780.0,451E2B,B734,BCS364,50.95953,3.74649,15725,404,103,-1920
800.0,451E2B,B734,BCS364,50.95063,3.80486,15100,403,103,-1984
820.0,451E2B,B734,BCS364,50.94239,3.86253,14425,402,103,-1984
840.0,451E2B,B734,BCS364,50.9376,3.92159,13725,402,85,-1984
860.0,451E2B,B734,BCS364,50.94584,3.97926,13100,403,72,-1920
880.0,451E2B,B734,BCS364,50.95682,4.03557,12450,396,72,-1856
900.0,451E2B,B734,BCS364,50.96781,4.09119,11775,388,72,-1984
920.0,451E2B,B734,BCS364,50.9788,4.14543,11175,374,72,-1472
940.0,451E2B,B734,BCS364,50.98839,4.19624,10700,358,72,-1216
960.0,451E2B,B734,BCS364,50.99799,4.2457,10325,343,73,-1024
980.0,451E2B,B734,BCS364,51.00691,4.29439,10025,329,73,-1152
1000.0,451E2B,B734,BCS364,51.01515,4.33975,9550,322,73,-1280
1020.0,451E2B,B734,BCS364,51.02339,4.38577,9075,316,73,-1600
1040.0,451E2B,B734,BCS364,51.03163,4.43105,8475,315,73,-1600
1060.0,451E2B,B734,BCS364,51.03987,4.47502,8150,301,73,-448
1080.0,451E2B,B734,BCS364,51.04742,4.51687,8000,284,73,-512
1100.0,451E2B,B734,BCS364,51.05429,4.55673,7650,279,73,-896
1120.0,451E2B,B734,BCS364,51.06185,4.59862,7225,272,73,-1472
1140.0,451E2B,B734,BCS364,51.06874,4.63432,6725,269,73,-1728
1160.0,451E2B,B734,BCS364,51.07558,4.67278,6075,273,73,-1920
1180.0,451E2B,B734,BCS364,51.08244,4.71187,5425,275,73,-1920
