time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CA855,B738,RYR1SG,52.20016,1.86012,24975,402,96,-2112
20.0,4CA855,B738,RYR1SG,52.19516,1.93116,24125,400,96,-2176
40.0,4CA855,B738,RYR1SG,52.19243,1.96869,23675,399,96,-2176
60.0,4CA855,B738,RYR1SG,52.18687,2.04424,22750,398,97,-2176
80.0,4CA855,B738,RYR1SG,52.1831,2.09172,22250,395,97,-1088
100.0,4CA855,B738,RYR1SG,52.17741,2.16484,21825,377,96,-1152
120.0,4CA855,B738,RYR1SG,52.17458,2.20284,21600,369,96,-896
140.0,4CA855,B738,RYR1SG,52.1703,2.2591,21325,355,96,-512
160.0,4CA855,B738,RYR1SG,52.16652,2.31041,21175,347,97,-512
180.0,4CA855,B738,RYR1SG,52.15755,2.37053,21000,345,106,-448
200.0,4CA855,B738,RYR1SG,52.14884,2.41872,21000,344,106,0
220.0,4CA855,B738,RYR1SG,52.14175,2.45911,21000,344,105,0
240.0,4CA855,B738,RYR1SG,52.13213,2.51532,21000,343,105,0
260.0,4CA855,B738,RYR1SG,52.12486,2.55821,21000,342,105,0
280.0,4CA855,B738,RYR1SG,52.11649,2.60729,21000,342,105,-64
300.0,4CA855,B738,RYR1SG,52.1075,2.6601,21000,341,105,0
320.0,4CA855,B738,RYR1SG,52.09882,2.71057,21000,340,105,0
340.0,4CA855,B738,RYR1SG,52.09007,2.76077,21000,341,105,0
360.0,4CA855,B738,RYR1SG,52.08224,2.80518,21000,340,105,0
380.0,4CA855,B738,RYR1SG,52.07254,2.86087,21000,339,105,0
400.0,4CA855,B738,RYR1SG,52.06509,2.90314,21000,339,105,0
420.0,4CA855,B738,RYR1SG,52.05624,2.95364,21000,339,105,0
440.0,4CA855,B738,RYR1SG,52.04778,3.00201,21000,339,105,64
460.0,4CA855,B738,RYR1SG,52.03844,3.05511,21000,340,106,-64
480.0,4CA855,B738,RYR1SG,52.03055,3.09916,21000,339,106,0
500.0,4CA855,B738,RYR1SG,52.02191,3.14751,21000,339,106,0
520.0,4CA855,B738,RYR1SG,52.01303,3.19763,21000,338,106,0
540.0,4CA855,B738,RYR1SG,52.00434,3.24638,21000,337,106,0
560.0,4CA855,B738,RYR1SG,51.996,3.29308,21000,337,106,0
580.0,4CA855,B738,RYR1SG,51.98609,3.34808,21000,337,106,0
600.0,4CA855,B738,RYR1SG,51.97824,3.39142,21000,337,106,0
620.0,4CA855,B738,RYR1SG,51.96957,3.43927,20925,337,106,-1024
640.0,4CA855,B738,RYR1SG,51.96096,3.48722,20575,332,106,-1088
660.0,4CA855,B738,RYR1SG,51.95244,3.53438,20225,326,106,-1024
680.0,4CA855,B738,RYR1SG,51.94363,3.58284,19875,320,106,-1024
700.0,4CA855,B738,RYR1SG,51.93517,3.62886,19525,313,106,-1024
720.0,4CA855,B738,RYR1SG,51.92752,3.66997,19225,310,106,-960
740.0,4CA855,B738,RYR1SG,51.91887,3.71589,18900,309,108,-960
760.0,4CA855,B738,RYR1SG,51.90682,3.75568,18575,308,118,-1024
780.0,4CA855,B738,RYR1SG,51.89095,3.8029,18200,309,118,-1024
800.0,4CA855,B738,RYR1SG,51.87946,3.8366,17925,308,118,-1024
820.0,4CA855,B738,RYR1SG,51.86552,3.87703,17575,307,119,-1024
840.0,4CA855,B738,RYR1SG,51.85162,3.917,17250,306,119,-1024
860.0,4CA855,B738,RYR1SG,51.83794,3.95634,16900,304,119,-1024
880.0,4CA855,B738,RYR1SG,51.82407,3.99613,16575,302,119,-1024
900.0,4CA855,B738,RYR1SG,51.81013,4.03595,16175,303,119,-1536
920.0,4CA855,B738,RYR1SG,51.79633,4.07519,15675,303,119,-1408
940.0,4CA855,B738,RYR1SG,51.78299,4.11354,15200,301,119,-1472
960.0,4CA855,B738,RYR1SG,51.76964,4.15246,14725,297,118,-1472
980.0,4CA855,B738,RYR1SG,51.7565,4.19166,14225,294,118,-1536
1000.0,4CA855,B738,RYR1SG,51.74377,4.22937,14000,290,118,-64
1020.0,4CA855,B738,RYR1SG,51.73141,4.26826,13800,288,112,-1024
1040.0,4CA855,B738,RYR1SG,51.72556,4.30983,13450,290,95,-1024
1060.0,4CA855,B738,RYR1SG,51.72345,4.3531,13100,287,94,-1024
1080.0,4CA855,B738,RYR1SG,51.72107,4.39579,12775,287,95,-1024
1100.0,4CA855,B738,RYR1SG,51.71846,4.43751,12450,286,96,-1024
1120.0,4CA855,B738,RYR1SG,51.71521,4.47998,12100,281,97,-1024
1140.0,4CA855,B738,RYR1SG,51.71201,4.52117,11775,278,97,-960
1160.0,4CA855,B738,RYR1SG,51.70876,4.56304,11425,278,97,-960
1180.0,4CA855,B738,RYR1SG,51.70585,4.60426,11100,278,96,-1024
1200.0,4CA855,B738,RYR1SG,51.70301,4.64409,10775,276,96,-1024
1220.0,4CA855,B738,RYR1SG,51.69969,4.68886,10400,276,96,-960
1240.0,4CA855,B738,RYR1SG,51.69682,4.73007,10075,276,96,-960
1260.0,4CA855,B738,RYR1SG,51.69398,4.76692,9775,276,97,-1024
1280.0,4CA855,B738,RYR1SG,51.69077,4.80815,9425,275,97,-1024
1300.0,4CA855,B738,RYR1SG,51.68709,4.8568,9025,272,96,-1024
1320.0,4CA855,B738,RYR1SG,51.68476,4.89021,8750,272,96,-1024
