time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,44CCD4,A332,BEL55J,51.22771,1.78383,24900,467,103,-1920
20.0,44CCD4,A332,BEL55J,51.21446,1.87258,24050,462,103,-1920
40.0,44CCD4,A332,BEL55J,51.2123,1.88713,23900,461,103,-1920
100.0,44CCD4,A332,BEL55J,51.17715,2.11895,22975,441,103,64
120.0,44CCD4,A332,BEL55J,51.17116,2.15837,23000,441,103,0
140.0,44CCD4,A332,BEL55J,51.16402,2.20491,23000,442,103,0
160.0,44CCD4,A332,BEL55J,51.15453,2.26624,23000,442,103,0
180.0,44CCD4,A332,BEL55J,51.14541,2.33032,23000,446,99,0
200.0,44CCD4,A332,BEL55J,51.1421,2.41501,23000,456,89,-64
220.0,44CCD4,A332,BEL55J,51.14218,2.46851,23000,455,90,0
240.0,44CCD4,A332,BEL55J,51.1422,2.5383,23000,454,90,0
260.0,44CCD4,A332,BEL55J,51.14215,2.59445,23000,452,90,0
280.0,44CCD4,A332,BEL55J,51.14206,2.66106,23000,455,90,0
300.0,44CCD4,A332,BEL55J,51.14191,2.72899,23000,454,90,0
320.0,44CCD4,A332,BEL55J,51.14172,2.80307,23000,454,90,64
340.0,44CCD4,A332,BEL55J,51.14154,2.86387,23000,455,90,0
360.0,44CCD4,A332,BEL55J,51.14131,2.93157,22900,454,90,-1024
380.0,44CCD4,A332,BEL55J,51.14103,3.00171,22275,451,90,-2048
400.0,44CCD4,A332,BEL55J,51.14075,3.06152,21650,448,90,-2304
420.0,44CCD4,A332,BEL55J,51.14038,3.12729,20850,446,90,-2176
440.0,44CCD4,A332,BEL55J,51.14003,3.19591,20300,436,90,-1408
460.0,44CCD4,A332,BEL55J,51.13966,3.25774,19750,429,90,-1984
480.0,44CCD4,A332,BEL55J,51.13925,3.32084,19025,427,90,-2112
500.0,44CCD4,A332,BEL55J,51.13875,3.3852,18300,425,90,-1600
520.0,44CCD4,A332,BEL55J,51.13828,3.4436,17525,424,90,-3840
540.0,44CCD4,A332,BEL55J,51.1377,3.50709,16350,432,90,-3328
560.0,44CCD4,A332,BEL55J,51.13715,3.57256,15600,427,90,-1536
580.0,44CCD4,A332,BEL55J,51.13661,3.63792,15000,417,90,-2368
600.0,44CCD4,A332,BEL55J,51.13596,3.69934,14025,419,91,-3072
620.0,44CCD4,A332,BEL55J,51.13531,3.75366,13350,417,90,-1472
640.0,44CCD4,A332,BEL55J,51.13472,3.8156,12700,408,90,-2112
660.0,44CCD4,A332,BEL55J,51.134,3.87833,11925,404,91,-2368
680.0,44CCD4,A332,BEL55J,51.13326,3.93682,11375,395,91,-768
700.0,44CCD4,A332,BEL55J,51.13266,3.99026,11175,379,91,-576
720.0,44CCD4,A332,BEL55J,51.13197,4.04646,10975,364,91,-512
740.0,44CCD4,A332,BEL55J,51.13126,4.09752,10825,349,91,-448
760.0,44CCD4,A332,BEL55J,51.13065,4.1468,10650,336,91,-896
780.0,44CCD4,A332,BEL55J,51.12996,4.19633,10300,330,91,-1152
800.0,44CCD4,A332,BEL55J,51.12914,4.24481,9850,327,91,-1152
820.0,44CCD4,A332,BEL55J,51.1284,4.29172,9475,323,91,-1024
840.0,44CCD4,A332,BEL55J,51.12767,4.33901,9125,316,91,-1152
860.0,44CCD4,A332,BEL55J,51.12693,4.38774,8625,315,91,-1536
880.0,44CCD4,A332,BEL55J,51.12602,4.43625,8150,314,91,-1280
900.0,44CCD4,A332,BEL55J,51.12506,4.47807,7775,311,92,-1024
920.0,44CCD4,A332,BEL55J,51.12395,4.52232,7400,307,92,-1344
940.0,44CCD4,A332,BEL55J,51.1219,4.56831,7150,296,99,-576
960.0,44CCD4,A332,BEL55J,51.11496,4.60854,6600,284,107,-2240
980.0,44CCD4,A332,BEL55J,51.10714,4.64767,5875,280,107,-1920
1000.0,44CCD4,A332,BEL55J,51.09833,4.68671,5150,274,118,-2176
