time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484F15,B737,KLM1448,52.87376,2.65106,24975,356,96,-64
20.0,484F15,B737,KLM1448,52.87361,2.65383,24975,356,96,-64
60.0,484F15,B737,KLM1448,52.86639,2.76344,24975,341,95,64
100.0,484F15,B737,KLM1448,52.85884,2.89658,24350,313,95,-896
120.0,484F15,B737,KLM1448,52.85699,2.92731,24150,309,95,-896
140.0,484F15,B737,KLM1448,52.85546,2.95532,23975,305,95,-832
160.0,484F15,B737,KLM1448,52.8529,3.00131,23675,300,95,-832
180.0,484F15,B737,KLM1448,52.85028,3.04863,23375,295,95,-832
200.0,484F15,B737,KLM1448,52.84744,3.09753,23075,290,95,-832
220.0,484F15,B737,KLM1448,52.84536,3.13487,22850,286,95,-832
240.0,484F15,B737,KLM1448,52.84268,3.18047,22550,285,95,-768
260.0,484F15,B737,KLM1448,52.84014,3.22166,22300,285,95,-768
280.0,484F15,B737,KLM1448,52.83728,3.26706,22025,284,96,-768
300.0,484F15,B737,KLM1448,52.83417,3.31451,21900,284,96,-832
320.0,484F15,B737,KLM1448,52.83111,3.35107,21650,278,103,-960
340.0,484F15,B737,KLM1448,52.81476,3.39622,21200,244,132,-1088
360.0,484F15,B737,KLM1448,52.80495,3.41447,21000,245,131,-960
380.0,484F15,B737,KLM1448,52.7899,3.44444,20650,245,129,-960
400.0,484F15,B737,KLM1448,52.77623,3.47199,20350,244,129,-1024
420.0,484F15,B737,KLM1448,52.75822,3.50769,19925,240,129,-1024
440.0,484F15,B737,KLM1448,52.74509,3.53279,19600,238,129,-1024
460.0,484F15,B737,KLM1448,52.7334,3.55667,19300,236,129,-1088
480.0,484F15,B737,KLM1448,52.71836,3.58727,19000,234,129,-320
500.0,484F15,B737,KLM1448,52.70291,3.61741,19000,232,129,0
520.0,484F15,B737,KLM1448,52.6922,3.63914,19000,232,129,0
540.0,484F15,B737,KLM1448,52.67833,3.66614,19000,231,130,0
560.0,484F15,B737,KLM1448,52.66393,3.69476,19000,232,129,0
580.0,484F15,B737,KLM1448,52.65081,3.72076,19000,232,129,0
600.0,484F15,B737,KLM1448,52.63545,3.75058,19000,232,129,0
620.0,484F15,B737,KLM1448,52.62259,3.77632,18800,232,129,-832
640.0,484F15,B737,KLM1448,52.6089,3.80371,18525,233,129,-832
660.0,484F15,B737,KLM1448,52.59311,3.83385,18225,235,130,-768
680.0,484F15,B737,KLM1448,52.57938,3.86147,17950,237,130,-1024
700.0,484F15,B737,KLM1448,52.56226,3.89458,17525,237,129,-960
720.0,484F15,B737,KLM1448,52.55241,3.9138,17325,237,129,-960
740.0,484F15,B737,KLM1448,52.53895,3.94009,17025,236,130,-832
760.0,484F15,B737,KLM1448,52.52526,3.9674,17000,232,129,0
780.0,484F15,B737,KLM1448,52.50906,3.99078,17000,215,149,-128
800.0,484F15,B737,KLM1448,52.49142,3.99855,17000,198,174,-64
820.0,484F15,B737,KLM1448,52.47108,3.9922,16700,191,202,-1152
840.0,484F15,B737,KLM1448,52.45902,3.97917,16425,191,223,-1024
860.0,484F15,B737,KLM1448,52.44948,3.95492,16100,197,246,-1024
880.0,484F15,B737,KLM1448,52.44667,3.92303,15775,210,271,-896
900.0,484F15,B737,KLM1448,52.4525,3.89269,15475,228,295,-1024
920.0,484F15,B737,KLM1448,52.46228,3.85994,15125,229,295,-960
940.0,484F15,B737,KLM1448,52.47191,3.82717,14750,228,296,-960
960.0,484F15,B737,KLM1448,52.48119,3.79784,14450,227,296,-1024
980.0,484F15,B737,KLM1448,52.49089,3.76724,14075,225,296,-1024
1000.0,484F15,B737,KLM1448,52.50494,3.72154,13600,223,296,-960
1020.0,484F15,B737,KLM1448,52.51162,3.69894,13375,222,297,-960
1040.0,484F15,B737,KLM1448,52.52971,3.67485,13025,256,337,-896
1060.0,484F15,B737,KLM1448,52.54939,3.66928,12750,272,359,-832
1080.0,484F15,B737,KLM1448,52.57144,3.6805,12425,282,28,-1152
1100.0,484F15,B737,KLM1448,52.58867,3.70867,12175,300,57,-576
1120.0,484F15,B737,KLM1448,52.59453,3.75387,11950,309,90,-768
1140.0,484F15,B737,KLM1448,52.58462,3.7964,11475,296,120,-1408
1160.0,484F15,B737,KLM1448,52.57112,3.83595,11000,302,118,-1344
1180.0,484F15,B737,KLM1448,52.56381,3.8839,10500,325,91,-1408
1200.0,484F15,B737,KLM1448,52.56832,3.93099,10050,330,79,-1408
1220.0,484F15,B737,KLM1448,52.57411,3.98262,9550,330,79,-1472
1240.0,484F15,B737,KLM1448,52.57912,4.02939,9100,325,80,-1536
1260.0,484F15,B737,KLM1448,52.58387,4.07773,8600,321,81,-1536
1280.0,484F15,B737,KLM1448,52.58829,4.12615,8050,320,81,-1472
1300.0,484F15,B737,KLM1448,52.5923,4.17394,7625,313,82,-1344
1320.0,484F15,B737,KLM1448,52.5957,4.2211,7125,312,83,-1600
1340.0,484F15,B737,KLM1448,52.59938,4.27505,6575,306,83,-1536
1360.0,484F15,B737,KLM1448,52.60198,4.3141,6175,303,83,-1472
1380.0,484F15,B737,KLM1448,52.60547,4.36211,5575,300,83,-2112
