time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,48455A,B738,KLM30W,52.7774,2.52586,24950,361,96,-704
20.0,48455A,B738,KLM30W,52.77498,2.55852,24650,361,96,-1792
40.0,48455A,B738,KLM30W,52.77182,2.60262,24225,366,96,-1600
60.0,48455A,B738,KLM30W,52.76757,2.66105,23700,364,96,-896
80.0,48455A,B738,KLM30W,52.76319,2.72586,23475,347,95,-320
100.0,48455A,B738,KLM30W,52.76115,2.75963,23375,338,95,-448
120.0,48455A,B738,KLM30W,52.75709,2.82749,22975,327,95,-1088
140.0,48455A,B738,KLM30W,52.75542,2.85715,22775,324,95,-1152
160.0,48455A,B738,KLM30W,52.75193,2.91585,22275,319,95,-1344
180.0,48455A,B738,KLM30W,52.74946,2.95462,21875,318,95,-1344
200.0,48455A,B738,KLM30W,52.74639,3.00249,21450,314,96,-1472
220.0,48455A,B738,KLM30W,52.74298,3.0526,20925,314,96,-1472
240.0,48455A,B738,KLM30W,52.73648,3.11821,20275,304,105,-1280
260.0,48455A,B738,KLM30W,52.72801,3.15628,19925,289,115,-1216
280.0,48455A,B738,KLM30W,52.71962,3.18109,19675,282,120,-1024
300.0,48455A,B738,KLM30W,52.70533,3.22135,19275,277,121,-1216
320.0,48455A,B738,KLM30W,52.69225,3.25729,18950,271,120,-832
340.0,48455A,B738,KLM30W,52.68023,3.28907,18575,269,120,-1152
360.0,48455A,B738,KLM30W,52.66695,3.32611,18100,269,120,-1408
380.0,48455A,B738,KLM30W,52.6564,3.36613,18000,282,108,0
400.0,48455A,B738,KLM30W,52.64836,3.40492,18000,284,108,0
420.0,48455A,B738,KLM30W,52.63971,3.44574,18000,281,109,0
440.0,48455A,B738,KLM30W,52.62605,3.50848,18000,285,109,64
460.0,48455A,B738,KLM30W,52.6206,3.53312,18000,286,109,0
480.0,48455A,B738,KLM30W,52.61255,3.57009,18000,288,109,0
500.0,48455A,B738,KLM30W,52.60231,3.61584,18000,289,109,64
520.0,48455A,B738,KLM30W,52.59407,3.65524,18000,289,109,0
540.0,48455A,B738,KLM30W,52.58438,3.69847,18000,286,109,64
560.0,48455A,B738,KLM30W,52.57554,3.73959,18000,289,109,0
580.0,48455A,B738,KLM30W,52.568,3.77271,18000,290,109,0
600.0,48455A,B738,KLM30W,52.55878,3.81615,18000,289,109,0
620.0,48455A,B738,KLM30W,52.54928,3.8595,17850,289,109,-896
640.0,48455A,B738,KLM30W,52.54051,3.8987,17525,290,109,-1024
660.0,48455A,B738,KLM30W,52.53044,3.94409,17150,287,109,-960
680.0,48455A,B738,KLM30W,52.52228,3.97862,16900,280,114,-896
700.0,48455A,B738,KLM30W,52.50622,4.00726,16575,247,149,-1024
720.0,48455A,B738,KLM30W,52.48462,4.01932,16225,234,171,-1024
740.0,48455A,B738,KLM30W,52.46372,4.01723,16000,222,193,64
760.0,48455A,B738,KLM30W,52.44538,4.00444,16000,220,213,0
780.0,48455A,B738,KLM30W,52.43095,3.9809,16000,222,235,-64
800.0,48455A,B738,KLM30W,52.42331,3.94951,16000,232,258,0
820.0,48455A,B738,KLM30W,52.42434,3.9098,15775,249,284,-1152
840.0,48455A,B738,KLM30W,52.43314,3.87817,15450,256,296,-1024
860.0,48455A,B738,KLM30W,52.44585,3.83469,15050,253,295,-960
880.0,48455A,B738,KLM30W,52.45469,3.80543,14750,251,295,-1024
900.0,48455A,B738,KLM30W,52.46442,3.77114,14425,251,295,-1024
920.0,48455A,B738,KLM30W,52.47922,3.72139,13925,250,296,-960
940.0,48455A,B738,KLM30W,52.48425,3.70608,13775,250,296,-1024
960.0,48455A,B738,KLM30W,52.49474,3.67035,13450,249,295,-960
980.0,48455A,B738,KLM30W,52.50851,3.63907,13125,267,320,-1088
1000.0,48455A,B738,KLM30W,52.5376,3.61725,12700,292,350,-960
1020.0,48455A,B738,KLM30W,52.55706,3.61764,12475,303,10,-960
1040.0,48455A,B738,KLM30W,52.5848,3.64103,12175,325,42,-704
1060.0,48455A,B738,KLM30W,52.59979,3.67854,11950,333,70,-832
1080.0,48455A,B738,KLM30W,52.60044,3.73237,11625,317,104,-960
1100.0,48455A,B738,KLM30W,52.59059,3.77396,11325,308,112,-960
1120.0,48455A,B738,KLM30W,52.5797,3.81721,11000,309,111,-960
1140.0,48455A,B738,KLM30W,52.57582,3.86256,10450,327,85,-1600
1160.0,48455A,B738,KLM30W,52.57931,3.91678,9950,327,83,-1408
1180.0,48455A,B738,KLM30W,52.58271,3.96622,9400,324,84,-1728
1200.0,48455A,B738,KLM30W,52.58518,4.01001,8900,321,85,-1728
1220.0,48455A,B738,KLM30W,52.5875,4.05866,8275,318,85,-1920
1240.0,48455A,B738,KLM30W,52.58941,4.10677,7700,314,86,-1664
1260.0,48455A,B738,KLM30W,52.59076,4.15401,7075,312,87,-1920
1280.0,48455A,B738,KLM30W,52.59174,4.20117,6525,307,88,-1600
1300.0,48455A,B738,KLM30W,52.59279,4.25003,5925,304,87,-1536
1320.0,48455A,B738,KLM30W,52.59402,4.29573,5275,301,87,-2112
