time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CA79C,B738,RYR811X,51.00906,3.44543,24950,419,30,-1600
20.0,4CA79C,B738,RYR811X,51.06042,3.49291,24125,413,30,-1536
80.0,4CA79C,B738,RYR811X,51.15047,3.57709,22775,403,30,-256
100.0,4CA79C,B738,RYR811X,51.18494,3.60953,22650,386,30,-256
120.0,4CA79C,B738,RYR811X,51.19894,3.62267,22600,379,30,-384
140.0,4CA79C,B738,RYR811X,51.22883,3.64891,22325,369,24,-768
160.0,4CA79C,B738,RYR811X,51.26738,3.6701,22000,354,14,-576
180.0,4CA79C,B738,RYR811X,51.2926,3.6802,21775,351,12,-1600
200.0,4CA79C,B738,RYR811X,51.32451,3.67842,21275,325,343,-1344
220.0,4CA79C,B738,RYR811X,51.34577,3.66043,20925,307,327,-1472
240.0,4CA79C,B738,RYR811X,51.36914,3.63594,20425,307,326,-1536
260.0,4CA79C,B738,RYR811X,51.39651,3.60671,19950,304,326,-1216
280.0,4CA79C,B738,RYR811X,51.42014,3.58132,19600,302,326,-1024
300.0,4CA79C,B738,RYR811X,51.44005,3.55987,19300,303,326,-1024
320.0,4CA79C,B738,RYR811X,51.46262,3.53567,19000,305,325,-896
340.0,4CA79C,B738,RYR811X,51.48626,3.50998,18675,305,325,-1024
360.0,4CA79C,B738,RYR811X,51.5099,3.48415,18325,303,325,-960
380.0,4CA79C,B738,RYR811X,51.53307,3.45891,18000,303,326,-640
400.0,4CA79C,B738,RYR811X,51.55567,3.43468,18000,301,326,0
420.0,4CA79C,B738,RYR811X,51.5796,3.40912,18000,301,326,0
440.0,4CA79C,B738,RYR811X,51.60233,3.38468,18000,298,326,0
460.0,4CA79C,B738,RYR811X,51.62536,3.35991,18000,298,326,0
480.0,4CA79C,B738,RYR811X,51.6573,3.32512,18000,299,325,0
500.0,4CA79C,B738,RYR811X,51.67247,3.30856,18000,299,325,0
520.0,4CA79C,B738,RYR811X,51.69415,3.28595,18000,308,331,64
540.0,4CA79C,B738,RYR811X,51.72267,3.27548,18000,332,0,0
560.0,4CA79C,B738,RYR811X,51.75247,3.28862,18000,343,28,0
580.0,4CA79C,B738,RYR811X,51.7804,3.3368,18000,332,64,0
600.0,4CA79C,B738,RYR811X,51.78635,3.37236,18000,322,80,0
620.0,4CA79C,B738,RYR811X,51.79113,3.4269,18000,320,82,0
640.0,4CA79C,B738,RYR811X,51.79416,3.46283,18000,322,82,0
660.0,4CA79C,B738,RYR811X,51.79916,3.52052,17775,322,82,-1024
680.0,4CA79C,B738,RYR811X,51.80282,3.5659,17450,320,82,-1024
700.0,4CA79C,B738,RYR811X,51.80635,3.60916,17150,317,82,-1024
720.0,4CA79C,B738,RYR811X,51.80999,3.65494,17000,315,82,0
740.0,4CA79C,B738,RYR811X,51.81343,3.69957,17000,318,82,0
760.0,4CA79C,B738,RYR811X,51.81702,3.7468,16775,319,82,-1024
780.0,4CA79C,B738,RYR811X,51.82074,3.79539,16400,317,82,-1024
800.0,4CA79C,B738,RYR811X,51.824,3.8401,16000,313,83,-1344
820.0,4CA79C,B738,RYR811X,51.82727,3.88716,15525,307,83,-1408
840.0,4CA79C,B738,RYR811X,51.8313,3.9317,14750,318,77,-3200
860.0,4CA79C,B738,RYR811X,51.84439,3.97742,13625,344,55,-2880
880.0,4CA79C,B738,RYR811X,51.86348,4.01871,12825,349,53,-2048
900.0,4CA79C,B738,RYR811X,51.88312,4.06021,12175,346,52,-1856
920.0,4CA79C,B738,RYR811X,51.90197,4.10041,11650,339,52,-1728
940.0,4CA79C,B738,RYR811X,51.92083,4.14145,11050,334,53,-1920
960.0,4CA79C,B738,RYR811X,51.93878,4.18159,10400,333,54,-1920
980.0,4CA79C,B738,RYR811X,51.9565,4.22211,9800,330,54,-1728
1000.0,4CA79C,B738,RYR811X,51.97376,4.26222,9200,325,55,-1536
1020.0,4CA79C,B738,RYR811X,51.99074,4.30206,8650,319,55,-1856
1040.0,4CA79C,B738,RYR811X,52.00745,4.34074,8125,316,55,-1088
1060.0,4CA79C,B738,RYR811X,52.02507,4.38194,7750,311,55,-1024
1080.0,4CA79C,B738,RYR811X,52.04019,4.41768,7475,303,55,-832
1100.0,4CA79C,B738,RYR811X,52.05578,4.45543,7200,295,56,-832
1120.0,4CA79C,B738,RYR811X,52.07057,4.49181,6975,286,56,0
1140.0,4CA79C,B738,RYR811X,52.08488,4.52684,7000,279,56,64
1160.0,4CA79C,B738,RYR811X,52.09904,4.56131,7000,280,56,0
1180.0,4CA79C,B738,RYR811X,52.11374,4.59723,7000,280,56,0
1200.0,4CA79C,B738,RYR811X,52.1284,4.63317,7000,280,56,0
1220.0,4CA79C,B738,RYR811X,52.14354,4.67026,7000,280,56,0
1240.0,4CA79C,B738,RYR811X,52.15764,4.7049,7000,280,56,0
1260.0,4CA79C,B738,RYR811X,52.17263,4.73581,7000,279,48,0
1280.0,4CA79C,B738,RYR811X,52.1906,4.76846,7000,277,48,0
1300.0,4CA79C,B738,RYR811X,52.20871,4.80142,7000,277,48,0
1320.0,4CA79C,B738,RYR811X,52.22426,4.82967,7000,279,48,0
1340.0,4CA79C,B738,RYR811X,52.2426,4.86298,7000,279,48,0
1360.0,4CA79C,B738,RYR811X,52.26109,4.89662,7000,281,48,0
1380.0,4CA79C,B738,RYR811X,52.28254,4.93608,7000,280,48,0
1400.0,4CA79C,B738,RYR811X,52.29311,4.95381,7000,278,42,64
1420.0,4CA79C,B738,RYR811X,52.32092,4.97238,7000,266,10,-64
1440.0,4CA79C,B738,RYR811X,52.34074,4.97726,7000,265,8,0
1460.0,4CA79C,B738,RYR811X,52.36642,4.98352,7000,265,8,0
1480.0,4CA79C,B738,RYR811X,52.38913,4.98909,7000,265,8,-64
1500.0,4CA79C,B738,RYR811X,52.41335,4.99501,7000,262,8,0
1520.0,4CA79C,B738,RYR811X,52.43669,5.00076,7000,264,8,0
1540.0,4CA79C,B738,RYR811X,52.46139,5.00686,7000,263,8,0
1560.0,4CA79C,B738,RYR811X,52.48503,5.00824,6925,252,351,-1024
1580.0,4CA79C,B738,RYR811X,52.50925,5.00137,6575,251,350,-768
1600.0,4CA79C,B738,RYR811X,52.53081,4.99512,6325,249,349,-768
1620.0,4CA79C,B738,RYR811X,52.55394,4.98811,6075,248,349,-768
1640.0,4CA79C,B738,RYR811X,52.57603,4.98138,5975,246,349,64
1660.0,4CA79C,B738,RYR811X,52.59579,4.96715,6000,222,317,0
1680.0,4CA79C,B738,RYR811X,52.60543,4.93922,5950,208,292,-576
1700.0,4CA79C,B738,RYR811X,52.61297,4.90971,5550,210,292,-1024
1720.0,4CA79C,B738,RYR811X,52.61842,4.88098,5200,201,273,-1216
