time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,A14104,B763,DAL178,52.7894,2.55859,24925,358,101,-1280
20.0,A14104,B763,DAL178,52.78606,2.58499,24675,357,101,-1984
40.0,A14104,B763,DAL178,52.77972,2.63562,24000,359,101,-2048
60.0,A14104,B763,DAL178,52.77334,2.68883,23400,361,98,-1600
80.0,A14104,B763,DAL178,52.77599,2.74697,22875,372,74,-1664
100.0,A14104,B763,DAL178,52.78763,2.79155,22375,377,60,-1728
120.0,A14104,B763,DAL178,52.8043,2.84099,21850,374,61,-1408
140.0,A14104,B763,DAL178,52.82062,2.89207,21525,365,62,-640
160.0,A14104,B763,DAL178,52.83921,2.94999,21300,348,61,-640
180.0,A14104,B763,DAL178,52.85318,2.99362,21050,338,62,-1024
200.0,A14104,B763,DAL178,52.87344,3.0574,20425,333,62,-1344
220.0,A14104,B763,DAL178,52.88095,3.08105,20200,331,62,-1152
240.0,A14104,B763,DAL178,52.89445,3.12386,19825,327,62,-1152
260.0,A14104,B763,DAL178,52.90829,3.16924,19400,323,65,-1344
280.0,A14104,B763,DAL178,52.91411,3.21311,18950,316,82,-1600
300.0,A14104,B763,DAL178,52.91872,3.26859,18275,321,82,-1600
320.0,A14104,B763,DAL178,52.92279,3.31985,17725,321,82,-1536
340.0,A14104,B763,DAL178,52.92836,3.39721,16925,322,83,-1600
360.0,A14104,B763,DAL178,52.92989,3.41808,16725,323,83,-1536
380.0,A14104,B763,DAL178,52.93254,3.45543,16350,322,83,-1280
400.0,A14104,B763,DAL178,52.93607,3.5041,15925,319,84,-1408
420.0,A14104,B763,DAL178,52.92543,3.57472,15175,308,111,-1344
440.0,A14104,B763,DAL178,52.92063,3.5959,14975,308,110,-1088
460.0,A14104,B763,DAL178,52.90837,3.65074,14550,303,109,-896
480.0,A14104,B763,DAL178,52.9015,3.68256,14325,298,109,-960
500.0,A14104,B763,DAL178,52.8923,3.72444,13950,297,110,-1216
520.0,A14104,B763,DAL178,52.88132,3.77449,13450,296,109,-1280
540.0,A14104,B763,DAL178,52.87065,3.82332,12975,296,110,-1216
580.0,A14104,B763,DAL178,52.82231,3.87299,12025,249,181,-256
600.0,A14104,B763,DAL178,52.8178,3.87284,12000,250,181,-64
620.0,A14104,B763,DAL178,52.79419,3.8726,12000,253,179,-128
640.0,A14104,B763,DAL178,52.77045,3.87292,12000,250,180,256
660.0,A14104,B763,DAL178,52.74683,3.87154,12000,251,182,-64
680.0,A14104,B763,DAL178,52.72513,3.86986,12000,252,182,64
700.0,A14104,B763,DAL178,52.70091,3.86841,12025,256,182,0
720.0,A14104,B763,DAL178,52.6746,3.86782,12000,254,175,-64
740.0,A14104,B763,DAL178,52.65207,3.88779,12025,269,132,-64
760.0,A14104,B763,DAL178,52.64295,3.91686,11850,280,106,-1344
780.0,A14104,B763,DAL178,52.64246,3.96072,11225,301,85,-1280
800.0,A14104,B763,DAL178,52.64448,4.00899,10975,305,86,-1024
820.0,A14104,B763,DAL178,52.64607,4.05811,10550,302,87,-1280
840.0,A14104,B763,DAL178,52.64726,4.10164,10075,301,87,-1472
860.0,A14104,B763,DAL178,52.64849,4.14506,9600,300,88,-1344
880.0,A14104,B763,DAL178,52.64956,4.18995,9150,299,87,-1408
900.0,A14104,B763,DAL178,52.65088,4.26392,8600,301,88,-1216
920.0,A14104,B763,DAL178,52.65111,4.282,8450,300,89,-1216
940.0,A14104,B763,DAL178,52.65161,4.33191,7950,299,88,-1664
960.0,A14104,B763,DAL178,52.65216,4.37233,7350,297,88,-2112
980.0,A14104,B763,DAL178,52.65308,4.41841,6625,295,87,-2176
1000.0,A14104,B763,DAL178,52.65412,4.4632,5875,296,88,-2304
1020.0,A14104,B763,DAL178,52.65509,4.50768,5125,297,87,-2304
