time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CAAA8,A319,AZA120,50.75879,4.6447,24300,379,334,-1472
40.0,4CAAA8,A319,AZA120,50.82999,4.59206,23175,374,334,-1536
60.0,4CAAA8,A319,AZA120,50.86089,4.56898,22675,373,334,-1536
80.0,4CAAA8,A319,AZA120,50.87782,4.55636,22400,373,334,-1408
100.0,4CAAA8,A319,AZA120,50.9063,4.52622,21900,374,319,-1024
120.0,4CAAA8,A319,AZA120,50.93097,4.48049,21350,374,308,-1472
140.0,4CAAA8,A319,AZA120,50.95133,4.44038,20875,371,308,-1536
160.0,4CAAA8,A319,AZA120,50.97223,4.39911,20375,365,308,-1472
180.0,4CAAA8,A319,AZA120,50.99174,4.36035,19925,362,308,-1472
200.0,4CAAA8,A319,AZA120,51.01295,4.31837,19425,362,309,-2048
220.0,4CAAA8,A319,AZA120,51.03806,4.28833,18925,352,332,-2048
240.0,4CAAA8,A319,AZA120,51.07256,4.26589,18375,350,338,-1536
260.0,4CAAA8,A319,AZA120,51.11119,4.24139,17725,347,338,-1536
280.0,4CAAA8,A319,AZA120,51.12842,4.23065,17425,345,338,-1536
300.0,4CAAA8,A319,AZA120,51.15884,4.21177,16925,343,338,-1536
320.0,4CAAA8,A319,AZA120,51.18924,4.19522,16400,342,347,-1856
340.0,4CAAA8,A319,AZA120,51.21933,4.19044,15925,341,356,-1472
360.0,4CAAA8,A319,AZA120,51.25969,4.18694,15300,336,357,-1536
380.0,4CAAA8,A319,AZA120,51.2819,4.18503,15050,333,357,-576
400.0,4CAAA8,A319,AZA120,51.31636,4.18208,14700,329,356,-1600
420.0,4CAAA8,A319,AZA120,51.34488,4.17956,14050,326,356,-2304
440.0,4CAAA8,A319,AZA120,51.37263,4.17709,13375,323,356,-2304
460.0,4CAAA8,A319,AZA120,51.40256,4.17473,12600,321,357,-2176
480.0,4CAAA8,A319,AZA120,51.4317,4.17244,11825,320,357,-2688
500.0,4CAAA8,A319,AZA120,51.46229,4.16985,11100,326,357,-1728
520.0,4CAAA8,A319,AZA120,51.49497,4.16718,10625,314,357,-768
540.0,4CAAA8,A319,AZA120,51.52084,4.16508,10475,296,357,-448
560.0,4CAAA8,A319,AZA120,51.54641,4.1629,10325,281,357,-448
580.0,4CAAA8,A319,AZA120,51.57201,4.16077,10025,274,357,-1024
600.0,4CAAA8,A319,AZA120,51.59862,4.15877,9675,272,357,-960
620.0,4CAAA8,A319,AZA120,51.62452,4.15665,9325,271,357,-1024
640.0,4CAAA8,A319,AZA120,51.65076,4.15439,8975,269,357,-1024
660.0,4CAAA8,A319,AZA120,51.67503,4.15237,8650,270,357,-1024
680.0,4CAAA8,A319,AZA120,51.69761,4.15039,8350,271,357,-1024
700.0,4CAAA8,A319,AZA120,51.7221,4.14833,8025,271,357,-1024
720.0,4CAAA8,A319,AZA120,51.74747,4.14635,7675,271,357,-1024
740.0,4CAAA8,A319,AZA120,51.77265,4.14421,7350,271,357,-1024
760.0,4CAAA8,A319,AZA120,51.79898,4.14311,7025,270,3,-1088
780.0,4CAAA8,A319,AZA120,51.82772,4.16351,7000,279,34,0
800.0,4CAAA8,A319,AZA120,51.84257,4.18037,7000,279,35,0
820.0,4CAAA8,A319,AZA120,51.86389,4.20448,7000,279,34,-64
840.0,4CAAA8,A319,AZA120,51.88536,4.22897,7000,279,35,0
860.0,4CAAA8,A319,AZA120,51.90588,4.25257,7000,279,35,0
880.0,4CAAA8,A319,AZA120,51.92725,4.27706,7000,279,35,0
900.0,4CAAA8,A319,AZA120,51.94839,4.30146,7000,279,35,0
920.0,4CAAA8,A319,AZA120,51.96957,4.32595,7000,280,35,0
940.0,4CAAA8,A319,AZA120,51.99066,4.35035,7000,279,35,0
960.0,4CAAA8,A319,AZA120,52.01165,4.3746,7000,279,35,0
980.0,4CAAA8,A319,AZA120,52.03349,4.39972,7000,281,35,0
1000.0,4CAAA8,A319,AZA120,52.05392,4.42349,7000,279,35,0
1020.0,4CAAA8,A319,AZA120,52.07496,4.44797,7000,278,35,0
1040.0,4CAAA8,A319,AZA120,52.09633,4.47269,7000,278,35,0
1060.0,4CAAA8,A319,AZA120,52.11756,4.49741,7000,279,35,0
1080.0,4CAAA8,A319,AZA120,52.13799,4.52142,7000,278,35,0
1100.0,4CAAA8,A319,AZA120,52.15918,4.54606,7000,278,35,0
1120.0,4CAAA8,A319,AZA120,52.18003,4.57055,7000,278,35,0
1140.0,4CAAA8,A319,AZA120,52.20065,4.59472,7000,277,35,0
1160.0,4CAAA8,A319,AZA120,52.22197,4.61983,7000,278,35,0
1180.0,4CAAA8,A319,AZA120,52.24269,4.64416,7000,278,35,0
1200.0,4CAAA8,A319,AZA120,52.2635,4.66864,7000,276,35,0
1220.0,4CAAA8,A319,AZA120,52.28426,4.69297,7000,278,35,0
1240.0,4CAAA8,A319,AZA120,52.30591,4.71855,6725,277,35,-960
1260.0,4CAAA8,A319,AZA120,52.32639,4.74264,6400,275,35,-960
1280.0,4CAAA8,A319,AZA120,52.34627,4.76603,6100,272,35,-1024
1300.0,4CAAA8,A319,AZA120,52.36761,4.79103,5750,272,35,-1024
1320.0,4CAAA8,A319,AZA120,52.38765,4.81429,5425,274,35,-1024
1340.0,4CAAA8,A319,AZA120,52.40856,4.83854,5075,277,35,-1024
