time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4CA993,A320,AZA108,50.91958,4.50096,24675,390,310,-1152
20.0,4CA993,A320,AZA108,50.93159,4.47784,24450,390,309,-1472
40.0,4CA993,A320,AZA108,50.95271,4.43655,23950,387,308,-1600
60.0,4CA993,A320,AZA108,50.97572,4.39117,23425,384,308,-1536
80.0,4CA993,A320,AZA108,50.99963,4.34376,22850,382,308,-1600
100.0,4CA993,A320,AZA108,51.01886,4.30538,22400,380,308,-1536
120.0,4CA993,A320,AZA108,51.04083,4.26143,21875,379,308,-1600
140.0,4CA993,A320,AZA108,51.06253,4.21786,21350,375,308,-1600
160.0,4CA993,A320,AZA108,51.08853,4.1656,20725,369,308,-1600
180.0,4CA993,A320,AZA108,51.11838,4.10584,20000,370,308,-1472
200.0,4CA993,A320,AZA108,51.12872,4.08506,19725,370,308,-1600
220.0,4CA993,A320,AZA108,51.16008,4.02189,18950,363,308,-1600
240.0,4CA993,A320,AZA108,51.16938,4.00322,18700,359,308,-1600
260.0,4CA993,A320,AZA108,51.2062,3.96095,18225,353,340,-960
280.0,4CA993,A320,AZA108,51.22646,3.95508,18000,355,358,-1088
300.0,4CA993,A320,AZA108,51.27492,3.96492,17550,353,8,-960
320.0,4CA993,A320,AZA108,51.29279,3.9694,17350,352,8,-1024
340.0,4CA993,A320,AZA108,51.32254,3.9769,17050,350,9,-1024
360.0,4CA993,A320,AZA108,51.35424,3.98506,16725,348,9,-960
380.0,4CA993,A320,AZA108,51.39935,3.99681,16100,346,9,-1472
400.0,4CA993,A320,AZA108,51.41727,4.00146,15825,343,9,-1600
420.0,4CA993,A320,AZA108,51.44842,4.00955,15350,334,9,-1408
440.0,4CA993,A320,AZA108,51.47704,4.01699,14900,326,9,-1408
460.0,4CA993,A320,AZA108,51.50684,4.02478,14450,318,9,-1408
480.0,4CA993,A320,AZA108,51.53503,4.03213,14000,310,9,-1408
500.0,4CA993,A320,AZA108,51.56314,4.03948,13525,303,9,-1408
520.0,4CA993,A320,AZA108,51.59065,4.04683,13050,298,9,-1472
540.0,4CA993,A320,AZA108,51.61794,4.0541,12575,292,9,-1408
560.0,4CA993,A320,AZA108,51.64622,4.06158,12075,286,9,-1408
580.0,4CA993,A320,AZA108,51.67149,4.06822,11625,283,9,-1408
600.0,4CA993,A320,AZA108,51.6977,4.07501,11175,283,9,-1216
620.0,4CA993,A320,AZA108,51.72258,4.08172,10850,281,9,-960
640.0,4CA993,A320,AZA108,51.74928,4.08882,10500,279,9,-1024
660.0,4CA993,A320,AZA108,51.77321,4.09508,10200,275,9,-960
680.0,4CA993,A320,AZA108,51.79825,4.10176,9875,274,9,-960
700.0,4CA993,A320,AZA108,51.82219,4.11527,9525,280,32,-1024
720.0,4CA993,A320,AZA108,51.84388,4.14101,9200,280,37,-960
740.0,4CA993,A320,AZA108,51.86403,4.16553,8875,281,36,-1088
760.0,4CA993,A320,AZA108,51.88495,4.19106,8550,282,36,-960
780.0,4CA993,A320,AZA108,51.90587,4.21677,8225,282,37,-1024
800.0,4CA993,A320,AZA108,51.92661,4.24225,7900,282,37,-1024
820.0,4CA993,A320,AZA108,51.94707,4.2675,7575,280,37,-1024
840.0,4CA993,A320,AZA108,51.96835,4.29382,7225,279,37,-960
860.0,4CA993,A320,AZA108,51.9884,4.31877,7000,279,37,-256
880.0,4CA993,A320,AZA108,52.00859,4.3438,7000,265,37,0
900.0,4CA993,A320,AZA108,52.02782,4.3676,7000,259,37,-64
920.0,4CA993,A320,AZA108,52.04677,4.39102,7000,257,37,-64
940.0,4CA993,A320,AZA108,52.06586,4.41467,7000,257,37,0
960.0,4CA993,A320,AZA108,52.08435,4.43771,7000,258,37,0
980.0,4CA993,A320,AZA108,52.10335,4.46159,7000,257,37,0
1000.0,4CA993,A320,AZA108,52.12225,4.48547,7000,256,37,0
1020.0,4CA993,A320,AZA108,52.14079,4.50874,7000,247,37,64
1040.0,4CA993,A320,AZA108,52.15901,4.5314,7000,245,37,-64
1060.0,4CA993,A320,AZA108,52.17677,4.55353,7000,244,37,0
1080.0,4CA993,A320,AZA108,52.1949,4.57634,7000,245,37,0
1100.0,4CA993,A320,AZA108,52.21266,4.59869,7000,245,37,0
1120.0,4CA993,A320,AZA108,52.23061,4.62143,7000,246,37,0
1140.0,4CA993,A320,AZA108,52.24892,4.64394,7000,245,36,0
1160.0,4CA993,A320,AZA108,52.26714,4.66621,7000,245,37,0
1180.0,4CA993,A320,AZA108,52.28535,4.68864,7000,243,37,0
1200.0,4CA993,A320,AZA108,52.30334,4.71092,7000,244,37,0
1220.0,4CA993,A320,AZA108,52.32129,4.73312,6700,245,37,-1024
1240.0,4CA993,A320,AZA108,52.33923,4.75586,6375,242,37,-960
1260.0,4CA993,A320,AZA108,52.35805,4.77999,6025,239,38,-960
1280.0,4CA993,A320,AZA108,52.37495,4.80197,5700,239,38,-1088
1300.0,4CA993,A320,AZA108,52.39192,4.82353,5225,242,35,-1792
