time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,4951D6,A320,TAP672,50.92899,3.29765,24950,376,36,-960
20.0,4951D6,A320,TAP672,50.93816,3.30826,24825,376,36,-1088
40.0,4951D6,A320,TAP672,50.96399,3.33832,24475,372,36,-1088
60.0,4951D6,A320,TAP672,50.99208,3.37102,24150,367,36,-960
80.0,4951D6,A320,TAP672,51.01958,3.40309,23850,364,36,-896
100.0,4951D6,A320,TAP672,51.04611,3.43407,23525,361,36,-1024
120.0,4951D6,A320,TAP672,51.07288,3.46542,23200,359,36,-896
140.0,4951D6,A320,TAP672,51.11087,3.5099,22750,357,36,-960
160.0,4951D6,A320,TAP672,51.13541,3.53864,22450,356,36,-1024
180.0,4951D6,A320,TAP672,51.15691,3.56392,22175,355,36,-960
200.0,4951D6,A320,TAP672,51.17855,3.5894,22025,353,36,-128
220.0,4951D6,A320,TAP672,51.20993,3.62638,22000,353,36,0
240.0,4951D6,A320,TAP672,51.23311,3.65112,22000,346,27,0
260.0,4951D6,A320,TAP672,51.26216,3.66743,22000,338,14,0
280.0,4951D6,A320,TAP672,51.29251,3.68012,22000,337,14,0
300.0,4951D6,A320,TAP672,51.32133,3.69202,22000,338,14,0
320.0,4951D6,A320,TAP672,51.3512,3.7044,21975,337,14,-128
340.0,4951D6,A320,TAP672,51.38356,3.71895,21975,323,20,-576
360.0,4951D6,A320,TAP672,51.40852,3.7368,21450,324,25,-3136
380.0,4951D6,A320,TAP672,51.43849,3.75985,20050,345,25,-3584
400.0,4951D6,A320,TAP672,51.46623,3.7813,19000,356,25,-2880
420.0,4951D6,A320,TAP672,51.49688,3.80524,18175,360,25,-1984
440.0,4951D6,A320,TAP672,51.53549,3.83534,17375,358,25,-1856
460.0,4951D6,A320,TAP672,51.55536,3.85086,16975,356,25,-1856
480.0,4951D6,A320,TAP672,51.58383,3.87313,16375,355,26,-1856
500.0,4951D6,A320,TAP672,51.61493,3.89763,15725,352,26,-1920
520.0,4951D6,A320,TAP672,51.64231,3.91899,15150,347,25,-1792
540.0,4951D6,A320,TAP672,51.67243,3.94264,14525,342,25,-1792
560.0,4951D6,A320,TAP672,51.69969,3.96399,13950,338,25,-1792
580.0,4951D6,A320,TAP672,51.72707,3.98551,13375,334,26,-1728
600.0,4951D6,A320,TAP672,51.75485,4.00749,12800,330,26,-1664
620.0,4951D6,A320,TAP672,51.78247,4.02916,12225,326,25,-1728
640.0,4951D6,A320,TAP672,51.80914,4.05024,11675,323,26,-1728
660.0,4951D6,A320,TAP672,51.83551,4.07125,11125,319,26,-1664
680.0,4951D6,A320,TAP672,51.8627,4.0927,10575,318,26,-1664
700.0,4951D6,A320,TAP672,51.88847,4.11308,10250,307,26,-640
720.0,4951D6,A320,TAP672,51.91296,4.13455,10025,298,35,-1152
740.0,4951D6,A320,TAP672,51.93384,4.16245,9825,295,35,-1024
760.0,4951D6,A320,TAP672,51.95915,4.17938,9325,294,16,-1600
780.0,4951D6,A320,TAP672,51.98502,4.19176,8750,295,16,-1600
800.0,4951D6,A320,TAP672,52.01157,4.20456,8300,293,16,-832
820.0,4951D6,A320,TAP672,52.03767,4.21671,8075,298,15,-704
840.0,4951D6,A320,TAP672,52.06403,4.2289,7825,297,16,-640
860.0,4951D6,A320,TAP672,52.09046,4.24112,7650,296,15,-448
880.0,4951D6,A320,TAP672,52.117,4.25351,7500,295,16,-512
900.0,4951D6,A320,TAP672,52.14276,4.26559,7325,294,16,-512
920.0,4951D6,A320,TAP672,52.16917,4.27811,7150,294,16,-448
940.0,4951D6,A320,TAP672,52.19521,4.29048,7000,294,16,-512
960.0,4951D6,A320,TAP672,52.22076,4.3028,6825,282,16,-512
980.0,4951D6,A320,TAP672,52.24548,4.31472,6675,269,16,-448
1000.0,4951D6,A320,TAP672,52.26904,4.32618,6525,260,16,-512
1020.0,4951D6,A320,TAP672,52.29143,4.33693,6350,257,16,-384
1040.0,4951D6,A320,TAP672,52.31461,4.34814,6200,261,16,-512
1060.0,4951D6,A320,TAP672,52.33803,4.35969,6000,265,16,-768
1080.0,4951D6,A320,TAP672,52.36135,4.37115,5800,264,16,-448
1100.0,4951D6,A320,TAP672,52.38474,4.38347,5625,265,22,-576
1120.0,4951D6,A320,TAP672,52.40707,4.40065,5450,267,26,-704
1140.0,4951D6,A320,TAP672,52.4296,4.41895,5200,271,26,-704
